Year,Natural Gas Pipeline
1950,65444.879389999995
1951,75925.35463999999
1952,82233.55629
1953,87168.55522000001
1954,93242.01875
1955,101601.7283
1956,110945.29400000001
1957,118033.0356
1958,122802.5404
1959,135140.1766
1960,144162.4874
1961,150274.8703
1962,159877.7505
1963,168498.2323
1964,180606.4899
1965,189153.5484
1966,206657.9919
1967,217599.182
1968,233321.3875
1969,251033.8546
1970,264069.443
1971,272660.7249
1972,276028.0908
1973,275271.9053
1974,264881.6125
1975,243795.9756
1976,246648.8365
1977,240608.1969
1978,242279.2307
1979,251889.6782
1980,252930.5736
1981,247622.5013
1982,226257.8612
1983,213363.9959
1984,226947.1909
1985,219535.9589
1986,205687.1736
1987,215802.6703
1988,226598.6522
1989,241872.0005
1990,239894.2492
1991,247588.51100000003
1992,256449.8959
1993,263724.1533
1994,269894.9084
1995,281674.441
1996,286695.0264
1997,288565.6279
1998,283776.7953
1999,287151.4231
2000,299080.2461
2001,284572.5251
2002,294734.9806
2003,285511.3942
2004,287762.928
2005,282072.4933
2006,277121.0963
2007,295045.6552
2008,297142.3723
2009,291092.2771
2010,307231.821
2011,311952.7842
2012,325065.2672
2013,331001.0897
2014,338528.8855
2015,346973.7233
2016,350068.2926
2017,344900.5689
