Year,Passenger Car,SWB Vehicles,Motorcycles,Light Truck,LWB Vehicles,Urban Bus,Para-transit,Intercity Bus,School Bus,Commuter Rail,Heavy Rail,Light Rail,"Urban Rail (Hvy, Lt, Commuter)",Intercity Rail (Amtrak),Carrier,General Aviation
1949,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,31.6682
1963,,,,,,,,,,,,,,,,34.37
1964,,,,,,,,,,,,,,,,37.0274
1965,,,,,,45.89058,,,,,,,,,,42.6584
1966,,,,,,45.0072,,,,,,,,,,56.28
1967,,,,,,44.71561,,,,,,,,,,61.0992
1968,,,,,,43.74404,,,,,,,,,,75.024
1969,,,,,,42.97606,,,,,,,,,,85.4244
1970,8479.358268,,7.4475,1538.559278,,42.18222,,26.61719048,41.1825204,17.19941685,23.376479,1.623223,42.19911885,6.088291626,1211.318946,94.3102
1971,8926.069522,,9.0175,1684.874635,,39.29316,,27.10852033,42.99858998,16.5141122,23.386818,1.581867,41.4827972,6.088291626,1194.540557,91.5716
1972,9505.64938,,10.8275,1893.012804,,37.575775,,27.3239,45.45753513,15.82880754,22.218511,1.509494,39.55681254,9.283651907,1213.776485,103.2718
1973,9799.48905,,12.985,2102.661615,,40.736894,,27.23143333,46.07834844,15.14350289,21.691222,1.44746,38.28218489,11.6297673,1254.177014,90.4422
1974,9304.048433,,13.6125,2081.309602,,44.816632,,26.31785642,46.40444574,14.45819823,25.71786485,1.473705154,41.64976823,11.22313208,1221.990077,101.4436
1975,9297.97154,,14.0725,2384.123046,,51.258822,,24.79824797,46.9503804,14.32835824,25.85704369,1.499950308,41.68535224,11.20880503,1226.573556,110.6774
1976,9825.74108,,15.0075,2602.4389,,54.6302369,,25.04512096,48.43196605,13.47791627,25.10706854,1.526195462,40.11118027,11.79242138,1199.925176,118.7514
1977,9927.991124,,15.8725,2796.704851,,56.8866854,,25.03075889,49.74091454,14.8869119,22.25827638,1.552440615,38.6976289,12.1990566,1144.279971,127.1712
1978,10133.43182,,17.895,3019.549139,,59.6962579,,26.97832542,50.14292121,15.3739152,21.40491123,1.578685769,38.3575122,12.44303774,1189.751519,165.2686
1979,9629.110547,,21.5925,3055.368368,,59.8245044,,28.10013333,51.98678308,15.7869576,23.96341608,1.604930923,41.3553046,13.74427044,1265.859024,167.874
1980,8799.879813,,25.535,2974.819591,,61.26018,,29.3,52.1414544,16.2,23.65801792,1.631176077,41.489194,11.63018868,1208.110013,165.914
1981,8692.879715,,26.725,2962.764417,,63.603265,,28.56104097,53.67698911,15.6,25.79262377,1.657421231,43.050045,10.70314465,1240.512626,161.2428
1982,8697.596965,,24.775,2837.358477,,64.652833,,28.05019642,54.55051525,15.3,26.45909162,1.683666385,43.442758,10.28176101,1228.059271,173.5946
1983,8801.937516,,21.9,2990.751139,,63.638562,,28.14360316,57.78102038,18.8577195,28.58335846,1.709911538,49.1509895,10.28176101,1259.301321,134.2006
1984,8836.881592,,22.715,3196.848032,,71.0502963,7.061605,24.56726703,57.57633436,17.404423,30.23203131,1.736156692,49.372611,10.87169811,1403.330999,155.33198
1985,8931.868716,,23.4925,3413.812661,,72.6156019,6.688025,23.39086657,58.3707432,18.4636734,28.51019015,1.762401846,48.7362654,10.87169811,1507.177743,143.8892
1986,9138.986239,,23.4925,3627.396663,,76.3539204,6.24158,23.65456479,58.78592402,19.6707596,31.699374,1.788647,53.1587806,10.45031447,1613.220257,147.94722
1987,9158.625018,,23.765,3819.136351,,75.6076518,5.94723,23.91765972,60.31504347,19.0976328,33.281241,1.974749,54.3536228,11.04025157,1689.289629,139.11086
1988,9157.930045,,25.06,4076.412701,,76.9036646,6.606245,24.18015342,62.42470974,19.7136948,33.663784,2.512377,55.8898558,11.37735849,1755.866881,148.5496
1989,9232.487613,,25.9275,4156.918241,,76.6953372,6.48151,24.44204796,64.13199609,20.6522962,33.973954,2.502038,57.1282882,12.89433962,1765.025618,134.08456
1990,8688.041421,,23.8925,4449.638724,,78.3590437,5.830475,24.70334538,64.8307464,19.9824687,33.953276,2.471021,56.4067657,12.81006289,1885.501216,131.9356
1991,8029.227575,,22.945,4775.416275,,79.7058207,6.260255,26.04467775,66.66425103,20.3435115,33.581072,2.832886,56.7574695,12.81006289,1706.763013,120.4458
1992,8169.062958,,23.8925,5117.286898,,82.6256032,6.000905,27.38295886,69.53118606,19.2427397,33.012427,3.070683,55.3258497,12.97861635,1824.437134,104.4328
1993,8367.800835,,24.765,5355.453826,,80.6857255,7.426855,28.71819909,71.97501254,20.6549882,33.984293,2.905259,57.5445402,13.4,1825.490687,93.56518
1994,8469.623153,,25.6,5512.170435,,79.9751015,9.382,30.05040881,74.98218,21.447246,35.473109,2.915598,59.835953,13.4,1884.474931,94.6132
1995,8488.932374,,24.7825,5696.315328,,80.8182644,8.93353,29.59497661,78.26707139,21.7017438,35.162939,2.977632,59.8423148,11.18366872,1934.074469,110.0974
1996,8633.443861,,24.4925,5916.914336,,82.9453253,9.45645,30.2051847,80.39602389,21.5593106,34.449548,3.318819,59.3276776,11.11715523,1993.038092,116.8178
1997,8713.987787,,25.2025,6168.472302,,86.941996,9.4786,31.55592296,78.88487464,21.8956765,33.632767,3.732379,59.2608225,11.8254367,2056.324354,121.4078
1998,8937.79265,,25.7075,6303.7039,,89.5784933,9.80494,32.80974021,79.12773602,23.018062,33.91192,3.939159,60.869141,11.96198738,2108.674785,147.4072
1999,9133.34823,,26.46,6602.48875,,92.1329409,10.14326,34.06072781,79.37059739,23.7939515,34.997515,4.301024,63.0924905,12.49377815,2233.144484,172.10258
2000,9100.384574,,26.1725,6606.88249,,96.262862,10.40712,35.30889532,81.82270316,23.9868866,36.693111,4.786957,65.4669546,14.77628164,2261.146392,175.16676
2001,9160.706845,,24.0975,6677.693739,,91.2249268,11.02968,36.55425225,84.36676021,24.0137008,37.695994,5.035093,66.7447878,14.98739884,2148.84156,165.10436
2002,9390.773512,,23.88,6882.554536,,90.1902491,11.32448,37.79680811,85.01060552,23.8961049,38.078537,5.27289,67.2475319,13.47917847,1953.500113,141.51278
2003,9362.177217,,23.8475,7551.38094,,89.1312257,12.55738,39.03657231,87.16936409,24.3218538,37.551248,5.241873,67.1149748,15.9,1936.23142,141.4111
2004,9330.560168,,25.30625,7860.79716,,93.39752356,13.05439,40.27355427,86.29669489,24.9674723,38.078537,5.717467,68.7634763,15.2,2000.302697,175.93522
