Year,Passenger Car,SWB Vehicles,Light Truck,LWB Vehicles,Motor-cycles,Intercity Bus,Transit Bus,Para-Transit,School Bus,Commuter Rail,Heavy Rail,Light Rail,"Urban Rail (Hvy, Lt, Commuter)",Intercity Rail,"All Carriers (pass miles), millions","Domestic Carriers (passenger-miles, millions)",Domestic/Total,Estimated or reported Domestic,Estimated or reported International,Adjusted total (domestic + 1/2 international),All Carrier ( pass ton-miles)[ used for fuel allocation],General Aviation
1949,,,,,,,,,,,,,,NA,,,,,,,,800
1950,,,,,,,,,,,,,,NA,,,,,,,,800
1951,,,,,,,,,,,,,,NA,,,,,,,Assumed tons/,900
1952,,,,,,,,,,,,,,NA,,,,,,,passenger ,1000
1953,,,,,,,,,,,,,,NA,,,,,,,0.2,1200
1954,,,,,,,,,,,,,,NA,,,,,,,,1400
1955,,,,,,,,,,,,,,NA,,,,,,,,1500
1956,,,,,,,,,,,,,,NA,,,,,,,,1600
1957,,,,,,,,,,,,,,NA,,,,,,,,1800
1958,,,,,,,,,,,,,,NA,,,,,,,3168.649,2100
1959,,,,,,,,,,,,,,NA,,,,,,,3629.632,2100
1960,,,,,,,,,,,,,,NA,,,,,,,3850.303,2300
1961,,,,,,,,,,,,,,NA,,,,,,,4021.801,2300
1962,,,,,,,,,,,,,,NA,,,,,,,4457.824,2700
1963,,,,,,,,,,,,,,NA,,,,,,,5104.03,3400
1964,,,,,,,,,,,,,,NA,,,,,,,5957.855,3700
1965,,,,,,,,,,,,,,NA,,,,,,,7087.762,4400
1966,1472427.054,,173686.6,,2770.232018,,,,,,,,,NA,,,,,,,8578.085,5700
1967,1535995.874,,178106,,2889.830732,,,,,,,,,NA,,,,,,,10924.267,7000
1968,1610314.162,,195464.4,,3029.65355,,,,,,,,,NA,,,,,,,12684.845,8200
1969,1675494.645,,212820.9,,3152.284454,,,,,,,,,NA,,,,,,,13996.087,8800
1970,1741730,,221914.8,,3276.9,25300,18210,,48300,4592,8464.5,893,13949.5,1993,151476.85,,0,0,151476.85,75738.425,30295.37,9100
1971,1836109.047,,248166,,3920.199269,25500,16810,,50876,4576.2,8001,843.6,13420.8,1993,156006.7,,0,0,156006.7,78003.35,31201.34,9200
1972,1940813.946,,281919.6,,4636.47318,25600,16180,,54257,4560.4,7789.5,801.8,13151.7,3039,175266.9,,0,0,175266.9,87633.45,35053.38,10000
1973,1988156.108,,318299.4,,5254.753474,26400,16170,,55476,4544.6,7834.5,786.6,13165.7,3807,174352,,0,0,174352,87176,34870.4,10700
1974,1914541.063,,328962.6,,5547.090025,27700,17910,,56350,4528.8,7767,570,12865.8,4259,174052,,0,0,174052,87026,34810.4,11200
1975,1964505,,361260,,6191.9,25400,18300,,57500,4513,7528.5,471.2,12512.7,3753,173324,,0,0,173324,86662,34664.8,11400
1976,2047339.47,,406501.2,,7338.001715,25100,18890,,60269.8246,5340,7344,425.6,13109.6,4268,191823,,0,0,191823,95911.5,38364.6,12100
1977,2105018.918,,451063.8,,8456.037048,26000,19730,,62879.85952,6167,9682,389,16238,4204,206082,,0,0,206082,103041,41216.4,12800
1978,2156162.179,,507602.1,,9681.238981,25600,20708,,64377.13505,6213,10330,392,16935,4154,236998,,0,0,236998,118499,47399.6,14100
1979,2077389.144,,535159.1667,,10328.95428,27700,21393,,67769.86954,6492,10760,407,17659,4867,269719,,0,0,269719,134859.5,53943.8,15500
1980,2056452.6,,538229.75,,11235.4,27400,21790,,69000,6516,10558,381,17455,4053,267722,,0,0,267722,133861,53544.4,14700
1981,2079061.724,,553173.6,,10987.16557,27100,21012,,71410.99594,6236,10244,346,16826,4397,260063,,0,0,260063,130031.5,52012.6,14600
1982,2110661.315,,576565.55,,10770.19192,26900,19987,,72958.27561,6027,10049,379,16455,3993,272435,,0,0,272435,136217.5,54487,13100
1983,2149567.509,,622521.7,,10570.81117,26500,20047,,77686.85997,6097,10350,391,16838,4227,295144,,0,0,295144,147572,59028.8,12700
1984,2172522.271,,669982.6571,,10343.45126,24600,21595,349,77818.17712,6207,10111,416,16734,4427,319504,,0,0,319504,159752,63900.8,13000
1985,2172990.8,,720485.2714,,9994.6,23800,21161,364,79304,6534,10427,350,17311,4785,351073,,0,0,351073,175536.5,70214.6,12300
1986,2177885.375,,769102.9286,,10043.95133,23700,21395,402,79744.62415,6723,10649,361,17733,5011,378923,,0,0,378923,189461.5,75784.6,12400
1987,2218670.418,,815839.2857,,10260.34064,23000,20970,374,81692.25175,6818,11198,405,18421,5361,417830,,0,0,417830,208915,83566,12100
1988,2271475.782,,882449.4429,,10534.54119,23100,20753,441,84418.54546,6964,11300,477,18741,5686,437648.54,,0,0,437648.54,218824.27,87529.708,12600
1989,2283155.356,,927335.3571,,10619.95099,24000,20768,428,86592.67477,7211,12030,509,19750,5859,447480.421,,0,0,447480.421,223740.2105,89496.0842,13100
1990,2253225.6,,976770.7,,10512.7,23000,20981,431,87400,7082,11475,571,19128,6057,472235.647,,0,0,472235.647,236117.8235,94447.1294,13000
1991,2173096,,1090981.92,,10095.8,23100,21090,454,89897.26459,7344,10528,662,18534,6273,463296.381,,0,0,463296.381,231648.1905,92659.2762,12100
1992,2194510.4,,1173392.58,,10512.7,22600,20336,495,93789.914,7320,10737,701,18758,6091,493715,,0,0,493715,246857.5,98743,10800
1993,2199534.4,,1223030,,10896.6,24700,20247,562,97113.8656,6940,10231,705,17876,6199,505996,,0,0,505996,252998,101199.2,9900
1994,2249742.4,,1238707.08,,11264,28100,18832,577,101200,7996,10668,833,19497,5921,537506.378,,0,0,537506.378,268753.189,107501.2756,9800
1995,2301456,,1264046.4,,10776.7,28100,18818,607,105633.4668,8244,10559,860,19663,5545,558757.051,,0,0,558757.051,279378.5255,111751.4102,10800
1996,2344417.13,,1322794.8,,10912,28800,19096,656,108506.8161,8351,11530,957,20838,5050,596163.697,419281.551,0.703299367,419281.551,176882.146,507722.624,119232.7394,12000
1997,2389064.04,,1395211.96,,11089.1,30600,19604,754,106467.2875,8038,12056,1035,21129,5166,619968.582,439262.668,0.708524078,439262.668,180705.914,529615.625,123993.7164,12500
1998,2456079.545,,1441336.5,,11311.3,33638.96987,20360,735,106795.0663,8704,12284,1128,22116,5304,635517.395,449103.76,0.706674221,449103.76,186413.635,542310.5775,127103.479,13100
1999,2479178,,1513716.96,,11642.4,36818.41455,21205,813,107122.8451,8766,12902,1206,22874,5330,668626,473081.981,0.707543501,473081.981,195544.019,570853.9905,133725.2,14100
2000,2520452.025,,1569200.3,,11515.9,40138.33403,21241,839,110432.3395,9402,13844,1356,24602,5498,708926.278,500439.719,0.705912215,500439.719,208486.559,604682.9985,141785.2556,15200
2001,2556490.66,,1622316.04,,10596.3,43598.72831,22022,855,113865.9363,9548,14178,1437,25163,5559,664849.117,473624.687,0.712379207,473624.687,191224.43,569236.902,132969.8234,15900
2002,2603804.18,,1676068.99,,10507.2,47199.5974,21841,853,114734.9047,9504,13663,1432,24599,5468,655213.942,472340.126,0.720894498,472340.126,182873.816,563777.034,131042.7884,13628.06653
2003,2625165.6,,1722164.5,,10533.6,50940.9413,21262,930,117648.4819,9559,13606,1476,24641,5680,673930.809,498204.04,0.739251023,498204.04,175726.769,586067.4245,134786.1618,13618.27447
2004,2668827.3,,1812944.46,,11134.2,54822.76,21376.973,962,116470.6804,9719,14354,1576,25649,5511,752299.869,548619.865,0.729256893,548619.865,203680.004,650459.867,150459.9738,16943.04135
2005,2682220.97,,1853070.78,,11499.4,57582.4,21824.943,1058,115013.0803,9473,14418,1700,25591,5381,795117.318,573638.807,0.721451783,573638.807,221478.511,684378.0625,159023.4636,23343.36869
2006,2654138.38,,1943069.55,,13253.9,61103,22821,1078,116493.5627,10361,14721,1866,26948,5410,810086.402,577596.301,0.713005797,577596.301,232490.101,693841.3515,162017.2804,24684.6461
2007,1312886.595,1651954,1006605.255,530873,23535.6,65496,20976,1502,113601.6069,11153,16138,1932,29223,5784,842006.759,595343.194,0.707052749,595343.194,246663.565,718674.9765,168401.3518,23357.21125
2008,1252322.5,1569220,1011597.5,552518.75,22892.1,64750,21757,1412,109272.1329,11049,16848,2093,29990,6179,823782.903,570931.839,0.693061044,570931.839,252851.064,697357.371,164756.5806,25498.86832
2009,,3124335,,1136200,22904.2,64600,21477,1477,112313.3745,11232,16805,2199,30236,5914,779996.828,541653.394,0.694430252,541653.394,238343.434,660825.111,155999.3656,20182.00057
