Year,Single-Unit Truck,Combination Truck,Rail,Air,Oil Pipeline,Natural Gas Pipeline,Waterborne
1949,,,,,,,
1950,,,,,129000,129.437926,
1951,,,,,152000,198.463376,
1952,,,,,158000,213.630417,
1953,,,,,170000,237.453734,
1954,,,,,179000,237.764065,
1955,,,,,203000,252.848626,
1956,,,,,230000,305.147132,
1957,,,,,223000,308.511285,
1958,,,,,211000,321.899851,
1959,,,,,227000,360.177788,
1960,,,,,229000,357.834325,
1961,,,,,233000,389.312817,
1962,,,,,238000,394.353376,
1963,,0,,,253000,436.920273,
1964,,0,,,269000,449.07267,
1965,,0,,,306000,516.040244,
1966,0,0,,,333000,551.948943,
1967,0,0,,,361000,593.600312,
1968,0,0,544.0496404,,391000,609.284915,
1969,0,0,544.2664285,,411000,650.521822,
1970,888.4133363,1091.71142,528.1228581,150.1560536,431000,778.3916879,208.0271462
1971,944.1125653,1128.435166,530.2372009,174.3594434,444000,800.4079953,204.8995989
1972,1084.485544,1206.432138,554.3818195,176.9935148,476000,825.8066179,206.3999519
1973,1185.178405,1341.001136,577.093251,186.407986,507000,784.8706864,197.9537503
1974,1177.732134,1349.1035,579.1245125,184.3454231,506000,720.8621477,196.5285125
1975,1213.5022,1363.533043,518.2503308,179.1274437,507000,628.3507581,187.8069591
1976,1277.369919,1441.540417,540.3116754,204.0748239,515000,591.0137911,194.4270815
1977,1403.176242,1606.712888,552.7290703,193.6240291,546000,574.1410175,194.8070156
1978,1547.433559,1796.178344,550.3625709,185.628481,586000,571.7503306,266.3524386
1979,1562.453174,1892.155894,564.8123369,177.8714755,608000,647.7532622,264.1658347
1980,1534.362902,1917.636035,548.6966452,177.8674873,588000,684.0317735,290.8954301
1981,1522.042199,1986.993749,523.4869493,188.8268735,564000,692.3345061,290.3537589
1982,1507.821681,1997.88146,440.8046892,175.9677288,566000,642.8457792,274.168227
1983,1543.693069,2029.243732,435.1428165,181.2701794,556000,528.1952065,281.5604358
1984,1604.657366,2086.936146,469.9395951,204.843001,568000,569.9212072,269.0915816
1985,1639.99911,2060.060347,436.099153,194.2137572,564000,542.9877162,267.9761665
1986,1637.020559,2129.092387,421.5188703,233.8902434,578000,522.8048436,259.4825642
1987,1667.996352,2205.813534,430.2788849,265.5643712,587000,559.5910256,263.3627198
1988,1708.634864,2241.517837,441.3804329,293.5276188,601000,661.7093548,259.1604647
1989,1726.979704,2317.888922,442.5660405,322.3983816,584000,678.3040414,235.0989117
1990,1855.637298,2377.456615,434.6858,327.4727844,584000,711.1873031,237.8831606
1991,1815.809994,2478.528803,405.8362,297.4739866,579000,648.1208114,239.7014256
1992,1830.802864,2539.537151,419.1514,319.7678658,589000,633.4673453,239.6219641
1993,1886.653726,2617.972362,431.6344,344.2293129,593000,672.9147563,218.6652861
1994,2009.086065,2753.647175,465.4772,381.6755686,591000,738.7222384,223.4038242
1995,2051.508898,2921.671724,485.8661,404.5440314,601000,754.8609915,219.2180065
1996,2096.128437,2985.451865,499.4587,416.0909084,619200,766.8370607,205.4612212
1997,2134.869496,3003.701973,499.7361,457.8886458,616500,809.9772098,188.1710334
1998,2173.376382,3294.961809,501.9553,464.7762146,619800,684.9533413,172.2355968
1999,2091.696916,3634.380369,519.9863,419.9565161,617700,695.56161,174.459159
2000,2135.3779,3803.45991,515.97787,481.9591077,577300,692.2105526,174.365811
2001,2159.032784,3781.395383,517.351,450.5834396,576100,673.6218305,157.286558
2002,2305.78951,3926.05091,520.31918,454.7783871,586200,718.8443994,154.856493
2003,1984.082612,3990.892601,533.88404,466.0935798,590200,637.5438006,152.142646
2004,2001.508403,4061.683287,566.20114,504.6358034,599600,610.2686288,149.70197
2005,2122.595305,4105.253191,571.43013,516.2191755,607500,629.4965201,142.497757
2006,2201.011361,4167.21007,584.53728,524.3073458,581300,629.6980794,131.982815
2007,2234.076682,4232.064839,566.92238,513.6361206,557700,669.7415453,124.458975
2008,2347.738791,4185.09363,542.48344,451.5037457,605700,698.403919,131.17104
2009,2225.723202,3841.231515,446.6221833,374.7664832,568400,722.3517461,107.3523375
2010,2067.417903,4098.272212,488.0882127,417.3348814,550000,726.6092813,108.980004
2011,1946.689571,3859.170956,514.6442695,421.3698183,550000,741.3328081,105.446828
2012,1968.750976,3831.001925,504.0392675,396.6860046,550000,787.6871268,100.173938
2013,1985.92354,3943.253529,514.9351234,375.2021543,550000,897.9206414,108.366203
2014,2039.604922,3987.444809,540.5295731,374.6829848,550000,754.6615879,107.961716
2015,2033.716403,3955.701584,516.3801,378.2845115,550000,730.9843029,105.565
2016,2100.489469,4047.2749,474.2153,382.8858697,550000,740.1989025,102.77
2017,2136.286186,4158.06122,490.5819,414.9380542,550000,777.6932366,105.135
