@timeseries|Year,@value|Category|Activity#Units,@value|Category|adjusted_consumption_trillion_btu#Units,@value|Category|Fuel Mix#Units,@value|Category|Carbon Factors#Units,@value|Category|Effect#Units,@scenario|Base Year,@filter|Sector,@filter|Sub-Sector,@filter|Model,@filter|LMDI Type
1949,0.3504280911865231,0.9662320030363273,0.6565800209742715,1.171902399266377,0.2605310187916632,1990,Commercial,Commercial_Total,multiplicative,II
1950,0.3575496923177628,0.9662320030363273,0.6565800209742715,1.171902399266377,0.2658256799356014,1990,Commercial,Commercial_Total,multiplicative,II
1951,0.3634427413709843,0.9662320030363273,0.6565800209742715,1.171902399266377,0.2702069556159459,1990,Commercial,Commercial_Total,multiplicative,II
1952,0.36929526613990205,0.9662320030363273,0.6565800209742715,1.171902399266377,0.27455810290949434,1990,Commercial,Commercial_Total,multiplicative,II
1953,0.3763942336396,0.9662320030363273,0.6565800209742715,1.171902399266377,0.279835936740689,1990,Commercial,Commercial_Total,multiplicative,II
1954,0.38489407703659073,0.9662320030363273,0.6565800209742715,1.171902399266377,0.28615527276278,1990,Commercial,Commercial_Total,multiplicative,II
1955,0.39474850406619216,0.9662320030363273,0.6565800209742715,1.171902399266377,0.2934816942974727,1990,Commercial,Commercial_Total,multiplicative,II
1956,0.40546527138366323,0.9662320030363273,0.6565800209742715,1.171902399266377,0.30144923564930964,1990,Commercial,Commercial_Total,multiplicative,II
1957,0.4161802402230671,0.9662320030363273,0.6565800209742715,1.171902399266377,0.3094154398956608,1990,Commercial,Commercial_Total,multiplicative,II
1958,0.4272645100411018,0.9662320030363273,0.6565800209742715,1.171902399266377,0.3176562064919585,1990,Commercial,Commercial_Total,multiplicative,II
1959,0.4386106198244226,0.9662320030363273,0.6565800209742715,1.171902399266377,0.3260916419365366,1990,Commercial,Commercial_Total,multiplicative,II
1960,0.4025501688536688,0.9662320030363273,0.6565800209742715,1.171902399266377,0.29928195896367044,1990,Commercial,Commercial_Total,multiplicative,II
1961,0.4162499864325308,0.9662320030363273,0.6565800209742715,1.171902399266377,0.3094672937608772,1990,Commercial,Commercial_Total,multiplicative,II
1962,0.43042601750430054,0.9662320030363273,0.6034391697447445,1.1677926826451224,0.2930752738586585,1990,Commercial,Commercial_Total,multiplicative,II
1963,0.4455083350831608,0.9662320030363273,0.55398752996905,1.1624255680055189,0.27720585214998933,1990,Commercial,Commercial_Total,multiplicative,II
1964,0.46145409917842795,0.9662320030363273,0.49874070439056384,1.1524970771681773,0.2562858172035046,1990,Commercial,Commercial_Total,multiplicative,II
1965,0.47856208579305104,0.9662320030363273,0.5006465179431643,1.1430846513982549,0.26462404256876343,1990,Commercial,Commercial_Total,multiplicative,II
1966,0.4974198504334608,0.9662320030363273,0.48291584167341617,1.1377537289428534,0.26407315265681813,1990,Commercial,Commercial_Total,multiplicative,II
1967,0.5166188514355541,0.9662320030363273,0.4406459970023351,1.128079864355047,0.24813118176516924,1990,Commercial,Commercial_Total,multiplicative,II
1968,0.5362248736103218,0.9662320030363273,0.45061602657030936,1.1144316511046652,0.26018870836195385,1990,Commercial,Commercial_Total,multiplicative,II
1969,0.5577361097389303,0.9662320030363273,0.4455335938230194,1.106109343133736,0.2655759218945187,1990,Commercial,Commercial_Total,multiplicative,II
1970,0.5793564733176547,0.9662320030363273,0.45424243242680357,1.0931864599942036,0.277977232252057,1990,Commercial,Commercial_Total,multiplicative,II
1971,0.5998642490334277,0.9784800084928817,0.466010643160796,1.0898524606032887,0.2981044650698375,1990,Commercial,Commercial_Total,multiplicative,II
1972,0.6217435815161146,0.978100993067032,0.4654123786235787,1.0870037226973386,0.30765499597834883,1990,Commercial,Commercial_Total,multiplicative,II
1973,0.645742431119458,0.9749191423163918,0.4878425190528119,1.07946591066592,0.331525167910972,1990,Commercial,Commercial_Total,multiplicative,II
1974,0.6697345333690253,0.9956019498606824,0.4728341434622256,1.0918646775203737,0.34424376062929607,1990,Commercial,Commercial_Total,multiplicative,II
1975,0.689379034446129,0.9764352613288761,0.44685520071077234,1.096130893751336,0.32970896865925325,1990,Commercial,Commercial_Total,multiplicative,II
1976,0.7055774264736233,0.9741371113514721,0.4559055993557305,1.0828332926926643,0.3393136204116605,1990,Commercial,Commercial_Total,multiplicative,II
1977,0.7232101860105246,0.9623998878392422,0.47403780651814376,1.07471627679298,0.3545903434555677,1990,Commercial,Commercial_Total,multiplicative,II
1978,0.7443049351488182,0.944961678662711,0.449587437149871,1.0811622541002035,0.34187719942109857,1990,Commercial,Commercial_Total,multiplicative,II
1979,0.7683742482227304,0.9563576305828047,0.42566112782570836,1.086312278452333,0.33979095050278835,1990,Commercial,Commercial_Total,multiplicative,II
