@filter|Measure|Intensity,@filter|EnergyType,@filter|Measure|Structure,@filter|Measure|BaseYear,@filter|Measure|Effect,@timeseries|Year,@filter|Measure|Activity,@filter|Model,@filter|Sector,total_structure,lower_level
inf,deliv,0.9922008082128944,1985,inf,1949,0.006391091559368622,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1950,0.02965446480366496,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1951,0.10472467806136797,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1952,0.03436778187166415,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1953,0.03776186829885729,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1954,0.037920555497656425,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1955,0.10954789459414864,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1956,0.044546025700949766,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1957,0.045981397402617245,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1958,0.046846123837877736,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1959,0.0512066205556939,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1960,0.11668328166324843,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1961,0.11780584541679467,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1962,0.1767392174060379,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1963,0.18513415459025817,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1964,0.1940131167930881,Multiplicative,Transportation,0.9922008082128944,All_Transportation
inf,deliv,0.9922008082128944,1985,inf,1965,0.1998972723924521,Multiplicative,Transportation,0.9922008082128944,All_Transportation
,deliv,0.9922008082128944,1985,0.5737165219302773,1966,0.5782262191094448,Multiplicative,Transportation,0.9922008082128944,All_Transportation
,deliv,0.9955494935186837,1985,0.591867552386016,1967,0.5945134382963837,Multiplicative,Transportation,0.9955494935186837,All_Transportation
,deliv,0.9944952792295376,1985,0.6175370889050487,1968,0.6209552743010217,Multiplicative,Transportation,0.9944952792295376,All_Transportation
,deliv,0.9925502735811746,1985,0.6411803555271492,1969,0.6459928253444898,Multiplicative,Transportation,0.9925502735811746,All_Transportation
,deliv,0.9924038676893235,1985,0.7024890255743428,1970,0.7078660698995383,Multiplicative,Transportation,0.9924038676893235,All_Transportation
,deliv,0.9955074234363702,1985,0.7349106652569904,1971,0.7382272075080751,Multiplicative,Transportation,0.9955074234363702,All_Transportation
,deliv,0.9970640344918008,1985,0.7777715812719052,1972,0.7800618158575261,Multiplicative,Transportation,0.9970640344918008,All_Transportation
,deliv,0.996569136460819,1985,0.8083946656592021,1973,0.8111777056733934,Multiplicative,Transportation,0.996569136460819,All_Transportation
,deliv,0.9955826296442872,1985,0.792143841589675,1974,0.7956585601264466,Multiplicative,Transportation,0.9955826296442872,All_Transportation
,deliv,1.002322347664371,1985,0.7955641726275958,1975,0.7937208768031895,Multiplicative,Transportation,1.002322347664371,All_Transportation
,deliv,1.0018402938686224,1985,0.840739753487468,1976,0.8391953873615303,Multiplicative,Transportation,1.0018402938686224,All_Transportation
,deliv,1.0019704286726498,1985,0.8762615024522019,1977,0.8745382871358992,Multiplicative,Transportation,1.0019704286726498,All_Transportation
,deliv,0.9972369139045247,1985,0.9332676574242297,1978,0.9358535012208549,Multiplicative,Transportation,0.9972369139045247,All_Transportation
,deliv,0.99476866346698,1985,0.9294881820038319,1979,0.9343762184509996,Multiplicative,Transportation,0.99476866346698,All_Transportation
,deliv,0.9937775821867905,1985,0.9281358813277076,1980,0.9339472915915055,Multiplicative,Transportation,0.9937775821867905,All_Transportation
,deliv,0.9954203103990599,1985,0.9337569910801472,1981,0.9380529825695518,Multiplicative,Transportation,0.9954203103990599,All_Transportation
,deliv,1.000041576041656,1985,0.9302192782113,1982,0.9301806049837195,Multiplicative,Transportation,1.000041576041656,All_Transportation
,deliv,0.9993183863906606,1985,0.9631742846122618,1983,0.9638312451060327,Multiplicative,Transportation,0.9993183863906606,All_Transportation
,deliv,0.9983285436934652,1985,0.9911243884740879,1984,0.9927837831895254,Multiplicative,Transportation,0.9983285436934652,All_Transportation
,deliv,1.0,1985,1.0,1985,1.0,Multiplicative,Transportation,1.0,All_Transportation
,deliv,1.0012434141282507,1985,1.011785562288346,1986,1.0105290561828804,Multiplicative,Transportation,1.0012434141282507,All_Transportation
,deliv,0.9999124194815266,1985,1.0477206633023688,1987,1.0478124312583612,Multiplicative,Transportation,0.9999124194815266,All_Transportation
,deliv,1.000063843265052,1985,1.0872573489433004,1988,1.0871879393155295,Multiplicative,Transportation,1.000063843265052,All_Transportation
,deliv,1.001331870129633,1985,1.1004214408798456,1989,1.098957771849791,Multiplicative,Transportation,1.001331870129633,All_Transportation
,deliv,1.0005577430425012,1985,1.1108440124546222,1990,1.110224792301104,Multiplicative,Transportation,1.0005577430425012,All_Transportation
,deliv,1.0002575212891593,1985,1.1243104832055442,1991,1.1240210238624369,Multiplicative,Transportation,1.0002575212891593,All_Transportation
,deliv,1.0007029913948835,1985,1.1566987592497284,1992,1.1558861812108725,Multiplicative,Transportation,1.0007029913948835,All_Transportation
,deliv,1.000976202954977,1985,1.174540408946336,1993,1.1733949373411487,Multiplicative,Transportation,1.000976202954977,All_Transportation
,deliv,0.9989207494212878,1985,1.2111953876581487,1994,1.2125039832837985,Multiplicative,Transportation,0.9989207494212878,All_Transportation
,deliv,0.9976569179767741,1985,1.2457721306073384,1995,1.2486979322849145,Multiplicative,Transportation,0.9976569179767741,All_Transportation
,deliv,1.008523176521612,1985,1.3356827849717703,1996,1.3243947348622458,Multiplicative,Transportation,1.008523176521612,All_Transportation
,deliv,1.0099103851317919,1985,1.3663060638218723,1997,1.3528983204223326,Multiplicative,Transportation,1.0099103851317919,All_Transportation
,deliv,1.0107710279367357,1985,1.3978194288763293,1998,1.3829239167347989,Multiplicative,Transportation,1.0107710279367357,All_Transportation
,deliv,1.0110559028505297,1985,1.4333644808667976,1999,1.4176906309785922,Multiplicative,Transportation,1.0110559028505297,All_Transportation
,deliv,1.0116913354627814,1985,1.4672722245717498,2000,1.4503160926060223,Multiplicative,Transportation,1.0116913354627814,All_Transportation
,deliv,1.0117390378928623,1985,1.4880338730771554,2001,1.470768466319405,Multiplicative,Transportation,1.0117390378928623,All_Transportation
,deliv,1.0118296998973901,1985,1.518503181783036,2002,1.5007497624719137,Multiplicative,Transportation,1.0118296998973901,All_Transportation
,deliv,1.0122225155055635,1985,1.5440774673160331,2003,1.5254328407670619,Multiplicative,Transportation,1.0122225155055635,All_Transportation
,deliv,1.0124364108321409,1985,1.59892497013236,2004,1.5792843412438842,Multiplicative,Transportation,1.0124364108321409,All_Transportation
,deliv,1.0129442985134505,1985,1.6167355836945907,2005,1.596075505896263,Multiplicative,Transportation,1.0129442985134505,All_Transportation
,deliv,1.013119915486562,1985,1.6370182889938683,2006,1.6158188818227626,Multiplicative,Transportation,1.013119915486562,All_Transportation
