@timeseries|Year,@filter|Model,@filter|Measure|Intensity,@filter|Measure|Activity,@filter|Measure|Structure,@filter|EnergyType,@filter|Measure|BaseYear,@filter|Measure|Effect,@filter|Sector,total_structure,lower_level,@filter|Measure|LowerLevelStructure
1949,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1950,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1951,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1952,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1953,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1954,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1955,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1956,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1957,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1958,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1959,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1960,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1961,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1962,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1963,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1964,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1965,Multiplicative,inf,0.5406475057231908,1.0076849950938185,deliv,1985,inf,Transportation,1.0076849950938185,All_Passenger,
1966,Multiplicative,,0.5406475057231908,1.0076849950938185,deliv,1985,0.5448023791521587,Transportation,1.0076849950938185,All_Passenger,
1967,Multiplicative,,0.5629791705664297,1.0076849950938185,deliv,1985,0.5673056627301547,Transportation,1.0076849950938185,All_Passenger,
1968,Multiplicative,,0.5930846061152224,1.0076849950938185,deliv,1985,0.5976424584034371,Transportation,1.0076849950938185,All_Passenger,
1969,Multiplicative,,0.6201876146776772,1.0076849950938185,deliv,1985,0.6249537534537222,Transportation,1.0076849950938185,All_Passenger,
1970,Multiplicative,,0.680258592451313,0.9999416019218771,deliv,1985,0.6802188666568872,Transportation,0.9999416019218771,All_Passenger,
1971,Multiplicative,,0.7203004240757256,1.0001691618374178,deliv,1985,0.720422271418955,Transportation,1.0001691618374178,All_Passenger,
1972,Multiplicative,,0.7671235567260098,1.000202437193245,deliv,1985,0.7672788510657056,Transportation,1.000202437193245,All_Passenger,
1973,Multiplicative,,0.7956927538758326,1.0001755489122373,deliv,1985,0.7958324368732506,Transportation,1.0001755489122373,All_Passenger,
