@filter|Model,@filter|Measure|Effect,@filter|EnergyType,@timeseries|Year,@filter|Measure|Activity,@filter|Measure|BaseYear,@filter|Measure|Structure,@filter|Measure|Intensity,@filter|Sector,total_structure,lower_level,@filter|Measure|ValueOfShipmentsStructure,@filter|Measure|HouseholdsActivity,@filter|Measure|AverageSizeIntensity,@filter|Measure|AverageSizeStructure,@filter|Measure|ValueOfShipmentsActivity,@filter|Measure|ValueOfShipmentsIntensity,@filter|Measure|HouseholdsStructure,@filter|Measure|TotalFloorspaceActivity,@filter|Measure|HouseholdsIntensity,@filter|Measure|AverageSizeActivity,@filter|Measure|TotalFloorspaceIntensity,@filter|Measure|TotalFloorspaceStructure,@filter|Measure|LowerLevelStructure
Multiplicative,0.9972929234785048,primary,2019,0.9959457773346412,2020,0.9988912097009957,1.0024641525345261,Projections,0.9988912097009957,Transportation,,,,,,,,,,,,,
Multiplicative,1.0,primary,2020,1.0,2020,1.0,1.0,Projections,1.0,Transportation,,,,,,,,,,,,,
Multiplicative,0.9974761610378492,primary,2021,1.003752347324194,2020,1.00075903177523,0.99299356243894,Projections,1.00075903177523,Transportation,,,,,,,,,,,,,
Multiplicative,0.9889170471461572,primary,2022,1.0114827663345975,2020,1.0008696899605916,0.9768409073610678,Projections,1.0008696899605916,Transportation,,,,,,,,,,,,,
Multiplicative,0.9757104391552142,primary,2023,1.0162885164907718,2020,1.0009357900187894,0.9591746997837621,Projections,1.0009357900187894,Transportation,,,,,,,,,,,,,
Multiplicative,0.9606648584160808,primary,2024,1.0211895408292857,2020,1.0010193445586095,0.939773243580058,Projections,1.0010193445586095,Transportation,,,,,,,,,,,,,
Multiplicative,0.9446213519823575,primary,2025,1.0237841290735838,2020,1.0013141122104543,0.9214653908537317,Projections,1.0013141122104543,Transportation,,,,,,,,,,,,,
Multiplicative,0.9333127629839756,primary,2026,1.0343628019420483,2020,1.0012178082515568,0.9012094670478481,Projections,1.0012178082515568,Transportation,,,,,,,,,,,,,
Multiplicative,0.9236906773291549,primary,2027,1.0422716161432592,2020,1.001372304335872,0.8850138634198459,Projections,1.001372304335872,Transportation,,,,,,,,,,,,,
Multiplicative,0.914989622602996,primary,2028,1.0503357146062486,2020,1.001531717312243,0.8698078603630555,Projections,1.001531717312243,Transportation,,,,,,,,,,,,,
Multiplicative,0.9070571318487246,primary,2029,1.0596289125843652,2020,1.0016238488307143,0.8546261671030181,Projections,1.0016238488307143,Transportation,,,,,,,,,,,,,
Multiplicative,0.900062448439369,primary,2030,1.068126046207582,2020,1.0018085200470197,0.8411344421454966,Projections,1.0018085200470197,Transportation,,,,,,,,,,,,,
Multiplicative,0.8934953258083629,primary,2031,1.0777212548817854,2020,1.0019232573218393,0.8274683263078856,Projections,1.0019232573218393,Transportation,,,,,,,,,,,,,
Multiplicative,0.886009502713728,primary,2032,1.0860356520672703,2020,1.0020656593172699,0.8141381730975527,Projections,1.0020656593172699,Transportation,,,,,,,,,,,,,
Multiplicative,0.8783685513019301,primary,2033,1.0945083237095548,2020,1.0021763828646117,0.8007806039793351,Projections,1.0021763828646117,Transportation,,,,,,,,,,,,,
Multiplicative,0.8699481565163237,primary,2034,1.1021999920540573,2020,1.0022899807017482,0.7874800851740367,Projections,1.0022899807017482,Transportation,,,,,,,,,,,,,
Multiplicative,0.8609626806143883,primary,2035,1.1083417593279394,2020,1.002447114095466,0.7749062440800577,Projections,1.002447114095466,Transportation,,,,,,,,,,,,,
Multiplicative,0.8533116222343436,primary,2036,1.1158563710469207,2020,1.002579237817421,0.7627472609705224,Projections,1.002579237817421,Transportation,,,,,,,,,,,,,
Multiplicative,0.845902899362114,primary,2037,1.1218867409198012,2020,1.0027849893715215,0.7519062136594277,Projections,1.0027849893715215,Transportation,,,,,,,,,,,,,
Multiplicative,0.8387361385912943,primary,2038,1.1287333870838356,2020,1.0029356484773266,0.7409022545006092,Projections,1.0029356484773266,Transportation,,,,,,,,,,,,,
Multiplicative,0.8320114959545639,primary,2039,1.1352735811122485,2020,1.0031081585265917,0.7306022962171832,Projections,1.0031081585265917,Transportation,,,,,,,,,,,,,
Multiplicative,0.8263056726905493,primary,2040,1.1439623341521596,2020,1.0032039454521369,0.7200120711639998,Projections,1.0032039454521369,Transportation,,,,,,,,,,,,,
Multiplicative,0.8211163402490097,primary,2041,1.15257547823197,2020,1.0032936385761613,0.710079967451803,Projections,1.0032936385761613,Transportation,,,,,,,,,,,,,
Multiplicative,0.8165689451224408,primary,2042,1.1613603048973542,2020,1.0033921884244927,0.7007371876006222,Projections,1.0033921884244927,Transportation,,,,,,,,,,,,,
Multiplicative,0.8127198508169083,primary,2043,1.170585710637178,2020,1.0034905096023312,0.691869808824556,Projections,1.0034905096023312,Transportation,,,,,,,,,,,,,
Multiplicative,0.8094573372582913,primary,2044,1.1802018377903432,2020,1.0035722315808104,0.6834221359049651,Projections,1.0035722315808104,Transportation,,,,,,,,,,,,,
Multiplicative,0.8065304588871516,primary,2045,1.189412563364798,2020,1.003680362811673,0.6756049527168579,Projections,1.003680362811673,Transportation,,,,,,,,,,,,,
Multiplicative,0.8045340492242542,primary,2046,1.1996208227532836,2020,1.00376815057829,0.6681393063881588,Projections,1.00376815057829,Transportation,,,,,,,,,,,,,
Multiplicative,0.8030925485149502,primary,2047,1.2097786093399967,2020,1.0038662494048602,0.6612776458037267,Projections,1.0038662494048602,Transportation,,,,,,,,,,,,,
Multiplicative,0.8021960634069817,primary,2048,1.220239807521273,2020,1.0039604513424243,0.654815170718986,Projections,1.0039604513424243,Transportation,,,,,,,,,,,,,
Multiplicative,0.8019935344254174,primary,2049,1.2311228289800014,2020,1.0040485363257066,0.6488058769231971,Projections,1.0040485363257066,Transportation,,,,,,,,,,,,,
Multiplicative,0.802490122460739,primary,2050,1.2419321337504357,2020,1.004153964224525,0.643489588121064,Projections,1.004153964224525,Transportation,,,,,,,,,,,,,
Additive,0.0,primary,2019,0.0,2020,0.0,0.0,Projections,0.0,Transportation,,,,,,,,,,,,,
Additive,0.0,primary,2020,0.0,2020,0.0,0.0,Projections,0.0,Transportation,,,,,,,,,,,,,
Additive,-230.3201906046522,primary,2021,0.0037453248307142088,2020,27.861401809484335,-258.18533773896723,Projections,27.861401809484335,Transportation,,,,,,,,,,,,,
Additive,-825.160166121284,primary,2022,0.011417339749028883,2020,31.89894887106984,-857.0705323321029,Projections,31.89894887106984,Transportation,,,,,,,,,,,,,
Additive,-1481.90981040615,primary,2023,0.01615728176759879,2020,34.28405673184699,-1516.2100244197645,Projections,34.28405673184699,Transportation,,,,,,,,,,,,,
Additive,-2206.335355162839,primary,2024,0.020968164293264008,2020,37.25538800335057,-2243.6117113304826,Projections,37.25538800335057,Transportation,,,,,,,,,,,,,
Additive,-2885.079714163827,primary,2025,0.023505692941880183,2020,47.56747901054865,-2932.6706988673172,Projections,47.56747901054865,Transportation,,,,,,,,,,,,,
Additive,-3655.738956467727,primary,2026,0.033785586829331755,2020,44.24704691508755,-3700.0197889696437,Projections,44.24704691508755,Transportation,,,,,,,,,,,,,
Additive,-4269.533262970888,primary,2027,0.041402577446895024,2020,49.51435700246934,-4319.089022550804,Projections,49.51435700246934,Transportation,,,,,,,,,,,,,
Additive,-4849.950024110906,primary,2028,0.04910984126369162,2020,54.89484197645581,-4904.893975928625,Projections,54.89484197645581,Transportation,,,,,,,,,,,,,
Additive,-5436.651946004738,primary,2029,0.0579187643632231,2020,57.97594357178614,-5494.685808340887,Projections,57.97594357178614,Transportation,,,,,,,,,,,,,
Additive,-5959.152141813176,primary,2030,0.0659057543677129,2020,64.10035997770166,-6023.318407545245,Projections,64.10035997770166,Transportation,,,,,,,,,,,,,
Additive,-6495.464972146722,primary,2031,0.07484886287377011,2020,67.87636990054632,-6563.416190910141,Projections,67.87636990054632,Transportation,,,,,,,,,,,,,
Additive,-7022.095342581011,primary,2032,0.08253404976411521,2020,72.52549815785792,-7094.703374788633,Projections,72.52549815785792,Transportation,,,,,,,,,,,,,
Additive,-7555.081656432903,primary,2033,0.09030524298571738,2020,76.10920953397229,-7631.28117120986,Projections,76.10920953397229,Transportation,,,,,,,,,,,,,
Additive,-8089.739765758108,primary,2034,0.09730817525783152,2020,79.75206092658644,-8169.589134859951,Projections,79.75206092658644,Transportation,,,,,,,,,,,,,
Additive,-8596.919259470491,primary,2035,0.10286498781195755,2020,84.74016343553473,-8681.762287893835,Projections,84.74016343553473,Transportation,,,,,,,,,,,,,
Additive,-9091.164183795858,primary,2036,0.10962215589784681,2020,88.89345223773796,-9180.16725818949,Projections,88.89345223773796,Transportation,,,,,,,,,,,,,
Additive,-9531.914041924536,primary,2037,0.11501185808357782,2020,95.30332124193706,-9627.332375024554,Projections,95.30332124193706,Transportation,,,,,,,,,,,,,
Additive,-9983.832553388074,primary,2038,0.12109610766407905,2020,99.95578462612511,-10083.909434121862,Projections,99.95578462612511,Transportation,,,,,,,,,,,,,
Additive,-10408.52262812119,primary,2039,0.12687366251527255,2020,105.2382455372169,-10513.887747320921,Projections,105.2382455372169,Transportation,,,,,,,,,,,,,
Additive,-10850.731087848333,primary,2040,0.13449796772340797,2020,108.14914853914007,-10959.014734355196,Projections,108.14914853914007,Transportation,,,,,,,,,,,,,
Additive,-11268.689163375735,primary,2041,0.14199898461795918,2020,110.85670948585008,-11379.687871846203,Projections,110.85670948585008,Transportation,,,,,,,,,,,,,
Additive,-11664.472190931923,primary,2042,0.14959199470574835,2020,113.8137708093299,-11778.435553735959,Projections,113.8137708093299,Transportation,,,,,,,,,,,,,
Additive,-12042.970098001962,primary,2043,0.15750423092979526,2020,116.7485609796588,-12159.876163212552,Projections,116.7485609796588,Transportation,,,,,,,,,,,,,
Additive,-12406.888750609383,primary,2044,0.16568547282523205,2020,119.17701968203104,-12526.23145576424,Projections,119.17701968203104,Transportation,,,,,,,,,,,,,
Additive,-12745.440648051432,primary,2045,0.17345954100974917,2020,122.3776973725426,-12867.991804964986,Projections,122.3776973725426,Transportation,,,,,,,,,,,,,
Additive,-13071.93962696818,primary,2046,0.18200552582249652,2020,124.96804439436085,-13197.089676888365,Projections,124.96804439436085,Transportation,,,,,,,,,,,,,
Additive,-13374.123262521067,primary,2047,0.19043737538045047,2020,127.85619853864779,-13502.169898435095,Projections,127.85619853864779,Transportation,,,,,,,,,,,,,
Additive,-13661.16398509881,primary,2048,0.19904740297110995,2020,130.62532752464443,-13791.988360026426,Projections,130.62532752464443,Transportation,,,,,,,,,,,,,
Additive,-13930.45449014185,primary,2049,0.2079266220621707,2020,133.21264003347247,-14063.875056797386,Projections,133.21264003347247,Transportation,,,,,,,,,,,,,
Additive,-14170.033003425357,primary,2050,0.21666833930530452,2020,136.3096372892939,-14306.559309053957,Projections,136.3096372892939,Transportation,,,,,,,,,,,,,
Multiplicative,0.00031860384962297043,total_energy,2019,0.9831192687423651,2020,,0.00032391527564584424,Projections,1.0004914492021162,Industrial,1.0004914492021162,,,,,,,,,,,,
Multiplicative,1.0,total_energy,2020,1.0,2020,,1.0,Projections,1.0,Industrial,1.0,,,,,,,,,,,,
Multiplicative,1.4151426911670614e-08,total_energy,2021,1.021415957951691,2020,,1.386660799879396e-08,Projections,0.9991423223852929,Industrial,0.9991423223852929,,,,,,,,,,,,
Multiplicative,0.013421968256697088,total_energy,2022,1.0420127946680056,2020,,0.012881095021993711,Projections,0.9999778304528719,Industrial,0.9999778304528719,,,,,,,,,,,,
Multiplicative,0.19695527805782964,total_energy,2023,1.0567441547611185,2020,,0.18596939601255594,Projections,1.002204362351029,Industrial,1.002204362351029,,,,,,,,,,,,
Multiplicative,1.0289851204006564,total_energy,2024,1.0748206439606223,2020,,0.9544597356878101,Projections,1.0030336041303625,Industrial,1.0030336041303625,,,,,,,,,,,,
Multiplicative,20117.347530511994,total_energy,2025,1.0936172304669458,2020,,18343.477197036744,Projections,1.0028216702601076,Industrial,1.0028216702601076,,,,,,,,,,,,
Multiplicative,20776670837788.27,total_energy,2026,1.1126296354324139,2020,,18627486242791.273,Projections,1.0024693072385655,Industrial,1.0024693072385655,,,,,,,,,,,,
Multiplicative,782710.4572909429,total_energy,2027,1.1290516278581502,2020,,691284.3902484614,Projections,1.0028375441150565,Industrial,1.0028375441150565,,,,,,,,,,,,
Multiplicative,0.01810749186136883,total_energy,2028,1.146787876612531,2020,,0.0157391835180192,Projections,1.0032126651461417,Industrial,1.0032126651461417,,,,,,,,,,,,
Multiplicative,1.1445147442393176e-09,total_energy,2029,1.1650033419607786,2020,,9.789342246247166e-10,Projections,1.0035539125894648,Industrial,1.0035539125894648,,,,,,,,,,,,
Multiplicative,5.926819462930948e-14,total_energy,2030,1.183830129474512,2020,,4.9858152244233545e-14,Projections,1.004144306240727,Industrial,1.004144306240727,,,,,,,,,,,,
Multiplicative,1.2247586596372746e-39,total_energy,2031,1.205038552383614,2020,,1.0120508467106762e-39,Projections,1.0042624972563798,Industrial,1.0042624972563798,,,,,,,,,,,,
Multiplicative,4.9494450677836065e-42,total_energy,2032,1.2227056635354192,2020,,4.026473368863312e-42,Projections,1.0053325721824562,Industrial,1.0053325721824562,,,,,,,,,,,,
Multiplicative,1.9875849923860348e-44,total_energy,2033,1.2399962799687485,2020,,1.592439754550212e-44,Projections,1.0065661366717746,Industrial,1.0065661366717746,,,,,,,,,,,,
Multiplicative,1.8107328191608474e-47,total_energy,2034,1.2594360039304493,2020,,1.4269777128372502e-47,Projections,1.0075371733662715,Industrial,1.0075371733662715,,,,,,,,,,,,
Multiplicative,1.4035345413061755e-49,total_energy,2035,1.2778059015857008,2020,,1.088876579502361e-49,Projections,1.0087407349605229,Industrial,1.0087407349605229,,,,,,,,,,,,
Multiplicative,1.817353437084043e-51,total_energy,2036,1.2940334267556912,2020,,1.390437079170298e-51,Projections,1.0100492745131302,Industrial,1.0100492745131302,,,,,,,,,,,,
Multiplicative,3.342468635936484e-53,total_energy,2037,1.3093297352589655,2020,,2.523620026428877e-53,Projections,1.0115662816876407,Industrial,1.0115662816876407,,,,,,,,,,,,
