@filter|Measure|Activity,@filter|Measure|BaseYear,@filter|Model,@filter|Measure|Intensity,@filter|Measure|Effect,@filter|Measure|Structure,@timeseries|Year,@filter|EnergyType,@filter|Sector,total_structure,lower_level,@filter|Measure|FloorspaceSquareFeetStructure,@filter|Measure|OccupiedHousingUnitsStructure,@filter|Measure|HouseholdSizeSquareFeetPerHuStructure,@filter|Measure|WeatherStructure,@filter|Measure|ValueAddedStructure,@filter|Measure|GrossOutputStructure,@filter|Measure|HouseholdSizeSquareFeetPerHuIntensity,@filter|Measure|HouseholdSizeSquareFeetPerHuActivity,@filter|Measure|ValueAddedIntensity,@filter|Measure|GrossOutputActivity,@filter|Measure|FloorspaceSquareFeetActivity,@filter|Measure|OccupiedHousingUnitsActivity,@filter|Measure|LowerLevelStructure,@filter|Measure|FloorspaceSquareFeetIntensity,@filter|Measure|OccupiedHousingUnitsIntensity,@filter|Measure|GrossOutputIntensity,@filter|Measure|ValueAddedActivity
0.11498768126354024,1985,Multiplicative,0.5575668696656764,0.0642328733158883,1.001864695524722,1949,primary,Economy_wide,1.001864695524722,Elec Power,,,,,,,,,,,,,,,,,
0.13179130732449154,1985,Multiplicative,0.487976913213893,0.06440635237843423,1.001480879958415,1950,primary,Economy_wide,1.001480879958415,Elec Power,,,,,,,,,,,,,,,,,
0.1510909007979643,1985,Multiplicative,0.4289012870916666,0.06486561416241968,1.0009649593904666,1951,primary,Economy_wide,1.0009649593904666,Elec Power,,,,,,,,,,,,,,,,,
0.1634581985471233,1985,Multiplicative,0.4461261084144852,0.07298424558678375,1.0008402781799495,1952,primary,Economy_wide,1.0008402781799495,Elec Power,,,,,,,,,,,,,,,,,
0.184943733577556,1985,Multiplicative,0.3493892238340319,0.06463440224707284,1.0002639340687154,1953,primary,Economy_wide,1.0002639340687154,Elec Power,,,,,,,,,,,,,,,,,
0.19875809265084754,1985,Multiplicative,0.26953710891395594,0.05357154833212625,0.9999788449224466,1954,primary,Economy_wide,0.9999788449224466,Elec Power,,,,,,,,,,,,,,,,,
0.23404580058228625,1985,Multiplicative,0.23520123054514758,0.055018847710909,0.9994729569903287,1955,primary,Economy_wide,0.9994729569903287,Elec Power,,,,,,,,,,,,,,,,,
0.2576525068915548,1985,Multiplicative,0.18385120015803968,0.04734068429291806,0.9993869855844959,1956,primary,Economy_wide,0.9993869855844959,Elec Power,,,,,,,,,,,,,,,,,
0.270218685847328,1985,Multiplicative,0.19017693782429207,0.05136423572680808,0.9995110565794754,1957,primary,Economy_wide,0.9995110565794754,Elec Power,,,,,,,,,,,,,,,,,
0.2736041784075747,1985,Multiplicative,0.19439792581986345,0.05318381510472487,0.9999197250028207,1958,primary,Economy_wide,0.9999197250028207,Elec Power,,,,,,,,,,,,,,,,,
0.3065943505557924,1985,Multiplicative,0.164472372523592,0.05037941117947229,0.9990701467577984,1959,primary,Economy_wide,0.9990701467577984,Elec Power,,,,,,,,,,,,,,,,,
0.32640418602709237,1985,Multiplicative,0.16412621469703909,0.053520471077638576,0.999047768833151,1960,primary,Economy_wide,0.999047768833151,Elec Power,,,,,,,,,,,,,,,,,
0.34281431198498324,1985,Multiplicative,0.17141284333241286,0.05870819120804649,0.9990710999700121,1961,primary,Economy_wide,0.9990710999700121,Elec Power,,,,,,,,,,,,,,,,,
0.36731738103211736,1985,Multiplicative,0.17326548002701056,0.06359837294336601,0.9992921593187954,1962,primary,Economy_wide,0.9992921593187954,Elec Power,,,,,,,,,,,,,,,,,
0.3987608085373224,1985,Multiplicative,0.17069257196038637,0.06798270370650789,0.9987834616657343,1963,primary,Economy_wide,0.9987834616657343,Elec Power,,,,,,,,,,,,,,,,,
0.4282639526337966,1985,Multiplicative,0.1759347370070594,0.07525314160178126,0.9987608678947523,1964,primary,Economy_wide,0.9987608678947523,Elec Power,,,,,,,,,,,,,,,,,
0.45791886030125273,1985,Multiplicative,0.19229086005410603,0.08795482822474517,0.9988781464392453,1965,primary,Economy_wide,0.9988781464392453,Elec Power,,,,,,,,,,,,,,,,,
0.5011619455380111,1985,Multiplicative,0.18676728483782765,0.09346492411712667,0.9985498849997988,1966,primary,Economy_wide,0.9985498849997988,Elec Power,,,,,,,,,,,,,,,,,
