Year,Mixed (Commercial Sector),Liquefied Petroleum Gases (LPG),Kerosene,Natural Gas,Propane,Wood and Wood Residuals,Census Region
2002,22907.61,3903589.47,79110.40000000001,100961453.74000001,,8684191.6,2
2003,20456.59,3943392.42,82870.40000000001,104295425.78,,9140997.6,2
2004,19702.43,3468410.5500000003,95353.6,98056312.62,,9369588.2,2
2005,16120.17,3518827.62,91969.6,96956750.24000001,,12348582.4,2
2006,8861.38,2907960.33,67454.40000000001,86116380.0,,10951806.6,2
2007,14706.119999999999,3243847.86,46624.0,93265896.64,,12104702.4,2
2008,0.0,3739008.9,23763.2,99445529.54,,13545751.799999999,2
2009,0.0,3568195.62,40156.8,94371507.86,,13252345.4,2
2010,0.0,3305557.86,36020.8,89989441.64,3367694.42,14213232.6,2
2011,0.0,3162452.37,24891.2,90611941.56,3221898.8899999997,13785504.6,2
2012,0.0,2529122.64,7820.8,77827930.46000001,2576664.08,11519765.6,2
2013,0.0,3157207.02,9550.4,96876258.22,3216554.94,15031825.2,2
2014,0.0,3293956.38,17371.2,102963301.42,3355874.86,15212577.799999999,2
2015,0.0,2856741.0300000003,11731.2,87514776.3,2910440.9099999997,14678293.0,2
2016,0.0,2802436.23,17070.4,82879507.76,2855115.31,12489563.799999999,2
2017,0.0,2808483.81,8648.0,83465130.98,2861276.57,11747887.2,2
2018,0.0,3456068.5500000003,8572.800000000001,96457880.12,3521034.3499999996,14846288.799999999,2
2019,0.0,,11430.4,96517201.2,,,2
1960,317972.70999999996,1888387.71,2072587.2000000002,36873728.64,,28293456.8,3
1961,281018.87,1941581.73,2209977.6,36930343.660000004,,26187928.2,3
1962,297893.2,2087649.3,2277507.2,39632954.760000005,,24785899.599999998,3
1963,274137.16,2214525.06,2271716.8000000003,41729408.42,,23569876.4,3
1964,233601.06,2390336.85,1975880.0,43369546.08,,21583567.599999998,3
1965,194290.47,2425820.1,2057547.2000000002,41354274.22,,19946007.2,3
1966,207771.08,2509498.86,2138838.4,44378110.56,,19145705.599999998,3
1967,183637.96,2565469.83,2126881.6,46664519.02,,17585624.0,3
1968,176379.16999999998,2931410.13,2220505.6,50015258.02,,16987086.2,3
1969,175719.28,3461745.87,2106803.2,52632548.64,,15954535.799999999,3
1970,148098.16999999998,3439036.59,2001824.0,54735581.74,,14686547.4,3
1971,117648.95999999999,3444713.91,1998139.2000000002,54121995.900000006,,13800700.2,3
1972,90122.12,3670017.12,1623793.6,55447275.52,,13392482.6,3
1973,83051.87,3477852.18,1390824.0,54422421.620000005,,12803606.2,3
1974,80977.93,3109752.0300000003,1088144.0,51243809.260000005,,13565074.6,3
1975,54205.25,2988615.3,965793.6000000001,53036547.480000004,,15655876.6,3
1976,46475.11,3129684.36,1043249.6000000001,55975063.34,,17683832.599999998,3
1977,50057.369999999995,3105432.33,945564.8,57669481.38,,19676707.4,3
1978,38462.159999999996,2951836.14,859536.0,57313501.84,,21009136.4,3
1979,38179.35,1892275.44,950678.4,58267520.64,,23577568.0,3
1980,33465.85,1823160.24,789148.8,51590609.42,,21841517.599999998,3
1981,25452.899999999998,1759413.81,522940.80000000005,50053620.4,,20082955.2,3
1982,27244.03,1537998.33,552118.4,49153192.2,,31203883.2,3
1983,30543.48,1828960.98,587312.0,48402074.84,,22302544.599999998,3
1984,34125.74,1669625.76,1011139.2000000001,51338256.06,,30841909.0,3
1985,32805.96,1936953.48,1049792.0,46584610.660000004,,31770341.4,3
1986,33465.85,1850682.9000000001,779147.2000000001,45813808.04,,28939176.0,3
1987,36482.49,1989962.37,769220.8,48356973.84,,24825577.0,3
1988,35445.52,1910850.1500000001,934059.2000000001,50427799.52,,26493810.0,3
1989,23944.579999999998,2108383.86,744254.4,51230862.620000005,,26785152.8,3
1990,23096.149999999998,1910850.1500000001,367652.8,46227145.440000005,,15866926.6,3
1991,14988.929999999998,1867899.99,421044.8,48444469.78,,16634116.799999999,3
1992,18759.73,1885734.18,411344.0,50441435.940000005,,17452052.8,3
1993,22530.53,2008907.34,462329.60000000003,54191928.980000004,,16369507.0,3
1994,17911.3,1978114.05,364870.4,51233038.080000006,,15537970.0,3
1995,15366.01,1954725.96,450824.0,52003628.46,,15537970.0,3
1996,12066.56,2128377.9,547606.4,58046950.22,,16135757.4,3
1997,14988.929999999998,2228224.68,558510.4,54465400.22,,10714023.6,3
1998,9804.08,2098325.13,650404.8,48692525.28,,9520981.4,3
1999,14611.849999999999,2772383.46,540086.4,47510030.120000005,,9771708.799999999,3
2000,9144.19,3087413.0100000002,475715.2,54614764.120000005,,10523234.4,3
2001,8955.65,2913143.97,459923.2,51799825.0,,8078525.0,3
2002,7258.79,2707958.22,275081.60000000003,53339785.38,,8200183.6,3
2003,9521.27,2588487.66,362990.4,55021044.54,,8631945.0,3
2004,8955.65,2542266.87,424203.2,51832297.72,,8847403.6,3
2005,6127.55,2397371.79,411945.60000000003,51276759.52,,11002833.799999999,3
2006,4147.88,2111407.65,307192.0,45040776.9,,9758295.4,3
2007,4336.42,2185336.23,196648.0,49044366.14,,10785499.2,3
2008,0.0,2368800.06,88360.0,50686095.6,,12069527.4,3
2009,0.0,2403481.08,97158.40000000001,50145520.32,,14667787.4,3
2010,0.0,2495058.72,120996.8,56180511.660000004,2541959.84,15731479.4,3
2011,0.0,2109494.64,61288.0,49670686.38,2149148.08,15257977.0,3
2012,0.0,1633155.15,23086.4,42214801.300000004,1663854.55,12750327.799999999,3
2013,0.0,1819149.09,24665.600000000002,52368734.32,1853344.73,16637399.799999999,3
2014,0.0,2009586.1500000001,42412.8,57562512.42,2047361.5499999998,16837381.4,3
2015,0.0,1903012.98,31508.800000000003,50814288.56,1938785.0599999998,7496214.6,3
2016,0.0,1713686.7,41961.6,45540602.1,1745899.9,6398473.2,3
2017,0.0,1590945.51,23086.4,43680265.440000005,1620851.47,5591418.0,3
2018,0.0,1887338.6400000001,25944.0,54913120.5,1922816.0799999998,7373055.2,3
2019,0.0,,29027.2,52201489.2,,,3
1960,86257.05,586738.68,6918.400000000001,28241450.3,,8471734.6,4
1961,85879.97,617840.52,12934.4,29202154.66,,8049071.8,4
1962,87765.37,668504.43,10452.800000000001,31659999.98,,7628003.6,4
1963,74379.03,691152.0,12182.4,32027387.42,,7273158.2,4
1964,72022.28,800070.15,17596.8,36247673.7,,7210124.6,4
1965,70702.5,768042.66,31208.0,37352860.440000005,,6650232.399999999,4
1966,72870.70999999999,683438.25,36472.0,39406229.38,,6351760.8,4
1967,61275.5,861718.4400000001,38953.6,41098100.54,,6246892.399999999,4
1968,49208.939999999995,904236.63,35193.6,41553249.22,,6188924.0,4
1969,55996.38,971562.24,35419.200000000004,45128644.260000005,,6137334.0,4
1970,43269.93,958171.17,46548.8,45411878.54,,6066046.0,4
1971,44024.09,994703.49,43315.200000000004,50622476.660000004,,5958082.2,4
1972,29035.16,1003281.18,38728.0,52027187.1,,5751628.399999999,4
1973,23661.77,915776.4,32260.800000000003,50108749.74,,5393500.0,4
1974,21870.64,829629.24,56625.6,47441635.78,,5486924.8,4
1975,13009.26,663814.47,53241.6,52620663.2,,6734183.399999999,4
1976,16685.79,668751.27,58430.4,51619898.54,,7313398.399999999,4
1977,24793.01,648016.71,77832.0,45028891.46,,8287886.6,4
1978,25547.17,791492.46,85276.8,44934020.18,,9157412.6,4
1979,27338.3,674243.46,88961.6,49045374.28,,11106482.799999999,4
1980,15931.63,688621.89,20680.0,44668561.0,,9857535.799999999,4
1981,18665.46,648263.55,67078.40000000001,40764830.68,,12544061.6,4
1982,19608.16,712812.21,41811.200000000004,44640492.260000005,,11977884.799999999,4
1983,18288.38,853387.59,56099.200000000004,42274281.56,,13930331.799999999,4
1984,25452.899999999998,568966.2,26470.4,41828577.56,,16235842.0,4
1985,26678.41,755824.08,27748.8,45070012.96,,16724633.799999999,4
1986,22624.8,616606.3200000001,28350.4,40514334.42,,15234339.4,4
1987,8767.109999999999,739656.06,16995.2,42222548.06,,16124782.799999999,4
1988,13480.609999999999,719168.34,18950.4,42910630.14,,17208735.599999998,4
1989,13480.609999999999,781680.5700000001,20680.0,44317038.5,,17397742.599999998,4
1990,21964.91,778780.2,14964.800000000001,44614333.68,,11710742.4,4
1991,21305.02,857645.58,14964.800000000001,45856839.7,,12276731.6,4
1992,18288.38,698495.49,10452.800000000001,43251328.4,,12880522.2,4
1993,21022.21,673070.97,14664.0,46833409.0,,11318658.4,4
1994,16874.329999999998,663937.89,19251.2,47288557.68,,10743664.4,4
1995,12726.449999999999,718304.4,18574.4,45023267.1,,10743664.4,4
1996,13669.15,664554.99,23236.8,47004633.620000005,,11156947.2,4
1997,11123.859999999999,578469.54,26019.2,48006353.36,,9121768.6,4
1998,10463.97,712503.66,37073.6,51998481.64,,8106102.2,4
1999,11029.59,919108.74,32486.4,53648859.88,,8319309.6,4
2000,9049.92,1029322.8,45420.8,51348549.7,,8959307.0,4
2001,10463.97,1035925.77,51286.4,52269883.54,,8953772.799999999,4
2002,11783.75,1056598.62,29177.600000000002,52229982.42,,9088469.6,4
2003,11406.67,1099240.23,33915.200000000004,50640357.88,,9567037.2,4
2004,11123.859999999999,1152742.8,40457.6,52162967.64,,9806039.6,4
2005,7164.5199999999995,1267955.37,40307.200000000004,50750722.68,,8664962.6,4
2006,7353.0599999999995,1163727.18,51812.8,51294852.980000004,,7684846.399999999,4
2007,5656.2,1212786.6300000001,27523.2,52672237.52,,8493871.4,4
2008,0.0,1468883.1300000001,19702.4,53816051.940000005,,9504847.799999999,4
2009,0.0,1457528.49,22635.2,52538897.74,,9691978.799999999,4
2010,0.0,1394028.9,20379.2,52954304.480000004,1420233.3,10394728.4,4
2011,0.0,1382304.0,16393.600000000002,55216729.82,1408288.0,10082093.0,4
2012,0.0,1090662.54,7068.8,50808558.080000006,1111164.38,8424740.799999999,4
2013,0.0,1199950.95,6091.2,53899356.14,1222507.15,10993547.6,4
2014,0.0,1086342.84,7520.0,47195543.5,1106763.48,11125430.4,4
2015,0.0,1030433.58,5865.6,46102029.96,1049803.26,12014279.2,4
2016,0.0,1104485.58,11054.4,47464823.0,1125247.26,11850223.0,4
2017,0.0,1157803.02,6166.400000000001,50010960.160000004,1179566.94,11898342.4,4
2018,0.0,1220068.41,5865.6,49850772.02,1243002.77,13565074.6,4
2019,0.0,,8347.2,55230949.900000006,,,4
