Year,Mixed (Commercial Sector),Liquefied Petroleum Gases (LPG),Kerosene,Natural Gas,Propane,Wood and Wood Residuals,Census Region
1960,702500.0399999999,342675.63,1418798.4000000001,31898557.740000002,,8395756.6,1
1961,632740.24,332740.32,1542728.0,34050565.22,,8091094.2,1
1962,564111.6799999999,365508.33,1430980.8,36015430.08,,7923192.2,1
1963,507266.87,388958.13,1375558.4000000001,37434466.72,,7758573.2,1
1964,470218.75999999995,449927.61,1154921.6,38296373.36,,7261714.6,1
1965,419218.69,376122.45,1146800.0,40126359.7,,7023087.399999999,1
1966,363693.66,383774.49,1015801.6000000001,43802091.2,,6974499.0,1
1967,320895.07999999996,370630.26,1050769.6,44707347.86,,7080868.2,1
1968,292142.73,390315.75,1120254.4000000001,45520598.480000004,,7116512.2,1
1969,257734.18,458258.46,1141912.0,47521756.38,,7168289.8,1
1970,250852.47,453074.82,1113185.6,48538969.64,,7337692.6,1
1971,208808.05,457332.81,1155372.8,49487576.32,,7135928.8,1
1972,137257.12,512933.52,1230873.6,50789456.480000004,,7365082.2,1
1973,127830.12,493124.61,943384.0,47937428.42,,6735684.2,1
1974,91913.25,474241.35000000003,768017.6,47052971.28,,6930882.0,1
1975,72022.28,519042.81,657398.4,46184166.84,,7789339.6,1
1976,64197.869999999995,559154.31,828252.8,49014334.18,,9141185.2,1
1977,59767.18,578531.25,705977.6,46725962.5,,10401294.4,1
1978,54205.25,550144.65,612880.0,47304581.800000004,,12705210.0,1
1979,33088.77,404447.34,451952.0,45506749.82,,14713843.2,1
1980,42327.229999999996,399633.96,444732.8,48036385.32,,24121608.0,1
1981,44589.71,431784.87,355921.60000000003,48776890.68,,25491181.8,1
1982,43269.93,417591.57,446612.8,48613996.480000004,,22591073.4,1
1983,32900.229999999996,496456.95,314411.2,45815081.480000004,,28308558.599999998,1
1984,42892.85,489113.46,888187.2000000001,48056813.42,,19832603.0,1
1985,43458.47,537432.39,794939.2000000001,46062712.5,,20429546.2,1
1986,47040.729999999996,546010.08,615211.2000000001,48315480.92,,18609263.4,1
1987,45720.95,649065.78,616414.4,48801988.06,,15653625.4,1
1988,38744.97,673626.36,743352.0,52049790.660000004,,16705498.6,1
1989,36576.76,736262.01,604608.0,53626786.92,,16889159.0,1
1990,32805.96,698865.75,362689.60000000003,48833452.64,,11344265.799999999,1
1991,30166.399999999998,779952.6900000001,406531.2,49043145.760000005,,11892526.799999999,1
1992,34974.17,815744.49,341032.0,54948087.04,,12477463.6,1
1993,27149.76,774337.08,396379.2,55281516.080000006,,13290146.799999999,1
1994,19890.969999999998,777114.03,362313.60000000003,56202000.96,,12615068.2,1
1995,18099.84,820311.03,407508.8,53338193.580000006,,12615068.2,1
1996,15083.199999999999,915961.53,482257.60000000003,57939344.54,,13100201.799999999,1
1997,16120.17,834010.65,523993.60000000003,55005763.260000005,,13072624.6,1
1998,10746.779999999999,892696.86,621904.0,48686900.92,,11616942.4,1
1999,10463.97,911209.86,578889.6,52656054.22,,11922636.6,1
2000,9049.92,1066472.22,623257.6,56684528.6,,12839719.2,1
2001,9521.27,952123.59,636041.6,53383666.0,,9527641.2,1
2002,8107.219999999999,972919.86,411569.60000000003,52869620.72,,9671155.2,1
2003,10558.24,1127935.3800000001,452478.4,59553482.800000004,,10180207.799999999,1
2004,8390.029999999999,1069187.46,564150.4,56286737.78,,10434687.2,1
2005,6221.82,1066101.96,567459.2000000001,57124183.760000005,,8173263.0,1
2006,6598.9,983904.24,453380.8,49338796.080000006,,7248864.0,1
2007,8201.49,1138734.6300000001,311553.60000000003,55585921.300000004,,8011833.2,1
2008,0.0,1315040.1,150324.80000000002,55636381.36,,8965497.799999999,1
2009,0.0,1371504.75,207476.80000000002,56512720.32,,9661400.0,1
2010,0.0,1317570.21,208830.4,54630416.82,1342337.3699999999,10362179.799999999,1
2011,0.0,1259994.78,143256.0,54613543.74,1283679.66,10050388.6,1
2012,0.0,1102140.6,64672.0,49322294.42,1122858.2,8398383.0,1
2013,0.0,1269930.09,69259.2,56710103.52,1293801.73,10958747.799999999,1
2014,0.0,1474930.71,115056.0,62219641.68,1502655.8699999999,11090724.4,1
2015,0.0,1370455.68,84976.0,60328848.580000006,1396216.96,13905850.0,1
2016,0.0,1286036.4,110769.6,54745238.660000004,1310210.8,10739818.6,1
2017,0.0,1362433.3800000001,73470.40000000001,57014508.74,1388043.8599999999,10644799.2,1
2018,0.0,1574777.49,68883.2,63948601.78,1604379.53,12742167.2,1
2019,0.0,,93849.6,62178148.760000005,,,1
1960,1170833.4,2085366.03,1198913.6,67640304.34,,13616758.4,2
1961,1074866.54,2119615.08,1165374.4000000001,72186485.14,,12719749.0,2
1962,1081088.3599999999,2350595.61,1195529.6,77264167.96000001,,12198596.2,2
1963,863984.5499999999,2575096.59,1197860.8,79242191.7,,11766365.799999999,2
1964,709381.75,2328750.27,1121758.4000000001,83040120.38000001,,10756233.6,2
1965,695429.7899999999,2627735.22,1195980.8,88249179.76,,10293330.6,2
1966,730498.23,3056558.0100000002,1012116.8,91989591.4,,10204595.799999999,2
1967,623501.78,3501425.4,697931.2000000001,96393942.82000001,,9793001.4,2
1968,536773.38,3632867.7,854347.2000000001,99046677.52000001,,9620409.4,2
1969,507078.32999999996,4047312.06,836675.2000000001,105599640.58,,9672187.0,2
1970,408283.37,3973568.61,796593.6,107987712.0,,9502690.4,2
1971,332113.20999999996,4048299.42,718460.8,109565822.52000001,,8925070.0,2
1972,217763.69999999998,4467433.74,702142.4,113720685.82000001,,9113889.4,2
1973,153188.75,4281069.54,645366.4,106431674.44,,8281320.6,2
1974,149417.94999999998,4051446.63,525196.8,108213535.36,,8812134.799999999,2
1975,126981.68999999999,4060086.0300000003,452252.8,109432641.92,,9723777.0,2
1976,115857.83,4202697.84,517075.2,111415865.54,,11038571.6,2
1977,102000.14,4028428.8000000003,490454.4,106403658.76,,12453638.4,2
1978,88425.26,3813739.71,469323.2,110601394.54,,15457489.6,2
1979,59578.64,2497527.12,270043.2,110642622.16000001,,18895728.599999998,2
1980,36199.68,2095980.1500000001,159724.80000000002,107849915.18,,23552242.0,2
1981,37142.38,1964044.17,185969.6,101639242.18,,23812630.8,2
1982,42044.42,1974596.58,220486.4,103421050.04,,25334160.599999998,2
1983,45532.409999999996,2348744.31,174539.2,95943357.3,,26444471.2,2
1984,61086.96,1774039.08,200107.2,100489591.16000001,,25059045.2,2
1985,58258.86,1825937.19,229961.6,97517541.38000001,,25813478.599999998,2
1986,63160.899999999994,1938434.52,186646.4,94255677.88000001,,23513315.0,2
1987,58918.75,2126958.57,172132.80000000002,89563369.84,,23378618.2,2
1988,60332.799999999996,2184102.0300000003,207401.6,100297195.60000001,,24949955.8,2
1989,48171.97,2533380.63,185819.2,104485805.06,,25224039.4,2
1990,49020.4,2276543.61,102046.40000000001,93328878.86,,15657565.0,2
1991,36859.57,2577688.41,117086.40000000001,98378917.42,,16414718.6,2
1992,32617.42,2542760.55,99339.2,100213732.22,,17222055.2,2
1993,35068.439999999995,2810705.37,129795.20000000001,106682170.7,,10407860.4,2
1994,30166.399999999998,2753253.36,114529.6,102495683.64,,9878922.2,2
1995,24793.01,2857790.1,108739.2,106992783.94,,9878922.2,2
1996,27055.489999999998,3831512.19,124305.6,115118445.4,,10259093.6,2
1997,24604.469999999998,3675756.15,123252.8,106961372.42,,7201964.0,2
1998,19513.89,3115429.35,127163.20000000001,90467936.72,,6400067.8,2
1999,19042.54,3858849.72,322908.8,96929212.10000001,,6568251.2,2
2000,15460.279999999999,3743390.31,109942.40000000001,102449574.5,,7073739.399999999,2
2001,16120.17,3555545.07,114078.40000000001,95713872.8,,8555122.799999999,2
