Series,Industry,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,1,31646.1,49958.1,55814.3,55377.5,55029.1,56309.7,63604.1,75599.6,77712.2,86609.4,83791.7,69657.7,85748.8,81827.9,69713,74479.7,79012,90425.1,92248,91879,98574.9,94680.6,110339.7,110068.6,122505.1,117418.8,109741.1,104078.6,104751.4,107311.7,100625.5,113532.5,131560.3,127048.3,128826.4,153735.4,173072.1,156507.1,174483.1,208176.2,212973.3,233841.6,233711.7,211236.4,200541.7,202899.2,208901.6
2,1,116043,124917.6,114027.9,129058.9,126563.9,137625,140133.3,158944.7,134833.8,169477.6,159810.3,128388.8,162799.5,170232.7,163084.6,163922.6,138783.6,165256.2,178364.7,176937.1,190488.2,179134.8,153960.2,187849.1,206623.7,202907.4,201448.8,207878,209351.5,205414.7,184805.3,201401.4,222607.4,223526.9,212940.8,217132.9,206802.2,212958.2,239836.9,222376.1,212973.3,236862.4,273373.1,267227.6,271884.3,274071.3,273511.1
3,1,272.7,399.9,489.5,429.1,434.8,409.2,453.9,475.6,576.4,511,524.3,542.6,526.7,480.7,427.5,454.4,569.3,547.2,517.2,519.3,517.5,528.5,716.7,585.9,592.9,578.7,544.8,500.7,500.4,522.4,544.5,563.7,591,568.4,605,708,836.9,734.9,727.5,936.1,1000,987.2,854.9,790.5,737.6,740.3,763.8
1,2,32072.7,42220.4,37538.8,40240.3,42231,44300.4,55052.3,66100.1,61607.2,67731.5,64889.5,61485.7,70706.4,67346.5,70250.5,73465.5,75702.4,82835.4,88828.8,84716.3,85638.6,88795.3,89262.3,84125.3,95790.2,101961.2,100163.1,95866.4,99561.6,106262.9,101269.5,113306.5,130258.7,127154.4,125593.6,148745.6,161160.5,145033.7,155630.7,183347.6,192759.7,208578.8,211434.3,190974.6,178274.6,181003.5,191370.4
2,2,93299.4,93482.2,93247.1,91147.2,93148.7,95967.6,96758.7,102006.6,101274.2,111685.5,104272.1,101721.2,109507.7,113250.3,116384.3,116777.6,116973.8,122584.9,124804.2,127151.3,130963.5,129679.8,141850.3,139134.9,147099.9,156586.9,153113.4,150649.2,155989.2,154028.1,170046.2,168793.2,165378.8,164752.2,173560.7,176907,191408.2,199890.1,181414.6,186953.4,192759.7,196188.5,171374.2,174381.1,193243.7,187294.8,191725.4
3,2,343.8,451.6,402.6,441.5,453.4,461.6,569,648,608.3,606.4,622.3,604.5,645.7,594.7,603.6,629.1,647.2,675.7,711.7,666.3,653.9,684.7,629.3,604.6,651.2,651.1,654.2,636.4,638.3,689.9,595.5,671.3,787.6,771.8,723.6,840.8,842,725.6,857.9,980.7,1000,1063.2,1233.8,1095.2,922.5,966.4,998.1
1,3,1251.7,1485.7,1641.9,1574.3,1832.5,2290.1,2544.7,2675.2,2839.3,2782.6,2544.4,2811.1,2897.2,2549.7,2556.6,2400.2,2303.2,2512.7,2932.4,3292.1,3642.1,4049.6,10667,5380.1,5240,5013.6,5881.3,6835,6323.6,6674.3,7176.9,7081.1,7280.7,6985.4,6665.4,5745.7,5287.5,4437,4420.5,4238.2,3549.7,3735.3,4223.7,4049,3999.6,4135.3,4180.2
2,3,6011.5,5546.3,6074.3,6266.3,6019.8,6339.7,6045.9,5781.7,6675,6554.4,6269,6096.8,6345,5642.9,5704.4,4966.2,4241.5,4077.9,4492.2,5065.8,5000.6,4513,11505,5752,5861.7,5447.1,6582.1,7870.5,7482.6,8469.2,9240.1,9022.5,8721.6,8180.4,7661.4,6112.2,5650.1,5441.3,4782.4,4290.1,3549.7,3669.3,4055.2,3914.2,3898.2,4014,3898.9
3,3,208.2,267.9,270.3,251.2,304.4,361.2,420.9,462.7,425.4,424.5,405.9,461.1,456.6,451.8,448.2,483.3,543,616.2,652.8,649.9,728.3,897.3,927.2,935.3,893.9,920.4,893.5,868.4,845.1,788.1,776.7,784.8,834.8,853.9,870,940,935.8,815.4,924.3,987.9,1000,1018,1041.6,1034.4,1026,1030.2,1072.1
1,4,7453.1,8903.5,9805.2,9224.5,10806.8,13552.9,15102.9,15905.8,16559.2,16244.3,14526.4,16300.2,16879.3,14855.2,14972.1,16949.2,18541.3,19634.9,19168.6,17294.9,18822.3,19750.1,16663.2,17189.3,15279.3,14334.8,15437.4,16491.7,14098.1,13828.8,13827.6,14091.8,14985,14941,14838.1,13377.5,13104.9,11750.9,12644.4,13243.7,12346.7,13014.9,14729.7,14019.9,13808.9,14263.4,14390.8
