Year,Other,sector
1989,,elec-only
1990,,elec-only
1991,,elec-only
1992,,elec-only
1993,,elec-only
1994,,elec-only
1995,,elec-only
1996,,elec-only
1997,,elec-only
1998,,elec-only
1999,,elec-only
2000,,elec-only
2001,,elec-only
2002,5946384,elec-only
2003,7647737,elec-only
2004,7554052,elec-only
2005,7574976,elec-only
2006,6212663,elec-only
2007,6346791,elec-only
2008,6043887,elec-only
2009,6161331,elec-only
2010,5824194,elec-only
2011,5991524,elec-only
2012,6800308,elec-only
2013,6815989,elec-only
2014,6570335,elec-only
2015,6403214.655,elec-only
1989,,chp
1990,282046,chp
1991,11913,chp
1992,402581,chp
1993,479806,chp
1994,407651,chp
1995,239129,chp
1996,213275,chp
1997,201222,chp
1998,62807,chp
1999,158942,chp
2000,138942,chp
2001,124885,chp
2002,595181,chp
2003,1443728,chp
2004,1053418,chp
2005,747464,chp
2006,715505,chp
2007,765971,chp
2008,733073,chp
2009,797985,chp
2010,804985,chp
2011,816185,chp
2012,862794,chp
2013,816694,chp
2014,786580,chp
2015,908491,chp
