Year,Anthracite $/ton,MBTU/ton,Anthracite $/MBTU,,Bituminous,MBTU/ton,Pre-2013 Price Estimate $/MMBtu,Bituminous $/MBTU, From Table 3.4,,Distilate $/gallon,Residual $/gallon,Distilate $/MBTU,Residual $/MBTU,Oil (Weighted) $/MBTU,,,,Wood/Waste $/MBTU,,Natural Gas,BTU/CF,Gas $/MBTU,,LPG (Use Propane Price) cents/gal,LPG (Use Propane Price) cents/gal,,LPG (Use Propane Price) cents/gal,LPG (Use Propane Price) cents/gal
1983,52.29,26.798,1.95126502,,31.11,22.69,1.371088585,1.371088585,1.91,1983,0.883,0.651,6.37,4.35,4.96,1,1.67,1,1.113333333,,4.18,1031,4.05,,48.4,5.2993,,0.709,7.76
1984,48.22,26.799,1.79932087,,30.63,22.54,1.35891748,1.35891748,1.91,1984,0.87,0.696,6.27,4.65,5.14,2,1.67,1,1.113333333,,4.22,1030,4.1,,45,4.927,,0.737,8.07
1985,45.8,26.798,1.709082767,,30.78,22.02,1.397820163,1.397820163,1.9,1985,0.834,0.623,6.01,4.16,4.72,3,1.67,1.012121212,1.113333333,,3.95,1031,3.83,,39.8,4.3577,,0.717,7.85
1986,44.12,26.798,1.646391522,,28.84,22.2,1.299099099,1.299099099,1.8,1986,0.537,0.358,3.87,2.39,2.83,4,1.65,1,1.1,,3.23,1029,3.14,,29,3.1752,,0.745,8.16
1987,43.65,26.799,1.628792119,,28.19,22.38,1.259606792,1.259606792,1.67,1987,0.597,0.426,4.3,2.85,3.29,5,1.65,1,1.1,,2.94,1031,2.85,,25.2,2.7591,,0.701,7.68
1988,44.16,26.799,1.64782268,,27.66,22.36,1.237030411,1.237030411,1.68,1988,0.542,0.339,3.91,2.26,2.76,6,1.65,0.916666667,1.1,,2.95,1029,2.87,,24,2.6277,,0.714,7.82
1989,42.93,26.8,1.601865672,,27.4,22.35,1.225950783,1.225950783,1.68,1989,0.638,0.393,4.6,2.63,3.22,7,1.2,,1.2,,2.96,1031,2.87,,24.7,2.7044,,0.615,6.73
1990,39.4,26.799,1.470204112,,27.43,22.46,1.22128228,1.22128228,1.69,1990,0.78,0.455,5.62,3.04,3.81,8,0.99,,0.99,,2.93,1030,2.84,,38.6,4.2263,,0.745,8.16
1991,36.34,26.799,1.356020747,,27.49,22.46,1.223953695,1.223953695,1.67,1991,0.697,0.347,5.03,2.32,3.13,9,1.14,,1.14,,2.69,1031,2.61,,34.9,3.8212,,0.73,7.99
1992,34.24,26.799,1.277659614,,26.78,22.25,1.203595506,1.203595506,1.69,1992,0.675,0.346,4.87,2.31,3.08,10,1.13,,1.13,,2.84,1031,2.75,,32.8,3.5912,,0.643,7.04
