Year,Anthracite $/ton,MBTU/ton,Anthracite $/MBTU,,Bituminous,MBTU/ton,Pre-2013 Price Estimate $/MMBtu,Bituminous $/MBTU, From Table 3.4,,Distilate $/gallon,Residual $/gallon,Distilate $/MBTU,Residual $/MBTU,Oil (Weighted) $/MBTU,,,,Wood/Waste $/MBTU,,Natural Gas,BTU/CF,Gas $/MBTU,,LPG (Use Propane Price) cents/gal,LPG (Use Propane Price) cents/gal,,LPG (Use Propane Price) cents/gal,LPG (Use Propane Price) cents/gal
1993,32.94,26.8,1.229104478,,26.15,22.12,1.182188065,1.182188065,1.63,1993,0.667,0.341,4.81,2.28,3.04,11,1.12,,1.12,,3.07,1028,2.99,,35.1,3.8431,,0.673,7.37
1994,36.07,26.8,1.345895522,,25.68,22.07,1.163570458,1.163570458,1.62,1994,0.641,0.358,4.62,2.39,3.06,12,1.15,,1.15,,3.05,1029,2.96,,32.4,3.5474,,0.53,5.8
1995,39.78,26.8,1.484328358,,25.56,21.95,1.164464692,1.164464692,1.63,1995,0.644,0.397,4.64,2.65,3.25,13,1.21,,1.21,,2.71,1027,2.64,,34.4,3.7664,,0.492,5.39
1996,36.78,26.8,1.37238806,,25.17,22.11,1.138398915,1.138398915,1.62,1996,0.771,0.464,5.56,3.1,3.84,14,1.02,,1.02,,3.42,1027,3.33,,46.1,5.0474,,0.605,6.62
1997,35.12,26.8,1.310447761,,24.64,22.17,1.111411818,1.111411818,1.62,1997,0.712,0.429,5.13,2.87,3.55,15,1.01,,1.01,,3.59,1027,3.5,,41.6,4.5547,,0.552,6.04
1998,42.91,27.426,1.564573762,,24.87,23.16,1.073834197,1.073834197,1.58,1998,0.556,0.311,4.01,2.08,2.66,16,1.24,,1.24,,3.14,1033,3.04,,28.8,3.1533,,0.405,4.43
1999,35.13,27.426,1.280901335,,23.92,22.49,1.063583815,1.063583815,1.58,1999,0.639,0.378,4.61,2.53,3.15,17,1.38,,1.38,,3.12,1028,3.04,,34.2,3.7445,,0.458,5.01
2000,40.9,27.426,1.491285641,,24.15,22.43,1.076683014,1.076683014,1.55,2000,0.991,0.609,7.15,4.07,4.99,18,1.43,,1.43,,4.45,1026,4.34,,59.5,6.5146,,0.603,6.6
2001,47.67,27.426,1.7381317,,25.36,22.62,1.121131742,1.121131742,1.63,2001,0.907,0.533,6.54,3.56,4.45,19,1.95,,1.95,,5.24,1029,5.09,,54,5.9124,,0.506,5.54
2002,47.78,27.426,1.742142493,,26.57,22.56,1.177748227,1.177748227,1.75,2002,0.826,0.561,5.96,3.75,4.41,20,2.11,,2.11,,4.02,1029,3.91,,43.1,4.719,,0.419,4.59
2003,49.87,27.425,1.818413856,,26.73,22.47,1.189586115,1.189586115,1.74,2003,1.003,0.696,7.23,4.65,5.42,21,1.62,,1.62,,5.89,1029,5.72,,60.7,6.646,,0.577,6.32
2004,39.77,27.426,1.450083862,,30.56,22.47,1.360035603,1.360035603,1.99,2004,1.31,0.725,9.45,4.84,6.22,22,1.79,,1.79,,6.53,1026,6.36,,75.1,8.2226,,0.839,9.19
2005,41,26.279,1.560181133,,36.8,22.18,1.65915239,1.65915239,2.56,2005,1.852,1.041,13.35,6.95,8.87,23,2.73,,2.73,,8.56,1028,8.33,,93.3,10.2153,,1.089,11.92
2006,43.61,26.271,1.660005329,,39.32,22.05,1.783219955,1.783219955,2.83,2006,2.123,1.212,15.31,8.1,10.26,24,2.65,,2.65,,7.87,1028,7.66,,103.1,11.2883,,1.358,14.87
2007,52.24,26.329,1.98412397,,40.8,22.37,1.823871256,1.823871256,2.92,2007,2.331,1.376,16.81,9.19,11.48,25,2.52,,2.52,,7.68,1027,7.48,,119.4,13.073,,1.489,16.3
2008,60.76,26.281,2.31193638,,51.39,22.3,2.304484305,2.304484305,3.51,2008,3.206,1.944,23.12,12.99,16.03,26,,,2.83,,9.65,1027,9.4,,143.7,15.7336,,1.892,20.72
2009,57.1,26.334,2.168299537,,55.44,21.82,2.540788268,2.540788268,3.87,2009,1.914,1.34,13.8,8.95,10.41,27,,,2.62,,5.33,1025,5.2,,92.1,10.0839,,1.22,13.36
2010,59.51,26.295,2.263167903,,60.88,21.85,2.786270023,2.786270023,3.96,2010,2.409,1.729,17.37,11.55,13.3,27,,,2.74,,5.49,1023,5.37,,121.2,13.2701,,1.481,16.22
2011,75.7,26.299,2.878436442,,68.5,21.57,3.175707,3.175707,,2011,3.124263607,2.423426153,22.53,16.19,18.09,,,,,,5.13,1023,5.01,,146.7,16.062,,1.709,18.71
2012,80.21,28.636,2.801019695,,66.04,21.45,3.078787879,3.078787879,,2012,3.285711617,2.616210158,23.69,17.48,19.34,,,,,,3.88,1023,3.79,,103.3,11.3102,,1.139,12.47
2013,87.82,28.705,3.059397318,,60.61,21.6,2.806018519,2.806018519,,2013,3.263206742,2.50518272,23.53,16.74,18.78,,,,,,4.64,1023,4.54,,104.8,11.4745,,1.028,11.26
2014,90.98,28.458,3.196992058,,55.99,21.525,2.60116144,2.60116144,,2014,3.257335906,2.346716287,23.49,15.68,18.02,,,,,,5.62,1023,5.49,,116.5,12.7555,,1.097,12.01
2015,97.91,28.526,3.432307369,,51.55,21.258,2.424969423,2.424969423,,2015,1.972601137,1.297002335,14.22,8.66,10.33,,,,,,3.93,1023,3.84,,0.555,0.0608,,0.481,5.27
2016,97.61,28.608,3.411982662,,48.24,21.055,2.291142246,2.291142246,,2016,1.679059301,0.95382662,12.11,6.37,8.09,,,,,,3.51,1023,3.43,,,,,0.498,5.45
2017,93.17,28.673,3.249398389,,55.6,20.802,2.672819921,2.672819921,,2017,1.966730301,1.299021016,14.18,8.68,10.33,,,,,,4.08,1023,3.99,,,,,0.772,8.45
2018,99.97,28.608,3.494477069,,59.43,20.739,2.865615507,2.865615507,,2018,2.328765232,1.677523643,16.79,11.21,12.88,,,,,,4.21,1023,4.12,,,,,0.925,10.13
