Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All industries,32.125,32.051,33.081,35.297,36.912,37.052,35.934,38.286,40.554,42.551,43.786,43.602,44.035,43.106,44.815,47.841,49.803,51.268,53.961,56.319,57.853,58.896,58.504,60.365,62.405,65.215,67.445,70.348,74.105,78.092,82.074,85.742,85.718,86.278,88.238,91.446,95.053,97.175,99.077,97.762,92.343,95.358,97.438,100,102.093,105.187,107.75,109.712,112.489,115.774
Private industries,30.372,30.312,31.405,33.737,35.497,35.569,34.288,36.827,39.212,41.254,42.525,42.259,42.646,41.529,43.215,46.396,48.25,49.552,52.376,54.823,56.291,57.236,56.693,58.666,60.856,63.844,66.26,69.396,73.39,77.631,81.825,85.724,85.382,85.63,87.656,91.095,95.052,97.268,99.251,97.543,90.967,94.341,96.989,100,102.562,106.124,108.757,110.703,113.758,117.296
"Agriculture, forestry, fishing, and hunting",52.388,53.207,55.361,58.261,58.618,56.089,58.774,60.045,62.596,65.138,68.252,66.036,70.167,70.619,63.315,71.432,73.664,72.903,75.517,72.461,76.052,78.999,79.694,83.911,81.813,88.831,85.75,87.047,91.591,93.541,96.755,95.38,95.453,95.483,98.21,101.175,101.617,102.02,100.463,98.374,102.045,102.453,99.88,100,105.84,109.388,110.442,114.882,117.014,116.434
Farms,48.645,49.961,51.899,53.254,54.191,51.062,54.351,55.348,57.814,60.422,64.038,61.331,65.952,66.999,58.106,66.698,70.126,68.798,71.548,68.615,72.753,75.984,77.048,81.062,79.168,86.446,82.95,84.542,90.497,91.035,93.112,94.334,93.083,92.706,95.418,98.115,98.784,99.421,99.768,97.636,102.356,102.564,99.128,100,106.318,109.085,110.759,116.013,117.676,116.984
"Forestry, fishing, and related activities",81.538,76.96,80.923,98.748,92.71,98.126,92.756,96.683,99.762,101.579,100.106,102.499,101.77,96.89,104.338,107.368,98.895,102.772,104.267,100.331,99.619,100.3,98.22,103.87,100.406,106.023,105.33,104.775,100.217,110.923,120.909,104.558,112.779,115.447,118.329,123.189,122.058,120.93,106.342,104.572,100.434,102.264,106.276,100,101.733,111.807,108.062,106.881,112.095,112.249
Mining,54.765,56.2,53.682,54.372,56.882,58.948,56.842,58.027,59.82,62.205,64.589,67.019,67.981,62.992,59.745,65.294,63.52,57.869,58.208,61.692,59.739,62.089,63.695,61.21,62.301,63.492,62.865,64.789,67.881,67.458,64.319,67.579,71.905,66.81,68.184,69.78,73.476,78.588,79.37,83.455,80.218,83.167,91.171,100,104.552,118.363,109.967,91.693,102.736,115.779
Oil and gas extraction,75.249,76.904,76.12,75.627,75.157,73.755,69.784,70.654,72.266,73.09,71.728,70.455,69.208,65.947,64.715,69.205,68.927,66.297,67.95,68.911,65.813,66.725,68.188,66.633,67.228,67.393,69.07,71.16,72.46,70.568,69.089,71.859,74.588,69.936,70.045,67.546,67.088,67.596,68.475,72.559,78.882,81.928,90.128,100,110.232,124.382,121.936,116.916,126.003,145.671
"Mining, except oil and gas",66.072,69.521,64.133,64.312,71.604,76.437,72.566,73.481,73.697,76.679,86.416,86.561,84.71,71.859,72.817,82.978,80.028,79.795,79.671,88.534,89.596,94.028,97.84,95.982,93.343,101.406,99.797,102.987,106.605,108.604,106.006,107.499,106.463,101.469,102.016,105.49,111.627,118.227,114.037,112.431,100.442,98.895,104.66,100,96.683,100.887,95.046,85.065,88.528,88.397
Support activities for mining,14.349,13.636,12.649,14.632,15.068,17.793,19.738,21.367,24.412,27.596,28.493,37.344,43.737,40.959,32.685,36.564,32.964,20.461,19.277,21.728,19.604,22.141,22.22,18.689,22.716,20.537,17.707,18.213,22.848,23.036,18.611,23.081,33.37,28.117,32.732,44.604,60.151,80.306,84.72,93.199,64.089,71.159,80.78,100,95.307,116.902,92.385,47.573,67.502,78.957
Utilities,59.059,60.894,60.513,65.237,66.346,68.075,68.926,71.135,72.639,76.329,80.409,75.196,76.171,73.414,75.991,74.842,71.805,66.506,76.733,79.06,81.407,80.96,81.67,82.67,84.598,84.353,84.01,85.654,86.387,90.819,108.468,119.374,130.121,99.275,94.283,91.733,97.362,93.884,98.705,106.411,94.536,104.787,100.814,100,102.479,105.339,105.932,101.219,98.811,99.265
Construction,74.887,72.344,80.293,87.694,88.747,78.132,69.898,75.288,81.238,87.762,89.462,80.855,79.626,74.264,82.159,93.964,101.083,105.628,108.293,107.326,105.993,103.791,94.904,98.21,100.59,104.489,104.999,111.76,115.058,122.638,127.61,132.867,133.752,132.041,136.532,142.09,145.802,142.515,134.884,124.793,108.304,100.12,97.468,100,104.682,110.088,117.789,124.288,126.3,125.804
Manufacturing,45.694,43.775,45.249,49.269,53.128,52.863,48.57,52.722,56.583,59.278,60.607,57.402,57.459,54.349,56.532,60.775,61.673,62.4,66.791,69.898,70.851,70.646,69.268,72.002,74.567,79.179,82.865,85.839,91.979,96.255,99.661,102.515,97.85,97.076,97.075,99.96,104.026,105.791,108.785,102.83,90.485,95.347,98.102,100,102.856,103.672,104.237,104.282,105.314,107.752
Durable goods,37.065,34.589,35.864,39.73,44.187,43.106,38.067,41.343,44.721,47.654,49.243,46.206,46.375,42.096,43.984,48.971,50.048,50.65,53.605,56.864,57.46,57.002,54.811,57.809,60.826,66.01,70.884,75.379,82.391,88.803,94.106,98.745,93.183,91,92.11,95.393,100.495,103.873,107.78,102.166,83.441,91.174,97.045,100,103.022,106.221,106.394,105.042,107.679,112.004
Wood products,67.3,74.813,77.214,91.464,88.392,89.539,84.025,89.769,91.116,86.98,85.932,84.047,83.156,75.293,82.312,91.733,92.051,96.895,112.003,111.979,109.524,107.795,99.682,105.131,106.674,113.631,116.302,119.214,122.689,129.289,133.285,132.596,124.644,128.395,127.914,131.566,141.278,142.829,132.52,114.181,89.105,91.86,93.262,100,104.449,105.792,112.763,117.325,121.515,118.108
Nonmetallic mineral products,84.853,81.025,83.967,94.445,99.752,97.308,87.725,92.066,98.502,104.904,104.657,94.29,90.376,81.28,85.79,91.318,92.234,94.966,105.584,106.527,105.713,104.254,96.098,99.787,102.093,106.772,109.751,117.081,121.272,127.704,129.975,130.856,125.73,125.659,126.684,129.948,134.254,138.165,138.245,120.634,93.095,96.113,96.695,100,103.741,107.447,109.362,111.363,112.423,112.375
Primary metals,116.415,104.21,101.721,111.309,129.622,131.422,101.285,109.934,112.047,119.598,122.841,110.996,110.747,82.479,83.74,87.837,81.531,79.073,82.452,91.808,91.086,89.147,84.411,86.31,89.972,95.146,96.996,99.641,103.132,106.96,105.979,100.925,92.418,94.262,90.892,99.739,99.924,98.553,101.755,102.711,75.877,93.429,100.347,100,103.491,103.442,97.378,93.234,92.147,97.2
Fabricated metal products,71.387,64.992,63.688,68.925,76.287,74.95,67.379,71.823,76.885,80.818,84.613,81.054,80.377,73.425,71.73,76.253,76.331,75.78,77.232,80.734,80.279,80.278,77.388,79.847,82.58,89.215,94.154,98.077,102.698,106.163,106.794,110.628,103.235,100.589,98.924,98.566,103.151,108.937,113.474,110.003,86.138,90.362,96.464,100,101.503,103.573,100.951,97.444,103.61,107.88
Machinery,41.752,43.964,47.486,59.352,67.285,69.117,61.913,62.52,66.621,71.046,74.659,71.059,70.855,60.543,53.879,60.683,62.144,59.891,62.942,68.307,71.635,69.535,65.473,65.394,69.822,76.445,82.594,84.706,88.595,90.554,88.925,94.247,84.024,77.997,78.574,81.621,88.259,92.633,96.22,94.192,74.08,82.557,93.195,100,96.575,97.854,89.616,82.44,88.49,91.061
Computer and electronic products,2.987,2.915,2.853,3.178,3.615,3.882,3.632,4.099,4.927,5.642,6.548,7.445,8.157,8.813,9.769,11.747,12.64,13.005,14.338,15.661,16.036,17.051,17.463,19.225,20.913,24.373,30.843,37.26,45.024,52.99,63.185,79.412,75.192,66.83,71.984,78.486,83.832,92.845,103.457,105.932,91.862,97.645,100.311,100,100.832,101.254,102.736,103.504,107.642,115.771
"Electrical equipment, appliances, and components",76.282,73.266,71.901,80.121,89.307,86.911,71.893,78.417,86.517,90.977,93.883,87.792,86.093,78.696,81.173,89.981,89.973,91.442,94.5,97.717,98.599,95.46,89.99,96.349,102.88,110.617,114.426,118.09,123.229,127.829,131.013,138.677,122.724,112.91,110.066,111.156,112.833,113.022,116.388,111.768,89.646,92.789,97.751,100,100.714,103.024,103.231,103.056,105.208,106.728
"Motor vehicles, bodies and trailers, and parts",45.548,38.096,47.018,50.047,56.271,47.492,41.873,51.699,58.194,62.338,58.626,44.797,44.938,40.916,50.062,59.176,59.791,59.541,61.254,65.029,65.908,59.803,55.879,62.956,69.755,79.953,82.376,82.869,90.366,94.76,106.174,101.362,96.815,102.134,104.794,107.795,110.647,111.486,107.575,87.351,69.679,87.72,99.003,100,109.332,120.078,127.451,132.113,132.659,138.677
Other transportation equipment,65.246,58.523,54.714,53.814,60.829,61.253,59.469,57.647,57.848,61.508,69.351,71.838,67.796,61.159,62.099,62.819,69.723,76.855,77.355,79.904,79.741,84.903,81.968,80.239,73.534,66.175,62.459,65.624,73.4,86.177,83.582,73.004,79.822,76.703,73.225,72.742,81.99,82.431,99.461,98.839,89.671,89.073,90.557,100,103.823,108.752,110.345,104.25,104.466,110.784
Furniture and related products,62.575,60.275,62.562,72.898,77.375,71.252,62.079,68.363,78.912,85.214,84.305,81.919,81.445,77.595,83.976,93.118,94.131,97.619,109.398,107.996,108.642,105.892,97.909,105.549,108.838,112.707,114.591,116.604,128.318,136.5,139.428,147.232,139.952,143.47,141.56,144.619,150.119,149.281,144.844,125.758,94.742,91.099,89.261,100,100.936,101.543,107.256,107.262,107.73,107.833
Miscellaneous manufacturing,39.732,38.413,38.574,44.277,45.132,43.308,41.319,43.435,47.03,47.72,47.71,44.705,46.746,47.408,46.213,48.685,49.094,49.838,57.701,61.744,62.066,64.703,65.219,67.675,72.126,73.804,77.475,82.276,88.766,92.612,90.725,100.925,92.208,97.719,100.252,100.254,108.753,111.77,111.522,115.593,108.245,106.46,105.403,100,106.502,102.96,104.263,104.454,105.763,108.378
Nondurable goods,59.074,58.507,60.245,64.195,66.559,67.845,65.184,70.713,75.217,77.231,77.96,74.623,74.484,73.561,76.158,78.783,79.3,80.212,87.023,89.633,91.185,91.443,91.574,93.699,95.321,98.655,100.069,100.365,104.882,105.562,105.887,106.039,102.696,103.861,102.38,104.73,107.523,107.447,109.436,103.153,97.267,99.187,99.034,100,102.71,101.414,102.34,103.8,103.202,103.795
Food and beverage and tobacco products,53.907,54.502,56.016,59.421,60.07,63.309,62.194,65.962,66.789,68.707,68.525,69.461,70.763,72.398,72.474,73.512,75.541,76.169,79.9,81.966,84.167,84.086,85.478,87.308,88.354,90.496,93.545,92.882,96.403,98.629,96.043,97.392,96.779,95.566,96.793,96.861,100.391,101.139,101.677,100.49,101.323,100.779,99.14,100,101.708,101.117,104.733,106.146,107.499,108.48
Textile mills and textile product mills,146.199,142.433,151.009,164.775,167.029,151.977,148.806,164.996,182.446,180.35,179.712,168.042,162.381,149.815,168.041,170.401,163.942,169.186,191.528,192.133,194.797,186.349,184.626,195.71,204.731,215.784,212.184,208.477,215.221,212.114,214.542,210.194,189.114,188.019,180.042,180.343,182.057,163.965,145.231,123.26,99.874,104.901,102.509,100,103.682,105.476,101.826,99.832,102.254,104.585
Apparel and leather and allied products,463.11,445.064,459.199,450.084,457.776,429.923,425.061,437.017,458.378,465.435,440.666,444.934,445.856,448.579,456.803,456.269,440.825,433.733,473.487,473.774,451.048,443.409,443.649,466.452,482.263,502.306,504.964,505.756,525.353,472.709,453.558,447.343,348.422,302.974,265.654,230.545,235.535,226.815,170.262,149.65,134.57,127.487,133.016,100,99.259,95.078,91.856,90.325,92.801,96.502
Paper products,75.258,73.667,73.93,79.63,85.647,86.207,78.109,85.276,90.592,94.989,94.807,91.985,92.567,92.957,98.306,101.653,101.395,105.898,108.829,112.933,114.461,114.483,114.642,115.896,116.668,121.011,122.025,120.653,123.159,123.387,124.921,121.327,115.233,115.936,112.467,112.644,112.395,111.08,112.229,107.062,96.698,98.17,98.341,100,99.925,99.033,98.282,97.323,95.191,95.525
Printing and related support activities,62.267,61.586,61.109,67.721,70.975,69.819,66.374,71.046,77.17,81.972,84.1,84.611,86.589,92.404,96.917,104.438,107.606,111.146,123.636,126.996,128.434,131.844,126.286,131.677,130.016,130.378,132.979,134.682,138.603,140.161,141.774,143.726,140.401,138.472,131.649,131.379,130.107,127.244,128.923,121.477,103.158,102.626,101.553,100,99.764,98.16,97.493,100.001,96.162,96.866
Petroleum and coal products,65.289,64.155,64.596,65.895,64.43,70.856,72.98,81.721,88.608,89.036,95.748,87.115,83.509,81.579,80.364,80.314,78.093,78.083,80.643,83.187,83.155,82.85,83.464,80.8,80.342,82.153,83.705,85.126,88.445,87.323,89.684,89.281,90.026,93.128,88.183,95.905,101.392,100.449,103.22,98.938,98.766,96.533,99.204,100,103.835,100.735,100.493,104.545,105.837,107.479
Chemical products,42.813,42.519,43.925,47.747,52.288,53.954,49.242,54.872,59.831,62.198,62.86,57.297,57.357,53.313,58.959,63.737,64.889,64.852,74.94,78.13,80.522,81.695,81.656,83.754,85.458,88.818,88.38,88.999,95.075,95.932,97.354,97.217,94.937,100.353,100.041,104.8,106.678,108.829,116.396,105.125,93.124,100.177,98.616,100,103.972,102.511,101.823,102.772,100.032,99.756
Plastics and rubber products,34.495,33.187,36.108,42.201,47.684,46.031,40.016,44.023,51.59,53.616,52.64,47.993,50.109,49.972,54.213,60.779,62.83,64.712,73.966,77.234,79.127,81.165,79.431,84.183,89.38,96.519,98.674,102.021,108.199,112.059,117.864,119.518,112.633,114.87,114.339,115.587,116.708,115.994,113.635,102.385,86.938,94.054,95.25,100,101.539,103.598,105.828,106.683,103.462,102.6
Wholesale trade,11.486,12.287,13.572,15.204,15.67,16.689,16.753,19.602,22.288,23.006,24.424,27.524,28.189,26.223,25.692,29.289,31.336,34.378,35.634,37.731,39.586,40.575,41.041,43.36,45.752,48.325,50.556,53.658,57.984,61.199,65.125,68.163,68.055,70.99,73.975,78.089,82.052,85.032,88.297,89.312,74.178,86.553,94.763,100,103.007,106.814,107.599,106.292,110.605,114.238
Retail trade,30.565,30.788,31.455,33.502,34.144,35.09,32.151,37.067,38.992,39.165,38.489,43.41,41.71,39.377,40.303,41.832,45.822,46.641,50.467,52.986,54.486,55.552,54.907,57.343,60.319,64.836,67.899,71.845,75.329,78.946,83.742,86.093,85.136,90.161,95.093,100.132,101.609,103.65,103.213,96.813,90.745,96.81,97.518,100,104.033,107.779,113.143,117.439,121.735,125.783
