New,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
311-312,175.943,180.499,181.922,183.316,188.508,195.811,202.104,206.381,215.300,223.774,232.943,237.411
313-314,100.907,101.705,103.431,99.812,101.026,106.615,111.711,117.037,118.223,115.348,113.556,115.509
315-316,26.083,26.509,23.391,23.109,22.425,31.548,35.310,33.011,34.405,32.783,27.278,25.900
321,63.957,66.473,65.138,65.158,63.499,60.603,66.275,68.881,70.681,71.393,74.591,76.022
322,194.483,197.553,203.606,215.913,219.582,222.691,231.053,236.498,243.109,239.960,239.018,247.729
323,38.575,41.229,40.860,42.560,41.919,42.442,44.796,45.356,47.034,47.738,48.750,50.323
324,114.146,117.472,116.432,120.330,119.632,120.656,116.033,119.135,121.336,121.164,118.263,115.363
325,430.716,436.094,461.837,490.507,496.718,495.333,505.417,529.474,523.467,548.795,535.965,520.463
326,110.349,116.078,118.755,122.409,120.583,126.473,138.510,147.553,154.460,166.778,170.177,171.043
327,113.868,116.293,113.737,115.537,112.225,115.110,117.291,119.704,123.582,127.288,128.384,131.554
331,434.031,499.725,488.475,494.407,490.508,478.267,470.670,475.664,470.032,479.480,452.449,444.106
332,111.793,118.750,120.583,120.915,118.554,114.508,121.967,123.244,130.092,135.353,141.632,145.712
333,75.037,77.692,82.223,83.868,82.397,76.935,80.611,85.185,86.617,87.865,91.946,92.774
334,117.303,120.098,123.331,126.733,125.497,121.642,123.375,124.947,125.596,126.799,128.999,127.959
335,51.594,53.164,53.397,53.928,51.473,49.122,51.668,52.586,53.684,53.999,56.083,55.020
336,148.481,154.051,152.372,153.237,146.745,151.694,158.657,162.541,165.693,164.643,181.497,175.718
337,21.360,22.199,23.355,22.280,21.536,22.238,24.135,24.761,25.688,25.845,28.695,28.814
339,25.285,26.649,27.665,29.853,28.864,27.325,30.173,30.718,32.973,33.489,34.533,35.482
