NAICS,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
311-312,882.411,896.354,889.756,863.045,788.719,791.383,795.082,803.296,826.992,798.239,793.905,750.388,767.68,797.244,791.214,700.952
313-314,254.735,271.549,273.87,252.187,220.448,219.798,230.829,243.093,238.75,225.916,208.699,203.875,180.465,202.086,198.92,176.353
315-316,65.762,62.196,58.408,49.653,42.931,41.317,40.39,44.045,45.827,41.188,40.211,40.092,32.204,35.009,30.834,26.388
321,428.48932,420.42196,440.85692,454.15356,434.34188,406.749,439.50158,436.10784,475.66652,474.41898,446.41254,442.26224,386.00534,424.6327818,447.9789976,457.2607169
322,1839.306,1946.539,2036.461,2000.179,2019.888,1859.245,2033.709,2087.946,2147.042,2142.877,2086.708,2134.06,2024.623,2211.113,2279.723,2212.836
323,40.97038445,39.19882609,38.68044,36.07264,29.89008,32.23472,26.11608,31.61456,31.79748,34.8636,33.95784,33.96396,35.6898,37.51651445,43.26486805,36.11206424
324,2635.156,2635.905,2773.379,2927.531,2886.856,2747.96,2839.161,2935.929,2926.771,2880.991,2766.508,2323.83,2303.291,2329.688,2352.552,2377.555
325,2110.4,2174.796,2188.288,2223.35,2532.971,2246.998,2381.08,2323.116,2225.583,2242.214,2108.263,2047.118,1832.739,1900.373,1975.92,1682.643
326,153.815,168.615,202.603,192.888,177.321,162.273,166.16,189.121,177.24,164.921,143.937,138.564,131.744,139.148,140.756,124.17
327,1130.8,1183.418,1223.613,1173.731,1180.029,1047.886,1094.931,1121.758,1135.132,1123.754,996.633,950.664,794.495,867.231,877.293,800.494
331,3500.203,3268.058,3428.297,3723.227,3585.684,3004.256,3080.889,3029.546,3186.489,3218.023,2613.404,2593.204,1756.186,1930.243,1930.745,1749.29
332,352.201,338.049,351.064,332.527,299.92,281.434,283.897,291.3029815,302.1800506,293.3946673,274.2240972,263.6893789,260.521673,258.7391301,249.2016839,223.2586539
333,283.699,289.542,301.604,291.311,276.555,253.18,248.88,226.4565817,233.9692922,236.7540543,220.944404,207.0330939,202.6163478,194.8084771,192.4640089,163.7257597
334,102.867,104.082,102.528,89.157,75.046,75.716,75.249,72.6754388,78.0963597,72.8442479,72.2771688,68.7345816,77.0124376,78.0754756,78.33429,75.1528316
335,118.36,117.557,123.47,120.851,107.245,92.859,98.213,94.895876,96.94951101,97.64149859,88.6071336,84.0921592,80.0245088,83.6147384,80.7103632,70.4816248
336,266.456,279.033,285.73,267.859,254.504,239.073,262.285,278.1565608,285.7551463,269.8707797,236.7303652,224.435368,207.4844704,232.7116544,241.386944,214.7369616
337,45.28668,49.09204,54.89508,48.10044,48.96212,41.464,41.23442,44.87516,47.44848,45.18002,41.16346,38.44776,35.44066,37.55521825,41.64300238,40.66028312
339,39.082,41.153,46.9,40.066,35.385,32.04,31.737,35.6085612,37.2356403,36.1707521,34.4778312,32.2774184,28.9135624,31.0485244,31.26371,27.7281684
