Year,NAICS,interpolated_ratio
2015,311,1.012487991
2015,312,0.788673403
2015,313,0.978964185
2015,314,1.790249922
2015,315,0.829043225
2015,316,1.906826773
2015,317,1.194732485
2015,322,1.019242991
2015,323,1.234720052
2015,324,1.319647537
2015,325,1.158098304
2015,326,0.939315193
2015,327,1.026099643
2015,331,1.469455513
2015,332,1.01337795
2015,333,1.195182887
2015,334,1.380089849
2015,335,0.723705798
2015,336,1.037128016
2015,337,0.917294297
2015,339,1.155106879
2016,311,1.012487991
2016,312,0.788673403
2016,313,0.978964185
2016,314,1.790249922
2016,315,0.829043225
2016,316,1.906826773
2016,317,1.194732485
2016,322,1.019242991
2016,323,1.234720052
2016,324,1.319647537
2016,325,1.158098304
2016,326,0.939315193
2016,327,1.026099643
2016,331,1.469455513
2016,332,1.01337795
2016,333,1.195182887
2016,334,1.380089849
2016,335,0.723705798
2016,336,1.037128016
2016,337,0.917294297
2016,339,1.155106879
2017,311,1.012487991
2017,312,0.788673403
2017,313,0.978964185
2017,314,1.790249922
2017,315,0.829043225
2017,316,1.906826773
2017,317,1.194732485
2017,322,1.019242991
2017,323,1.234720052
2017,324,1.319647537
2017,325,1.158098304
2017,326,0.939315193
2017,327,1.026099643
2017,331,1.469455513
2017,332,1.01337795
2017,333,1.195182887
2017,334,1.380089849
2017,335,0.723705798
2017,336,1.037128016
2017,337,0.917294297
2017,339,1.155106879
