Sector #,Indicators,1985,,1986,,1987,,1988,,1989,,1990,,1991,
1,19,,,,,,,,,,,,,,
2,19,,,,,,,,,,,,,,
3,19,,,,,,,,,,,,,,
4,19,,,,,,,,,,,,,,
5,19,,,,,,,,,,,,,,
6,19,,,,,,,,,,,,,,
7,19,,,,,,,,,,,,,,
8,4,277.9,7.8,260.9,7.1,321.2,6.9,322.9,7.3,322.8,6.8,303.8,6,295.3,5.6
9,4,111.8,5.5,122.8,5.2,175.3,5.9,167.7,6.1,155,5.3,157.9,5.3,152,4.3
10,4,16375.8,448.7,17375.9,418.1,20266.5,427.4,21079.2,481.5,20666.6,504.2,20700.2,554.9,20117.6,559.2
11,17,2532.1,59.8,2665.5,57.1,3191.3,55.4,3816.8,61.7,3595.4,61.5,3326.9,54.7,3257.6,53
12,17,1943.1,89.4,2013,80.1,2521.5,83.3,2658.3,86.5,2699.9,88,2637.4,82.8,2560.3,77.4
13,10,8917,823.4,9303.5,667.3,9997.9,580.3,10498.3,558.3,10610.7,558.5,10809.8,546.3,10475.5,491.2
14,10,9404.4,556.4,9581.6,499.5,9700.7,464.2,9618.9,425,9142.5,408.9,9388.8,430.1,9078,380.4
15,10,12195.4,1277.6,12743.3,1134.5,13612.9,1026.5,13966.4,1030.5,13581.1,1045.7,13663.4,1005.3,13337.8,915
16,11,46544.2,2754.2,43762.1,2078.7,47440.6,1771.1,50965.8,1950,51033.7,2024.7,51240.6,2028.6,48709.9,1703.7
17,11,10902.5,515.4,10512.9,427.4,11605.2,395.2,12818.1,428.2,12305.8,416.4,12341.3,389.5,11496.5,356.9
18,11,55626.3,119.9,51540.4,70.9,51246,57.1,64969,60.8,61454.4,62.7,63674.7,60.1,66085.5,52
19,11,20079.2,905.8,19628.4,724.8,20376.9,634.2,21645.1,645.8,22218.4,659.9,21540.9,659.6,21332.3,610.5
20,12,1701.5,47.2,1771.2,40.4,1895.1,46.9,1943.3,45.8,1812.6,41.5,1755.2,37.7,1753.7,35.5
21,12,1626.5,132.7,1471.6,103.7,1879.2,102.2,1836.2,100.7,1969.7,103.4,1943.2,110.4,1803.3,95.5
22,12,2336.8,93.8,2362.6,85,2522.9,78.2,2643.2,73.7,2865.3,74.6,3016.9,73.5,3097.2,72.1
23,12,5737,222.1,5689.4,202.1,6335.4,196.2,6669.2,199.6,6734.7,205.1,6816.8,192.7,6557.4,187.3
24,12,1486.7,50.3,1482.1,41.2,1731,39,1819.8,39.5,1839.9,40.6,1856.5,41.7,1931.7,39.7
25,12,5160,133.8,4645,127.1,5212.8,221.5,5319.1,114.6,5345.1,120.8,5154.4,114.2,4953.4,111.6
26,12,9925.6,378.6,9918.4,338.8,11872.3,318.3,12831,348,12643.6,348.9,12594.2,333,12244.8,319.9
27,13,2461.8,69.1,2355.7,58.9,2467.7,48.2,2633,46.1,2535,47,2512.1,41.2,2617.8,37.6
28,13,1554.6,63.6,1342.9,50.2,1543.9,43.4,1700.5,46.7,1819.3,48.4,1818.1,49.5,1789.6,47.2
29,13,3594.7,97.5,3319,78.8,3326.3,59.8,3354.8,62.1,3426.8,63.8,3546.6,66.1,3396,63.6
30,13,820.1,29.6,834,27,896,22.3,898.6,22.1,934.7,21.7,983.3,21.4,861.5,19.5
