Sector #,Indicators,1985,,1986,,1987,,1988,,1989,,1990,,1991,
31,13,3329.8,78.3,3520.5,74.7,4192.5,72.9,4448.3,77.1,4740.2,86.9,4762.1,83.2,4700.1,75.3
32,13,2144.3,64.2,2107.7,60.5,2467.5,49.9,2577.7,51.1,2539,50.9,2636.1,49.4,2695.9,52.8
33,13,4829.1,121.9,4930.8,108.4,4816.9,96.1,5048.4,99.5,5278.8,97.3,5457.4,96.2,5299.9,91.4
34,13,2612,78.1,2410.8,73.6,4256.1,73.05,4623.2,72.5,4884.8,91.4,4815,86.8,4790.6,84.1
35,14,5998.5,62.6,6199.7,50.2,6134.2,48.7,5913.5,48.6,6268.5,39.8,5968.5,38.7,5890.5,33.1
36,13,2928.9,81.3,2962.8,74.5,3253,62.6,3220.8,64.3,3898.1,75.3,4168.7,65.1,4035.8,61.2
37,15,5841.9,120.1,5792.6,103.8,5469.7,90.5,5517.5,88.4,5719.2,87.8,5637.7,84.4,5487,81.5
38,15,2416.9,83.7,2476.3,72.2,2482.8,55.9,2478.1,54,2451.3,57.6,2544.8,53.4,2349.8,46.7
39,15,2666.7,81,2784.3,79.2,2944.2,83.5,3102.7,64.9,3032.7,63,3119.6,63.2,3004.5,58
40,14,4308.298927,107.9,4442.927835,91.2,3673,38,3716.3,33.6,3919.3,38.8,4265.9,41,4350.1,38.6
41,14,10748.9,156,11187,120.9,12796.5,119.1,13142.9,115.6,13650,132.8,14221.1,131.6,14160,126
42,15,2838.3,55.4,2976.8,48.6,3978,50.1,4275,49.5,4361.2,49.1,4016.9,46.5,3913.5,46.1
43,16,19980.2,603.9,20517.1,524.9,21893.6,481.8,22885,497.7,22163.8,491.6,22615.2,455.1,21561.7,436.6
44,16,1890.5,20.2,2200.1,17.8,2478.2,18.25,2365.6,18.7,2564.1,19.4,2537.7,19.6,2366.2,22.1
45,16,9637.3,170,10161.1,141.5,10974.7,136.3,10522.3,138,10578.6,140.4,11184.4,140.4,10694.3,134.8
46,16,3028.4,126.1,2952.9,105.5,2944.7,95.1,6416.4,108.3,6579.9,103,6428.5,104.5,6263.3,97.4
47,14,8816.601073,88.4,9407.872165,76.9,10835.3,105.3,11392.8,103.5,11404,113.6,11973.5,119.9,11601.7,109.5
48,13,2515.2,120.5,2500.1,101.8,2290.7,108.4,2387,108.9,2539.7,93.7,2514.4,103,2423,93.6
49,18,3485.8,115.2,3554.5,104.9,4636.9,111.1,4792.2,115.9,4966.3,123.3,5087.8,123.7,4914.5,118.3
50,1,45293.9,2738.3,46172.1,2354.7,50001.2,2087,51344.7,2091.5,51780.8,2199.6,52190.8,2205.7,53684.2,2172.9
51,1,1486.3,59.9,1409,58.9,1526.8,56.1,1556.4,76.8,1537.5,50.2,1535.9,49.3,1564.3,47.6
52,2,19315.4,396.9,19916.8,338.4,21868,320.4,21882.7,66.2,21799.6,293.3,21111.9,395.8,21408.2,273.2
53,2,3175.1,167.5,3411.4,149.6,4320.1,155,4532.6,142.8,4873.2,154.1,4575,147.6,4488.3,131.5
54,2,3034.6,146.2,3052.2,124,3436.4,131.8,3392.8,133.4,3641,138.2,3566.2,13.3,3712.4,140.4
55,3,4771.5,92.9,4892.7,90.8,4910.8,92.1,5069.2,98.6,4170.4,80.6,4045.8,73,3916.9,79.6
56,2,1360,43.6,1412.4,43.5,1684.4,42.7,1651.8,39.1,1704.8,42.3,1794.6,43.3,1782.1,43.4
57,5,42315.1,2985.8,47148.7,2364.9,47148.7,2271.1,47318.8,2254.7,48408.5,2359.5,51980.5,2532.2,52929.4,2396.2
58,5,6344.4,169.9,6871.9,150.8,7567.6,145.7,8096.2,144.5,8383.8,158.8,8552.6,163.1,8896.4,158.4
59,5,3789.7,182.9,4270.8,173.5,4531.4,157.8,4773.1,159.7,5239.7,165.1,5248.6,167.7,5073.6,150.5
60,6,12382.5,288,13202.3,269.7,15008.05,282.5,16813.8,295.3,16663.6,317.1,17356.6,321.1,17095.5,297
61,8,85640.7,3108.8,80311.5,2199.8,82009.6,2417.1,82437.5,2574.9,90065.5,2675.7,97037.9,2754.7,97714.8,2571.7
62,8,7067.9,726.7,5414.8,466.6,5348,443.9,7562.5,478.3,7289.6,462.6,7863,478.3,7726.6,463.9
63,8,1593.8,80.1,1589.3,62.6,1585.3,60.8,1647.6,59,1665.3,72.7,1694.7,76.1,1579.4,73.3
64,8,11845.5,547.3,12108.1,452.5,14156.9,449,13702,466.1,14189.7,476.5,14786.8,492.1,15360.2,457.6
65,8,1281.2,100.7,1315,80.1,1703.5,88.2,1744.9,96.8,1714.4,106.9,1855.4,114.3,1777.8,109.6
66,8,7010.4,312.2,7231,257.7,6751.8,228.3,6612.6,209.1,6989.2,248,6859.7,254.3,6930.6,238.9
67,8,7114.8,359.7,7442.5,300,8113.1,277.7,8602.1,292.1,8305.4,271.5,8468.5,271.1,9196.6,271.9
68,8,948.4,50.6,994.9,45.2,1142.4,41.8,1543.5,50.2,1197.9,40.9,1145.9,38.8,1136.6,38.8
69,8,3359.8,233.9,3280.1,198.2,3472.9,189.1,3695.9,185.5,3581.3,187.1,3593.3,182.1,3559.9,164.4
70,7,33380.5,3257.5,35274.5,2435.4,31306.9,1780.9,32191.6,1871.8,31903.5,1972.4,33034.3,2377.8,32904.9,2206.3
71,7,403.6,44.7,433.7,46.5,513.3,31.3,551.2,33.2,563.8,35.6,589.7,34.7,621.3,39.4
72,7,1349.9,242,1352.2,200.5,1625.6,191.4,1686.2,193.2,1657,190.6,1642.6,210.7,1536,187.2
73,9,30102.5,557.6,31221.4,483.8,33080,514.2,34780.7,503.8,35582.9,561.8,36677.8,528.9,36130.6,477.2
74,3,292.2,32.9,264.4,24.9,335.9,22.8,357.6,22.9,259.1,15,242.2,13.3,225,11.6
75,3,748,18.2,705.1,14.2,689.2,13.3,690.7,12.8,721.1,13.8,690.2,12.8,648.4,12.9
