Year,NAICS,EXPFUEL,EXPFUEL_2,column_av
1987,311,1880600,1984240,
1987,312,262000,50850,
1987,313,470619,402949,
1987,314,129381,110778,
1987,315,100053,115906,
1987,316,36000,32773,
1987,321,281717,359172,
1987,322,2571000,2461585,
1987,323,200352,215404,
1987,324,2005000,1599126,
1987,325,4139000,4285815,
1987,326,514000,477602,
1987,327,2070000,2134853,
1987,331,2865000,4875565,
1987,332,1038422,840548,
1987,333,444669,563401,
1987,334,351051,223788,
1987,335,241729,452144,
1987,336,853001,661600,
1987,337,164609,128792,
1987,339,167860,90030,
1988,311,1879200,1982762.497,
1988,312,263800,51200,
1988,313,457128,391398.1531,
1988,314,125672,107601.8469,
1988,315,103588,120000,
1988,316,35700,32500,
1988,321,316149,403071.6796,
1988,322,2558900,2450000,
1988,323,216718,233000,
1988,324,2098200,1673458.928,
1988,325,4360100,4514758.981,
1988,326,503800,468124.2079,
1988,327,2013800,2076893.101,
1988,331,3084800,5249613.355,
1988,332,1063690,861000,
1988,333,458560,581000,
1988,334,330991,211000,
1988,335,225079,421000,
1988,336,891338,691333.7223,
1988,337,167431,131000,
1988,339,172276,92400,
1989,311,1974500,2083315,
1989,312,275300,53432,
1989,313,459324,393279,
1989,314,126276,108119,
1989,315,92455,107103,
1989,316,28800,26217,
1989,321,329820,420501,
1989,322,2683400,2569202,
1989,323,232717,250201,
1989,324,2198600,1753535,
1989,325,4523000,4683438,
1989,326,561800,522017,
1989,327,2013100,2076170,
1989,331,3163700,5383883,
1989,332,1078689,873141,
1989,333,483005,611972,
1989,334,348379,222084,
1989,335,240623,450074,
1989,336,880556,682971,
1989,337,175779,137532,
1989,339,174208,93437,
1990,311,1973300,1867413,
1990,312,281700,52407,
1990,313,436656,370891,
1990,314,120044,101963,
1990,315,87490,84157,
1990,316,26100,29229,
1990,321,361697,424367,
1990,322,2863100,2848157,
1990,323,235652,235689,
1990,324,2623200,2072818,
1990,325,4585600,4190373,
1990,326,518600,443396,
1990,327,1981700,1786815,
1990,331,3137700,5091950,
1990,332,1042114,715685,
1990,333,463682,511601,
1990,334,342524,157256,
1990,335,232270,321615,
1990,336,838625,641443,
1990,337,161670,105445,
1990,339,182027,72676,
1991,311,1950400,1845742.2,
1991,312,270100,50250,
1991,313,427557,363161.0118,
1991,314,117543,99838.9882,
1991,315,92530,89004.5,
1991,316,24500,27437.4,
