Year,NAICS,EXPFUEL,EXPFUEL_2,column_av
1991,321,363549,426540,
1991,322,2705200,2691082.136,
1991,323,217966,218000.136,
1991,324,2432900,1922445.683,
1991,325,4316800,3944740.105,
1991,326,477200,408000,
1991,327,1786600,1610901.298,
1991,331,2723100,4419124.078,
1991,332,994116,682722.1848,
1991,333,439159,484544,
1991,334,321687,147689.1,
1991,335,219548,304000.136,
1991,336,801246,612852.7327,
1991,337,153322,100000,
1991,339,169188,67549.5,
1992,311,2007700,1899968,
1992,312,245600,45692,
1992,313,451088,383148,
1992,314,124012,105335,
1992,315,183931,176923,
1992,316,42000,47036,
1992,321,330075,387267,
1992,322,2832200,2817419,
1992,323,232570,232606,
1992,324,2356300,1861918,
1992,325,4544400,4152723,
1992,326,518200,443053,
1992,327,1891600,1705575,
1992,331,2796800,4538727,
1992,332,994808,683196,
1992,333,427829,472043,
1992,334,333029,152896,
1992,335,224803,311277,
1992,336,860669,658303,
1992,337,155908,101687,
1992,339,174114,69515,
1993,311,2129000,2314206,
1993,312,267100,53372,
1993,313,497836,444246,
1993,314,136864,122131,
1993,315,201911,127143,
1993,316,39900,26354,
1993,321,376389,532892,
1993,322,2986900,3118485,
1993,323,236753,211663,
1993,324,2717900,2217982,
1993,325,5212800,5535365,
1993,326,566600,466935,
1993,327,2012700,2041914,
1993,331,3058100,5300054,
1993,332,1076728,817893,
1993,333,464846,471724,
1993,334,367872,176591,
1993,335,254120,380991,
1993,336,1021684,769583,
1993,337,168372,114381,
1993,339,185418,98826,
1994,311,2166600,2355075.495,
1994,312,262200,52392.69145,
1994,313,528270,471403.3868,
1994,314,145230,129596.6132,
1994,315,194162,122264.7788,
1994,316,34700,22918.67432,
1994,321,394787,558940.526,
1994,322,2975900,3107000,
1994,323,256862,229640.7203,
1994,324,2432400,1984994.921,
1994,325,4988200,5296866.881,
1994,326,595800,491000,
1994,327,1861500,1888518.271,
1994,331,3222500,5584979.287,
1994,332,1116419,848042.9441,
1994,333,492550,499838.5603,
1994,334,377286,181110.1966,
1994,335,261422,391938.3569,
1994,336,948245,714265.0334,
1994,337,165197,112224.5699,
1994,339,186948,99641.08355,
1995,311,2041100,2218658,
1995,312,237300,47417,
1995,313,489287,436617,
1995,314,134513,120033,
1995,315,202964,127807,
1995,316,30800,20343,
1995,321,394979,559212,
1995,322,2881600,3008546,
1995,323,252165,225441,
1995,324,2187400,1785060,
1995,325,4648200,4935829,
1995,326,574900,473777,
1995,327,1804400,1830590,
1995,331,2923600,5066950,
1995,332,1100496,835948,
1995,333,489368,496609,
1995,334,382862,183787,
1995,335,266566,399651,
1995,336,892416,672213,
1995,337,161905,109988,
1995,339,190100,101322,
1996,311,2196800,1910074,
1996,312,287400,274236,
1996,313,532113,442232,
1996,314,146287,95745,
1996,315,205522,113569,
1996,316,30900,20754,
1996,321,416762,443463,
1996,322,3251200,3378135,
1996,323,269411,186529,
1996,324,2755800,2544208,
1996,325,5939100,6710336,
1996,326,630600,575525,
1996,327,2019700,1796530,
1996,331,3276500,6071482,
1996,332,1187954,930196,
1996,333,511175,473155,
1996,334,412379,276756,
1996,335,291126,439379,
1996,336,986702,985637,
1996,337,176014,154739,
1996,339,188345,200036,
1997,311,2466786,2144823,
1997,312,256256,244519,
1997,313,571832,475242,
1997,314,142315,93146,
1997,315,205529,113573,
1997,316,31095,20885,
1997,321,416750,443450,
1997,322,3364259,3495607,
1997,323,269415,186532,
1997,324,2801312,2586225,
1997,325,5842149,6600795,
1997,326,616316,562489,
1997,327,2226353,1980348,
1997,331,3276586,6071641,
1997,332,1187949,930192,
1997,333,511192,473172,
1997,334,412379,276757,
1997,335,265132,400148,
1997,336,986669,985603,
1997,337,176022,154746,
1997,339,188349,200040,
1998,311,2420533,2104606.795,
1998,312,233704,223000,1.069498069
1998,313,545069,453000,1.012048193
1998,314,150941,98791.22184,0.987012987
1998,315,191391,105760.6934,1
1998,316,27704,18607.65212,1
1998,321,418306,445105.9094,1
1998,322,3019126,3137000,2.057142857
1998,323,262690,181875.7618,1.794982079
1998,324,2912467,2688845.864,1.02173913
1998,325,5595239,6321821.943,2.605067064
1998,326,579622,529000,1.126846847
1998,327,2225962,1980000,1
1998,331,3171162,5876286.546,1.062340967
1998,332,1175977,920818.0683,1.398760331
1998,333,489940,453500.8057,1
1998,334,371766,249500.9004,1
1998,335,236857,357472.9887,1
1998,336,941227,940210.4,1.016666667
1998,337,164573,144680.7707,0.996598639
1998,339,183887,195300.9004,1.288888889
1999,311,2457745,2136963,1.021276596
1999,312,227693,217264,1.063943883
1999,313,537850,447000,1.012282898
1999,314,139798,91499,0.99025974
1999,315,174555,96457,1
1999,316,25414,17071,1
1999,321,458225,487582,1
1999,322,3054489,3173745,2.15374424
1999,323,271970,188301,1.803856422
1999,324,3425715,3162686,1.016304348
1999,325,6385849,7215098,2.62286035
1999,326,621985,567662,1.156986845
1999,327,2254502,2005385,1.003030303
1999,331,2976848,5516215,1.074838753
1999,332,1263638,989459,1.414869171
1999,333,513200,475031,1
1999,334,381021,255711,1
1999,335,245669,370771,1
1999,336,906435,905456,1.0125
1999,337,172385,151549,1.000461028
1999,339,182932,194287,1.281182796
2000,311,3053628,2655071,1.015957447
2000,312,306418,292383,1.058389697
2000,313,559555,465039,1.012517603
2000,314,179461,117458,0.993506494
2000,315,177238,97940,1
2000,316,31889,21418,1
2000,321,543856,578700,1
2000,322,3749730,3896128,2.250345622
2000,323,298807,206881,1.812730765
2000,324,5295084,4888524,1.010869565
2000,325,8821018,9966491,2.640653636
2000,326,824145,752168,1.187126843
2000,327,2720699,2420070,1.006060606
2000,331,3670427,6801444,1.08733654
2000,332,1498719,1173533,1.430978011
2000,333,602058,557281,1
2000,334,490806,329391,1
2000,335,294926,445113,1
2000,336,1117125,1115917,1.008333333
2000,337,200824,176550,1.004323416
2000,339,215267,228629,1.273476703
2001,311,4047034,4125131,1.010638298
2001,312,373253,402120,1.05283551
2001,313,580777,647802,1.012752308
2001,314,195253,189367,0.996753247
2001,315,173236,149741,1
2001,316,32798,39519,1
2001,321,562636,1107794,1
2001,322,4133060,4822308,2.346947005
2001,323,326967,299371,1.821605109
2001,324,5764568,4292735,1.005434783
2001,325,9902657,10224343,2.658446923
2001,326,931001,957398,1.21726684
2001,327,2952623,3109603,1.009090909
2001,331,4108279,6591944,1.099834326
2001,332,1621806,1535626,1.447086851
2001,333,666990,708259,1
2001,334,474663,429207,1
2001,335,322371,529798,1
2001,336,1355702,1363313,1.004166667
2001,337,218105,221409,1.008185804
2001,339,224979,214016,1.265770609
2002,311,3182584,3244000,1.005319149
2002,312,279392,301000,1.047281324
2002,313,453783,506151.9208,1.012987013
2002,314,166210,161199.0947,1
2002,315,113367,97991.73554,1
2002,316,19417,23396.69421,1
2002,321,479834,944761.6545,1
2002,322,3582557,4180000,2.443548387
2002,323,266262,243789.4412,1.830479452
2002,324,4809474,3581500.386,1
2002,325,7683936,7933548.304,2.676240209
2002,326,750842,772130.3842,1.247406838
2002,327,2679539,2822000,1.012121212
2002,331,3416913,5482612.775,1.112332112
2002,332,1258626,1191743.781,1.463195691
2002,333,491908,522343.2836,1
2002,334,418271,378215.0175,1
2002,335,254248,417842.9752,1
2002,336,1082589,1088666.667,1
2002,337,173970,176605.4953,1.012048193
2002,339,193489,184060.2257,1.258064516
2003,311,3670569,3741402,1
2003,312,327510,352839,1.053215861
2003,313,489879,546413,1.034388147
2003,314,188993,183295,1
2003,315,99735,86209,1
2003,316,20313,24475,1
2003,321,576735,1135552,1
2003,322,4010043,4678775,2.270780102
2003,323,303860,278214,1.85677503
2003,324,6213641,4627150,1
2003,325,9483418,9791487,2.641915359
2003,326,890032,915267,1.235398319
2003,327,3019851,3180405,1.009090909
2003,331,4288317,6880825,1.085034425
2003,332,1440819,1364255,1.459446318
2003,333,524632,557092,1
2003,334,366240,331167,1
2003,335,279437,459240,1
2003,336,1257190,1264247,1
2003,337,185833,188648,1.011527248
2003,339,214259,203817,1.264002933
2004,311,3889575,3964635,1
2004,312,343532,370100,1.059150398
2004,313,527317,588173,1.055789281
2004,314,190984,185226,1
2004,315,116810,100968,1
2004,316,25044,30177,1
2004,321,636218,1252670,1
2004,322,4319128,5039406,2.098011817
2004,323,336793,308368,1.883070608
2004,324,7031490,5236183,1
2004,325,10865405,11218368,2.607590509
2004,326,959847,987061,1.223389799
2004,327,3388279,3568422,1.006060606
2004,331,5418599,8694421,1.057736737
2004,332,1479666,1401039,1.455696945
2004,333,581379,617350,1
2004,334,339223,306737,1
2004,335,292048,479965,1
2004,336,1367203,1374878,1
2004,337,202141,205203,1.011006303
2004,339,209239,199043,1.269941349
2005,311,4850091,4943686,1
2005,312,424514,457346,1.065084936
2005,313,653948,729416,1.077190415
2005,314,242726,235407,1
2005,315,131807,113931,1
2005,316,35246,42470,1
2005,321,764745,1505732,1
2005,322,5228614,6100562,1.925243532
2005,323,411872,377110,1.909366187
2005,324,9423110,7017165,1
2005,325,13757234,14204137,2.57326566
2005,326,1149274,1181859,1.211381279
2005,327,4390392,4623813,1.003030303
2005,331,5958369,9560510,1.030439049
2005,332,1814108,1717708,1.451947571
2005,333,722746,767465,1
2005,334,410961,371605,1
2005,335,371435,610434,1
2005,336,1643956,1653185,1
2005,337,243257,246942,1.010485358
2005,339,248237,236139,1.275879765
2006,311,5257913,5671000,1
2006,312,493199,542204.8193,1.071019473
2006,313,583592,787000,1.098591549
2006,314,233782,470469.8795,1
2006,315,125755,71046.98795,1
2006,316,25519,17500,1
2006,321,813339,1175000,1
2006,322,5366741,6344000,1.752475248
2006,323,415487,341000,1.935661765
2006,324,9312834,8466000,1
2006,325,13704786,39618000,2.53894081
2006,326,1165542,1374900,1.19937276
2006,327,4675841,5509000,1
2006,331,6087140,8113726,1.003141361
2006,332,1958092,2335300,1.448198198
2006,333,772135,1134734.94,1
2006,334,446966,450300,1
2006,335,408427,515000,1
2006,336,1715158,2040000,1
2006,337,249983,198007,1.009964413
2006,339,266316,309300,1.281818182
2007,311,5493084,5924647,1
2007,312,517831,569284,1.067007295
2007,313,477363,643745,1.082872233
2007,314,187360,377049,1
2007,315,77339,43694,1
2007,316,21685,14871,1
2007,321,845381,1221291,1
2007,322,5521734,6527217,1.808906199
2007,323,421368,345827,1.950776722
2007,324,9306024,8459810,1
2007,325,14276237,41269959,2.494265398
2007,326,1132020,1335357,1.186501401
2007,327,4509612,5313153,1.002173913
2007,331,6061013,8078901,1.003192141
2007,332,1964025,2342376,1.428943408
2007,333,880055,1293334,1
2007,334,575283,579574,1
2007,335,445119,561267,1
2007,336,1744663,2075092,1
2007,337,261392,207044,1.00747331
2007,339,308742,358574,1.261363636
2008,311,6461581,6969235,1
2008,312,575693,632896,1.062995117
2008,313,465834,628198,1.067152918
2008,314,352192,708762,1
2008,315,45765,25856,1
2008,316,23705,16256,1
2008,321,833255,1203772,1
2008,322,6241706,7378292,1.86533715
2008,323,427773,351083,1.965891679
2008,324,11773856,10703237,1
2008,325,16910701,48885708,2.449589986
2008,326,1181341,1393537,1.173630042
2008,327,4792922,5646942,1.004347826
2008,331,6410419,8544634,1.003242921
2008,332,2098710,2503007,1.409688619
2008,333,917907,1348962,1
2008,334,531579,535545,1
2008,335,455247,574037,1
2008,336,1745336,2075894,1
2008,337,273304,216479,1.004982206
2008,339,297614,345650,1.240909091
2009,311,5404160,5828738,1
2009,312,468289,514820,1.058982938
2009,313,326448,440231,1.051433602
2009,314,239594,482166,1
2009,315,37297,21071,1
2009,316,15085,10345,1
2009,321,584037,843735,1
2009,322,4429934,5236605,1.921768101
2009,323,331777,272297,1.981006636
2009,324,6417467,5833914,1
2009,325,10115485,29241995,2.404914575
2009,326,818705,965762,1.160758683
2009,327,3195425,3764797,1.006521739
2009,331,3677470,4901807,1.003293702
2009,332,1533861,1829344,1.390433829
2009,333,710193,1043705,1
2009,334,401872,404870,1
2009,335,320289,403864,1
2009,336,1165943,1386768,1
2009,337,187681,148659,1.002491103
2009,339,248273,288537,1.220454545
2010,311,5041070,4783,1
2010,312,449736,378,1.05497076
2010,313,357515,351,1.035714286
2010,314,111281,81,1
2010,315,31400,25,1
2010,316,18333,9.2,1
2010,321,592484,767,1
2010,322,4376895,4522,1.978199052
2010,323,287454,269,1.996121593
2010,324,6947601,7695,1
2010,325,11065796,40246,2.360239163
2010,326,802747,802,1.147887324
2010,327,3058537,2999,1.008695652
2010,331,4148493,8620,1.003344482
2010,332,1476838,1310,1.371179039
2010,333,668327,643,1
2010,334,358903,311,1
2010,335,320510,460.2,1
2010,336,1145645,1097,1
2010,337,169442,141,1
2010,339,229199,160.3,1.2
2011,311,5027771,,1
2011,312,415688,,1.069827042
2011,313,348994,,1.026785714
2011,314,102787,,1
2011,315,30043,,1
2011,316,19798,,1
2011,321,606002,,1
2011,322,4249868,,2.210284803
2011,323,279966,,2.024591195
2011,324,7159898,,1
2011,325,11221703,,2.325255683
2011,326,792652,,1.150116398
2011,327,3140505,,1.008948924
2011,331,4466883,,1.002866527
2011,332,1497428,,1.367592522
2011,333,704313,,1
2011,334,349541,,1
2011,335,320149,,1
2011,336,1154038,,1
2011,337,166531,,1.001533742
2011,339,221382,,1.194117647
2012,311,3886580,,1
2012,312,361895,,1.084683324
2012,313,278703,,1.017857143
2012,314,82489,,1
2012,315,23794,,1
2012,316,8647,,1
2012,321,501433,,1
2012,322,3721246,,2.442370554
2012,323,213411,,2.053060797
2012,324,6111345,,1
2012,325,8648218,,2.290272203
2012,326,657235,,1.152345471
2012,327,2770750,,1.009202195
2012,331,3643554,,1.002388573
2012,332,1203381,,1.364006006
2012,333,542983,,1
2012,334,282041,,1
2012,335,237465,,1
2012,336,911894,,1
2012,337,147732,,1.003067485
2012,339,177342,,1.188235294
2013,311,4070586,,1
2013,312,416167,,1.099539605
2013,313,308615,,1.008928571
2013,314,82586,,1
2013,315,22757,,1
2013,316,8849,,1
2013,321,585700,,1
2013,322,3916047,,2.674456305
2013,323,223139,,2.081530398
2013,324,6952132,,1
2013,325,10188417,,2.255288722
2013,326,691180,,1.154574545
2013,327,2894894,,1.009455466
2013,331,3728355,,1.001910619
2013,332,1239652,,1.360419489
2013,333,571056,,1
2013,334,257981,,1
2013,335,220285,,1
2013,336,988113,,1
2013,337,147624,,1.004601227
2013,339,199803,,1.182352941
2014,311,4365016,0,1
2014,312,451486,,1.114395887
2014,313,314844,,1
2014,314,95083,,1
2014,315,22649,,1
2014,316,8994,,1
2014,321,650450,,1
2014,322,4290461,,2.906542056
2014,323,236770,,2.11
2014,324,7952885,,1
2014,325,11070233,,2.220305242
2014,326,748853,,1.156803619
2014,327,3024875,,1.009708738
2014,331,3962642,,1.001432665
2014,332,1398570,,1.356832972
2014,333,612400,,1
2014,334,279134,,1
2014,335,288305,,1
2014,336,1158586,,1
2014,337,169553,,1.006134969
2014,339,199946,,1.176470588
2015,311,3723982,,1
2015,312,402799,,1.114395887
2015,313,236027,,1
2015,314,84583,,1
2015,315,25316,,1
2015,316,9160,,1
2015,321,654685,,1
2015,322,3475049,,2.906542056
2015,323,177933,,2.11
2015,324,5191358,,1
2015,325,8966522,,2.220305242
2015,326,701429,,1.156803619
2015,327,2573474,,1.009708738
2015,331,2815925,,1.001432665
2015,332,1264363,,1.356832972
2015,333,546094,,1
2015,334,308144,,1
2015,335,261773,,1
2015,336,1021542,,1
2015,337,187330,,1.006134969
2015,339,182212,,1.176470588
2016,311,3385294,,1
2016,312,358866,,1.114395887
2016,313,222720,,1
2016,314,79455,,1
2016,315,23886,,1
2016,316,8700,,1
2016,321,626186,,1
2016,322,3053075,,2.906542056
2016,323,181469,,2.11
2016,324,4349506,,1
2016,325,8932636,,2.220305242
2016,326,665868,,1.156803619
2016,327,2415044,,1.009708738
2016,331,2202231,,1.001432665
2016,332,1142132,,1.356832972
2016,333,485525,,1
2016,334,301218,,1
2016,335,244380,,1
2016,336,957630,,1
2016,337,175932,,1.006134969
2016,339,177556,,1.176470588
2017,311,3517275,,1
2017,312,367624,,1.114395887
2017,313,190505,,1
2017,314,68550,,1
2017,315,23802,,1
2017,316,8624,,1
2017,321,716324,,1
2017,322,3241216,,2.906542056
2017,323,254988,,2.11
2017,324,5274052,,1
2017,325,9505606,,2.220305242
2017,326,847961,,1.156803619
2017,327,2498944,,1.009708738
2017,331,2366163,,1.001432665
2017,332,1208867,,1.356832972
2017,333,533522,,1
2017,334,475193,,1
2017,335,256842,,1
2017,336,948899,,1
2017,337,176465,,1.006134969
2017,339,201928,,1.176470588
