Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
    All industries,32.125,32.051,33.081,35.297,36.912,37.052,35.934,38.286,40.554,42.551,43.786,43.602,44.035,43.106,44.815,47.841,49.803,51.268,53.961,56.319,57.853,58.896
Private industries,30.372,30.312,31.405,33.737,35.497,35.569,34.288,36.827,39.212,41.254,42.525,42.259,42.646,41.529,43.215,46.396,48.25,49.552,52.376,54.823,56.291,57.236
"  Agriculture, forestry, fishing, and hunting",52.388,53.207,55.361,58.261,58.618,56.089,58.774,60.045,62.596,65.138,68.252,66.036,70.167,70.619,63.315,71.432,73.664,72.903,75.517,72.461,76.052,78.999
    Farms,48.645,49.961,51.899,53.254,54.191,51.062,54.351,55.348,57.814,60.422,64.038,61.331,65.952,66.999,58.106,66.698,70.126,68.798,71.548,68.615,72.753,75.984
"    Forestry, fishing, and related activities",81.538,76.96,80.923,98.748,92.71,98.126,92.756,96.683,99.762,101.579,100.106,102.499,101.77,96.89,104.338,107.368,98.895,102.772,104.267,100.331,99.619,100.3
  Mining,54.765,56.2,53.682,54.372,56.882,58.948,56.842,58.027,59.82,62.205,64.589,67.019,67.981,62.992,59.745,65.294,63.52,57.869,58.208,61.692,59.739,62.089
    Oil and gas extraction,75.249,76.904,76.12,75.627,75.157,73.755,69.784,70.654,72.266,73.09,71.728,70.455,69.208,65.947,64.715,69.205,68.927,66.297,67.95,68.911,65.813,66.725
"    Mining, except oil and gas",66.072,69.521,64.133,64.312,71.604,76.437,72.566,73.481,73.697,76.679,86.416,86.561,84.71,71.859,72.817,82.978,80.028,79.795,79.671,88.534,89.596,94.028
    Support activities for mining,14.349,13.636,12.649,14.632,15.068,17.793,19.738,21.367,24.412,27.596,28.493,37.344,43.737,40.959,32.685,36.564,32.964,20.461,19.277,21.728,19.604,22.141
  Utilities,59.059,60.894,60.513,65.237,66.346,68.075,68.926,71.135,72.639,76.329,80.409,75.196,76.171,73.414,75.991,74.842,71.805,66.506,76.733,79.06,81.407,80.96
  Construction,74.887,72.344,80.293,87.694,88.747,78.132,69.898,75.288,81.238,87.762,89.462,80.855,79.626,74.264,82.159,93.964,101.083,105.628,108.293,107.326,105.993,103.791
  Manufacturing,45.694,43.775,45.249,49.269,53.128,52.863,48.57,52.722,56.583,59.278,60.607,57.402,57.459,54.349,56.532,60.775,61.673,62.4,66.791,69.898,70.851,70.646
    Durable goods,37.065,34.589,35.864,39.73,44.187,43.106,38.067,41.343,44.721,47.654,49.243,46.206,46.375,42.096,43.984,48.971,50.048,50.65,53.605,56.864,57.46,57.002
      Wood products,67.3,74.813,77.214,91.464,88.392,89.539,84.025,89.769,91.116,86.98,85.932,84.047,83.156,75.293,82.312,91.733,92.051,96.895,112.003,111.979,109.524,107.795
      Nonmetallic mineral products,84.853,81.025,83.967,94.445,99.752,97.308,87.725,92.066,98.502,104.904,104.657,94.29,90.376,81.28,85.79,91.318,92.234,94.966,105.584,106.527,105.713,104.254
      Primary metals,116.415,104.21,101.721,111.309,129.622,131.422,101.285,109.934,112.047,119.598,122.841,110.996,110.747,82.479,83.74,87.837,81.531,79.073,82.452,91.808,91.086,89.147
      Fabricated metal products,71.387,64.992,63.688,68.925,76.287,74.95,67.379,71.823,76.885,80.818,84.613,81.054,80.377,73.425,71.73,76.253,76.331,75.78,77.232,80.734,80.279,80.278
      Machinery,41.752,43.964,47.486,59.352,67.285,69.117,61.913,62.52,66.621,71.046,74.659,71.059,70.855,60.543,53.879,60.683,62.144,59.891,62.942,68.307,71.635,69.535
      Computer and electronic products,2.987,2.915,2.853,3.178,3.615,3.882,3.632,4.099,4.927,5.642,6.548,7.445,8.157,8.813,9.769,11.747,12.64,13.005,14.338,15.661,16.036,17.051
"      Electrical equipment, appliances, and components",76.282,73.266,71.901,80.121,89.307,86.911,71.893,78.417,86.517,90.977,93.883,87.792,86.093,78.696,81.173,89.981,89.973,91.442,94.5,97.717,98.599,95.46
"      Motor vehicles, bodies and trailers, and parts",45.548,38.096,47.018,50.047,56.271,47.492,41.873,51.699,58.194,62.338,58.626,44.797,44.938,40.916,50.062,59.176,59.791,59.541,61.254,65.029,65.908,59.803
      Other transportation equipment,65.246,58.523,54.714,53.814,60.829,61.253,59.469,57.647,57.848,61.508,69.351,71.838,67.796,61.159,62.099,62.819,69.723,76.855,77.355,79.904,79.741,84.903
      Furniture and related products,62.575,60.275,62.562,72.898,77.375,71.252,62.079,68.363,78.912,85.214,84.305,81.919,81.445,77.595,83.976,93.118,94.131,97.619,109.398,107.996,108.642,105.892
      Miscellaneous manufacturing,39.732,38.413,38.574,44.277,45.132,43.308,41.319,43.435,47.03,47.72,47.71,44.705,46.746,47.408,46.213,48.685,49.094,49.838,57.701,61.744,62.066,64.703
    Nondurable goods,59.074,58.507,60.245,64.195,66.559,67.845,65.184,70.713,75.217,77.231,77.96,74.623,74.484,73.561,76.158,78.783,79.3,80.212,87.023,89.633,91.185,91.443
      Food and beverage and tobacco products,53.907,54.502,56.016,59.421,60.07,63.309,62.194,65.962,66.789,68.707,68.525,69.461,70.763,72.398,72.474,73.512,75.541,76.169,79.9,81.966,84.167,84.086
      Textile mills and textile product mills,146.199,142.433,151.009,164.775,167.029,151.977,148.806,164.996,182.446,180.35,179.712,168.042,162.381,149.815,168.041,170.401,163.942,169.186,191.528,192.133,194.797,186.349
      Apparel and leather and allied products,463.11,445.064,459.199,450.084,457.776,429.923,425.061,437.017,458.378,465.435,440.666,444.934,445.856,448.579,456.803,456.269,440.825,433.733,473.487,473.774,451.048,443.409
      Paper products,75.258,73.667,73.93,79.63,85.647,86.207,78.109,85.276,90.592,94.989,94.807,91.985,92.567,92.957,98.306,101.653,101.395,105.898,108.829,112.933,114.461,114.483
      Printing and related support activities,62.267,61.586,61.109,67.721,70.975,69.819,66.374,71.046,77.17,81.972,84.1,84.611,86.589,92.404,96.917,104.438,107.606,111.146,123.636,126.996,128.434,131.844
      Petroleum and coal products,65.289,64.155,64.596,65.895,64.43,70.856,72.98,81.721,88.608,89.036,95.748,87.115,83.509,81.579,80.364,80.314,78.093,78.083,80.643,83.187,83.155,82.85
      Chemical products,42.813,42.519,43.925,47.747,52.288,53.954,49.242,54.872,59.831,62.198,62.86,57.297,57.357,53.313,58.959,63.737,64.889,64.852,74.94,78.13,80.522,81.695
      Plastics and rubber products,34.495,33.187,36.108,42.201,47.684,46.031,40.016,44.023,51.59,53.616,52.64,47.993,50.109,49.972,54.213,60.779,62.83,64.712,73.966,77.234,79.127,81.165
  Wholesale trade,11.486,12.287,13.572,15.204,15.67,16.689,16.753,19.602,22.288,23.006,24.424,27.524,28.189,26.223,25.692,29.289,31.336,34.378,35.634,37.731,39.586,40.575
  Retail trade,30.565,30.788,31.455,33.502,34.144,35.09,32.151,37.067,38.992,39.165,38.489,43.41,41.71,39.377,40.303,41.832,45.822,46.641,50.467,52.986,54.486,55.552
