NAICS,Industry,1985,1988,1991,1994,1998,2002,2006,2010,2014,fuel_type
316,Leather and Allied Products,7.43,6.79,8.292,8.36,8.25,10.65,14.99,22.2,19.13,LPG
321,Wood Products,6.92,5.38,6.399,6.56,7.18,8.71,13.22,19.46,21,LPG
322,Paper,7.54,5.98,7.064,7.18,7.28,8.97,17.56,20.43,19.97,LPG
323,Printing and Related Support,9.95,6.62,9.549,8.46,8.6,11.68,19.01,19.21,19.92,LPG
324,Petroleum and Coal Products,5.08,3.92,4.603,5.45,4.29,6.68,20.13,19.82,18.49,LPG
325,Chemicals,5.18,5.25,4.829,4.71,4.44,5.77,13.06,13.98,12.04,LPG
326,Plastics and Rubber Products,8.2,7,7.959,8.61,9.06,11.26,17.63,18.12,22.05,LPG
327,Nonmetallic Mineral Products,6.92,5.01,8.065,7.4,8.57,10.21,15.13,18.91,22.63,LPG
331,Primary Metals,6.47,4.87,5.23,7,7.5,8.98,14.6,16.53,18.48,LPG
332,Fabricated Metal Products,8.85,6.37,8.192,9.45,8.83,12.66,16.66,22.17,20.14,LPG
333,Machinery,8.87,6.67,7.713,10.02,7.65,10.7,16.73,20.82,22.19,LPG
334,Computer and Electronic Products,6.658,5.189,7.6522,5.527,7.9,9.47,18.06,24.93,23.38,LPG
335,"Electrical Equip., Appliances, and Components",7.54,5.81,7.279,6.28,8,10.87,20.58,18.22,14.34,LPG
336,Transportation Equipment,7.06,5.5,7.111,8.67,8.05,9.44,13.57,20.86,24.24,LPG
337,Furniture and Related Products,7.35,6.19,8.548,9.42,7.82,10.22,17.87,20.91,22.97,LPG
339,Miscellaneous,10,7.65,10.033,7.38,12.94,12.17,18.76,23.65,24.95,LPG
311,Food,6.58,4.9862,6.064,5.47,4.1,7.04,17.17,18.62,16.98,Distillate
312,Beverage and Tobacco Products,6.514,5.766,5.7907,5.08,5.38,9.75,19.59,13,10.87,Distillate
313,Textile Mills,6.02,4.01,4.468,4.32,3.64,6.73,18.44,16.94,14.13,Distillate
314,Textile Product Mills,6.02,4.01,4.468,4.32,4.5,6.73,15.42,14.42,15.16,Distillate
315,Apparel,6.48,5.13,6.667,5.15,5.14,6.74,14.46,15.3,0,Distillate
316,Leather and Allied Products,6.44,4.59,4.864,3.57,4.63,5.87,13.64,21.02,20.03,Distillate
321,Wood Products,6.23,5.22,6.421,6.14,4.6,7.02,16.75,16.05,18.12,Distillate
322,Paper,5.95,3.96,4.566,4.59,4.29,5.13,10.93,16.11,14.9,Distillate
323,Printing and Related Support,5.99,4.56,6.002,5.57,4.27,6.28,15,20.54,15,Distillate
324,Petroleum and Coal Products,5.34,4.56,5.164,4.44,3.85,6.08,13.03,16.37,13.2,Distillate
325,Chemicals,5.83,4.3,5.284,4.84,4.68,6.1,13.34,17.05,13.9,Distillate
326,Plastics and Rubber Products,6.16,7.46,5.372,4.56,5.59,6.66,13.94,22.73,0,Distillate
327,Nonmetallic Mineral Products,6.44,5.04,6.01,5.49,4.77,7.5,18.33,16.7,11.01,Distillate
331,Primary Metals,6.06,4.18,5.835,4.57,5.1,4.73,15.44,15.01,15.64,Distillate
332,Fabricated Metal Products,6.54,4.77,5.706,5.44,5.06,6.77,20.4,21.39,0,Distillate
333,Machinery,6.23,4.36,5.799,5.24,5.13,8.69,18.73,19.73,22.65,Distillate
334,Computer and Electronic Products,6.109,4.181,5.128,5.235,4.69,6.88,14.38,19.8,23.1,Distillate
335,"Electrical Equip., Appliances, and Components",6.1,4.37,5.245,5.25,5.49,6.73,12.52,18.37,0,Distillate
336,Transportation Equipment,6.17,4.4,5.378,4.12,4.84,7.73,16.58,21.58,15.5,Distillate
337,Furniture and Related Products,6.59,5.22,5.821,5.57,5.41,8.22,16.94,20.07,0,Distillate
339,Miscellaneous,6.61,4.98,6.118,3.88,4.3,7.07,17.32,18.23,18.71,Distillate
311,Food,4.29,2.65,2.854,2.79,2.7,4.29,8,11.16,22.71,Residual
312,Beverage and Tobacco Products,4.332,2.638,2.7709,2.829,2.68,4.59,8.45,11.02,19.99,Residual
313,Textile Mills,4.77,2.78,2.809,2.94,2.82,4.89,8.49,13.84,24.22,Residual
314,Textile Product Mills,4.77,2.78,2.809,2.94,2.8,5,8.5,17.64,23.75,Residual
315,Apparel,4.97,3.13,3.121,3.14,2.77,5,8.5,19,20,Residual
316,Leather and Allied Products,4.38,2.48,2.626,2.23,2.6,3.87,8.57,16.05,23.28,Residual
321,Wood Products,4.65,2.65,2.68,2.61,2.6,4,8.33,11.44,21.81,Residual
