NAICS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
311-312,809.4792068,846.4135443,829.1869311,847.053263,850.0747065,802.3940111,812.4980782,864.1068106,924.7136232,1004.093591,993.6247175,863.41523,866.967045,915.0574499,935.8999163,891.4527974,1034.806967,965.0472813,908.2243581,875.6893765,879.5030006,1010.034051,1014.908271,913.0386443,1083.435171,961.0549708,965.0622574,906.9904165,939.7189109,929.6143959,1031.311756,1062.401985,972.3404351
313-314,156.1414043,167.3443138,172.601338,168.4890599,167.4442756,155.8905363,167.2296413,171.7806361,179.6647475,192.9439227,191.1416093,167.541924,171.2597603,184.887013,188.2398561,157.688105,157.1517787,162.3,144.9913966,150.0247876,157.1355821,163.6,116.914137,99.12780149,91.06577876,60.6,63.75929824,66.64247297,73.64098407,76.29691846,78.95570653,83.01339126,61.90856478
315-316,26.61723213,36.94431091,40.19895811,45.34264553,37.97946749,33.55041133,36.1944015,58.90994909,50.3655073,39.92951948,44.16379208,35.49035743,33.50581968,34.35296201,33.91378664,27.46819727,25.82726073,22.7,13.67193361,13.34151554,10.88370185,9.274051471,5.959006623,3.262045711,3.93560026,3.502,4.13159763,3.473988365,3.643063645,3.726938927,5.506034965,6.167727763,5.313399877
321,248.7998734,255.7509629,293.3205204,302.6019731,314.9887421,317.5537066,314.8324536,285.6526347,308.9977062,319.4586644,373.1756882,354.5471389,351.3793041,432,456.7436036,395.2956118,334.7096704,303,314.8929545,333.4957831,327.4531691,353.1237624,383.7692285,339.7419215,348.6872736,416.4109005,343.7265468,267.6794945,299.2234301,311.2906542,386.6261434,429.7054851,458.6619283
322,2017.363237,1985.879982,2039.394143,2153.956264,2186.125306,2232.456152,2267.236748,2376.896815,2413.860059,2406.54145,2475.580879,2446.640688,2445.85489,2505.794982,2466.286152,2357.54133,2297.971991,2136.169521,2061.098976,2027.461545,2040.78684,2106,2089.789319,1905.197226,1774.187717,1904.399806,1722.350022,1679.023191,1810.90373,1899,1916.533987,1920.602876,1793.63896
323,26.69907987,31.39868404,35.457031,40.08974635,41.24363371,40.25036078,38.57648348,38.1783926,35.27144094,37.11357324,43.2570292,40.45154055,40.78016527,47.25543478,52.42943612,44.18638972,44.12680593,48,39.81908511,40.04829063,36.78176499,40.35,40.75902803,32.24964131,42.46457758,35.52710201,39.43723282,40.90515715,41.40723757,40.5067381,42.30211491,49.44478146,60.25092166
324,2519.63338,2626.79105,2540.523369,3018.315783,2915.296929,3124.788943,2884.371262,2872.033531,3246.954653,3144.694723,3137.182088,3074.57026,2948.547826,3493.65544,3736.343154,3908.80302,3382.114683,3078.327566,2950.691798,3027.591468,3195.116661,3260.253894,3222.600865,3288.098841,2781.857333,3147.337297,3109.545515,2939.557014,3134.152771,3338.932914,2656.884064,2387.974314,2647.944625
325,1982.330673,1831.844784,2195.605459,2425.297428,2499.320369,2517.113039,2577.285897,2632.220028,2820.37397,2729.171456,2877.711354,2983.65167,2818.207087,3127,3499.084646,3615.449928,3550.817524,3245.752593,2887.320445,2813.17453,2731.449991,2677.119937,2785.500695,2693.416346,2420.742303,2772.147887,2866.287111,2722.024138,3073.789584,3070.156804,3262.538605,3612.890499,3287.415286
326,128.4305587,135.021877,151.4229397,150.3658265,156.1333263,135.0227662,125.6148844,132.9508923,136.7725601,141.5852246,151.6960999,145.3882325,135.0177338,144,163.5699147,170.5839596,171.2232532,167,162.7784632,156.6712562,150.5080766,154,143.219402,118.8998121,111.4948158,115.7982609,111.9780768,105.0998002,104.2299483,95.27458884,108.2332051,123.2333752,144.1908025
327,791.0154552,833.8454944,865.3611042,884.6440603,872.2687169,839.7971594,788.8142821,834.39754,866.9424672,822.0561966,836.1122718,768.1072835,780.741196,833.937659,886.7107834,859.3526135,843.7065146,909.8876679,842.7465504,845.3385682,886.0624776,956.9968586,887.6387887,743.9320354,645.8870062,600,611.9740215,624.1758623,679.8508979,699.2002865,721.7519922,778.1365709,714.2813854
