NAICS,Value,Year,Variable
333,4.298052724,1998,calc price 1985
334,4.115116527,1998,calc price 1985
335,4.49107185,1998,calc price 1985
336,4.050605732,1998,calc price 1985
337,4.456302597,1998,calc price 1985
339,3.629552042,1998,calc price 1985
311,1.188125785,1985,Scale Factor
312,1.188125785,1985,Scale Factor
313,1.01955032,1985,Scale Factor
314,1.01955032,1985,Scale Factor
315,1.127008546,1985,Scale Factor
316,0.947225632,1985,Scale Factor
321,4.749856462,1985,Scale Factor
322,2.295917817,1985,Scale Factor
323,0.748066168,1985,Scale Factor
324,3.421666699,1985,Scale Factor
325,1.282724926,1985,Scale Factor
326,1.06015789,1985,Scale Factor
327,1.05586562,1985,Scale Factor
331,1.874058802,1985,Scale Factor
332,1.039247085,1985,Scale Factor
333,1.019813574,1985,Scale Factor
334,1.055484229,1985,Scale Factor
335,0.921755543,1985,Scale Factor
336,1.09686063,1985,Scale Factor
337,1.549580887,1985,Scale Factor
339,0.988929893,1985,Scale Factor
311,1.132413604,1988,Scale Factor
312,1.132413604,1988,Scale Factor
313,1.053345207,1988,Scale Factor
314,1.053345207,1988,Scale Factor
315,1.206006916,1988,Scale Factor
316,0.87826396,1988,Scale Factor
321,4.820612322,1988,Scale Factor
322,2.311098511,1988,Scale Factor
323,0.756117536,1988,Scale Factor
324,3.774285543,1988,Scale Factor
325,1.270853347,1988,Scale Factor
326,1.072118505,1988,Scale Factor
327,1.099973841,1988,Scale Factor
331,1.736370681,1988,Scale Factor
332,1.041889897,1988,Scale Factor
333,1.006950442,1988,Scale Factor
334,1.045700994,1988,Scale Factor
335,0.908606345,1988,Scale Factor
336,1.114509324,1988,Scale Factor
337,1.548248146,1988,Scale Factor
339,0.990252119,1988,Scale Factor
311,1.102830158,1991,Scale Factor
312,1.102830158,1991,Scale Factor
313,1.052012875,1991,Scale Factor
314,1.052012875,1991,Scale Factor
315,1.233141817,1991,Scale Factor
316,0.997616844,1991,Scale Factor
321,5.100533225,1991,Scale Factor
322,2.253570808,1991,Scale Factor
323,0.753699683,1991,Scale Factor
324,3.205235339,1991,Scale Factor
325,1.306700487,1991,Scale Factor
326,1.083252485,1991,Scale Factor
327,1.128723465,1991,Scale Factor
331,1.741936323,1991,Scale Factor
332,1.061044863,1991,Scale Factor
333,1.037908491,1991,Scale Factor
334,1.094261684,1991,Scale Factor
335,0.972599098,1991,Scale Factor
336,1.201363266,1991,Scale Factor
337,2.233253578,1991,Scale Factor
339,0.977644815,1991,Scale Factor
311,1.167891802,1994,Scale Factor
312,1.167891802,1994,Scale Factor
313,1.053290106,1994,Scale Factor
314,1.053290106,1994,Scale Factor
315,1.150919593,1994,Scale Factor
316,0.925609801,1994,Scale Factor
321,4.068912407,1994,Scale Factor
322,2.259393029,1994,Scale Factor
323,0.742339189,1994,Scale Factor
324,3.690134972,1994,Scale Factor
325,1.22580503,1994,Scale Factor
326,1.079100799,1994,Scale Factor
327,1.112248806,1994,Scale Factor
331,1.584277542,1994,Scale Factor
332,1.052917864,1994,Scale Factor
333,1.037469347,1994,Scale Factor
334,1.185868474,1994,Scale Factor
335,1.121793315,1994,Scale Factor
336,1.158333446,1994,Scale Factor
337,1.674322624,1994,Scale Factor
339,1.185031385,1994,Scale Factor
311,1.127739152,1998,Scale Factor
312,1.127739152,1998,Scale Factor
313,1.313454771,1998,Scale Factor
314,1.313454771,1998,Scale Factor
315,1.074413857,1998,Scale Factor
316,1.102748571,1998,Scale Factor
321,4.69313,1998,Scale Factor
322,2.43571793,1998,Scale Factor
323,1.045700734,1998,Scale Factor
324,3.297382032,1998,Scale Factor
325,1.321461117,1998,Scale Factor
326,1.038848892,1998,Scale Factor
327,1.122294188,1998,Scale Factor
331,1.428520456,1998,Scale Factor
332,1.032238957,1998,Scale Factor
333,1.043363071,1998,Scale Factor
334,1.018223964,1998,Scale Factor
335,1.079555302,1998,Scale Factor
336,1.108920924,1998,Scale Factor
337,1.863052484,1998,Scale Factor
339,1.081652336,1998,Scale Factor
