NAICS,Year,Composite Price 
311,1985,3.90492373
312,1985,3.662755049
313,1985,4.121678297
314,1985,4.121678297
315,1985,5.128442218
316,1985,4.692724762
321,1985,5.385807671
322,1985,3.323188991
323,1985,5.055001138
324,1985,3.27752715
325,1985,2.891797739
326,1985,4.365538413
327,1985,3.310609683
331,1985,4.682332547
332,1985,4.756884674
333,1985,4.408244051
334,1985,4.205766674
335,1985,4.584988686
336,1985,4.303119564
337,1985,5.010451489
339,1985,3.771585747
311,1986,3.187028657
312,1986,3.074993706
313,1986,3.273724558
314,1986,3.303369975
315,1986,4.350776781
316,1986,3.331662842
321,1986,4.707794954
322,1986,2.670358357
323,1986,4.271747328
324,1986,2.606676181
325,1986,2.331998484
326,1986,3.555753874
327,1986,2.792400251
331,1986,4.031334191
332,1986,3.87514588
333,1986,3.657654425
334,1986,3.519746559
335,1986,3.736886967
336,1986,3.554288396
337,1986,4.104044556
339,1986,3.069584034
311,1987,2.861396895
312,1987,2.776258042
313,1987,3.109431916
314,1987,3.109658727
315,1987,3.983691791
316,1987,3.382535039
321,1987,4.037274623
322,1987,2.43564883
323,1987,4.053813476
324,1987,2.288613352
325,1987,2.038503403
326,1987,3.32342561
327,1987,2.487240205
331,1987,3.661984965
332,1987,3.610797751
333,1987,3.36098685
334,1987,3.241150432
335,1987,3.400669379
336,1987,3.304802732
337,1987,3.891918223
339,1987,3.197253493
311,1988,2.77823903
312,1988,2.664504851
313,1988,3.017896236
314,1988,3.017896236
315,1988,4.068635781
316,1988,3.116387126
321,1988,4.227543121
322,1988,2.261922108
323,1988,4.096729281
324,1988,2.226648158
325,1988,1.970955897
326,1988,3.234216856
327,1988,2.427379528
331,1988,3.512945178
332,1988,3.600129748
333,1988,3.376398775
334,1988,3.132176859
335,1988,3.391679473
336,1988,3.260858886
337,1988,3.944974564
339,1988,3.411939397
311,1989,2.767684655
312,1989,2.60237827
313,1989,3.149568184
314,1989,3.131107376
315,1989,4.046035976
316,1989,3.393978063
321,1989,4.053280574
322,1989,2.330395161
323,1989,4.104027002
324,1989,2.240354833
325,1989,1.983732364
326,1989,3.332083398
327,1989,2.408987496
331,1989,3.490763054
332,1989,3.668947173
333,1989,3.446570691
334,1989,3.249876217
335,1989,3.48876197
336,1989,3.270879755
337,1989,3.947552683
339,1989,3.594995352
311,1990,2.786522966
312,1990,2.561221089
313,1990,3.319321648
314,1990,3.290382791
315,1990,4.100067342
316,1990,3.646046803
321,1990,4.191983748
322,1990,2.427441992
323,1990,4.074782435
324,1990,2.299499617
325,1990,1.996289256
326,1990,3.400256329
327,1990,2.40701378
331,1990,3.474484838
332,1990,3.70880536
333,1990,3.510026498
334,1990,3.390008099
335,1990,3.639497322
336,1990,3.295197204
337,1990,3.985548578
339,1990,3.75748345
311,1991,2.56813265
312,1991,2.360003772
313,1991,3.121193504
314,1991,3.105506023
315,1991,3.808962073
316,1991,3.249294808
321,1991,4.025053114
322,1991,2.251487014
323,1991,3.760925563
324,1991,2.127499418
325,1991,1.83446
326,1991,3.211774779
327,1991,2.256794467
331,1991,3.314740904
332,1991,3.491976736
333,1991,3.317831668
334,1991,3.23979394
335,1991,3.446860357
336,1991,3.055545485
337,1991,3.667652853
339,1991,3.644324935
311,1992,2.599799299
312,1992,2.4663535
313,1992,3.139693609
314,1992,3.127456478
315,1992,3.872339006
316,1992,3.303216748
321,1992,4.028207896
322,1992,2.257502492
323,1992,3.929800869
324,1992,2.205835182
325,1992,1.939614936
326,1992,3.293005083
327,1992,2.485356218
331,1992,3.379084612
332,1992,3.559374907
333,1992,3.382860978
334,1992,3.179309366
335,1992,3.533499581
336,1992,3.101697006
337,1992,3.779576368
339,1992,3.703536089
311,1993,2.728963577
312,1993,2.649187408
