Year,NAICS,MECS,ASM,MECS/ASM,ratio,expenditure
1985,311,2472.1,2587.6935,0.9553,0.9553,"2,472,091.1"
1985,312,176.7,210.5065,0.8393,0.8393,"176,681.8"
1985,313,631.2,497.42,1.2690,1.2690,"631,224.0"
1985,314,0.0,213.18,0.0000,0.0000,0.0
1985,315,84.3,136.5,0.6177,0.6177,"84,312.8"
1985,316,40.1,51.1,0.7842,0.7842,"40,074.1"
1985,321,282.1,462,0.6106,0.6106,"282,111.3"
1985,322,2920.0,3385.2,0.8626,0.8626,"2,919,999.7"
1985,323,180.4,288,0.6264,0.6264,"180,417.0"
1985,324,2413.5,3544.2,0.6810,0.6810,"2,413,492.5"
1985,325,4469.0,5439.9,0.8215,0.8215,"4,469,001.3"
1985,326,528.9,557.6,0.9484,0.9484,"528,853.8"
1985,327,2480.2,2657.4,0.9333,0.9333,"2,480,186.3"
1985,331,4826.0,4295.3,1.1236,1.1236,"4,826,030.9"
1985,332,1000.7,1118.721,0.8945,0.8945,"1,000,686.0"
1985,333,512.5,619.356,0.8274,0.8274,"512,473.6"
1985,334,218.3,285.286,0.7653,0.7653,"218,318.4"
1985,335,313.0,410.788,0.7619,0.7619,"312,973.5"
1985,336,921.9,998.259,0.9235,0.9235,"921,855.6"
1985,337,120.9,149.2,0.8102,0.8102,"120,877.7"
1985,339,129.1,186.566,0.6922,0.6922,"129,148.8"
1986,311,,2225.1915,,0.9593,"2,134,723.9"
1986,312,,188.4085,,0.8776,"165,355.8"
1986,313,,428.4,,1.2407,"531,520.1"
1986,314,,183.6,,0.0000,0.0
1986,315,,134.3,,0.7022,"94,305.5"
1986,316,,51.1,,0.8428,"43,068.8"
1986,321,,430.4,,0.5861,"252,246.2"
1986,322,,2712.1,,0.8498,"2,304,727.7"
1986,323,,269.7,,0.6625,"178,664.1"
1986,324,,2628.4,,0.7363,"1,935,312.0"
1986,325,,4000.1,,0.8351,"3,340,502.7"
1986,326,,483.8,,0.9326,"451,181.6"
1986,327,,2301.3,,0.9452,"2,175,246.6"
1986,331,,3301.8,,1.2148,"4,011,154.4"
1986,332,,990.843,,0.8890,"880,866.6"
1986,333,,543.216,,0.8736,"474,553.9"
1986,334,,244.618,,0.7763,"189,904.3"
1986,335,,350.812,,0.8118,"284,790.7"
1986,336,,858.217,,0.9170,"786,967.6"
1986,337,,137.2,,0.8300,"113,879.8"
1986,339,,165.658,,0.7422,"122,950.0"
1987,311,1984240,1972,,0.9635,"1,900,196.6"
1987,312,50850,171,,0.9171,"156,724.5"
1987,313,402949,425,,1.2116,"514,964.3"
1987,314,110778,182,,0.0000,0.0
1987,315,115906,135,,0.7893,"106,395.6"
1987,316,32773,36,,0.9032,"32,606.1"
1987,321,359172,440,,0.5608,"246,852.3"
1987,322,2461585,2575,,0.8366,"2,153,970.7"
1987,323,215404,273,,0.6996,"190,768.0"
1987,324,1599126,2004,,0.7933,"1,589,502.7"
1987,325,4285815,4135,,0.8491,"3,511,022.2"
1987,326,477602,514,,0.9162,"471,125.5"
1987,327,2134853,2071,,0.9575,"1,982,978.6"
1987,331,4875565,2858,,1.3089,"3,740,262.8"
1987,332,840548,953,,0.8834,"841,492.7"
1987,333,563401,482,,0.9212,"444,036.8"
1987,334,223788,237,,0.7877,"186,633.7"
1987,335,452144,291,,0.8632,"250,918.0"
1987,336,661600,794,,0.9103,"722,496.6"
1987,337,128792,139,,0.8505,"117,962.2"
1987,339,90030,176,,0.7937,"139,902.2"
1988,311,1912,1976,0.9675,0.9675,"1,912,234.9"
1988,312,159,167,0.9555,0.9555,"159,115.4"
1988,313,483,408,1.1833,1.1833,"482,731.1"
1988,314,0,175,0.0000,0.0000,0.0
1988,315,120,138,0.8738,0.8738,"120,323.4"
1988,316,34,36,0.9618,0.9618,"34,337.0"
1988,321,265,495,0.5362,0.5362,"265,373.5"
1988,322,2108,2559,0.8238,0.8238,"2,108,123.6"
1988,323,217,295,0.7356,0.7356,"217,210.7"
1988,324,1781,2098,0.8487,0.8487,"1,780,662.1"
1988,325,3761,4360,0.8627,0.8627,"3,761,373.6"
1988,326,454,504,0.9004,0.9004,"453,602.6"
1988,327,1952,2014,0.9694,0.9694,"1,952,198.1"
1988,331,4319,3085,1.4002,1.4002,"4,319,214.8"
1988,332,868,989,0.8779,0.8779,"867,818.7"
1988,333,466,481,0.9673,0.9673,"465,690.8"
1988,334,188,235,0.7988,0.7988,"187,784.2"
1988,335,241,264,0.9132,0.9132,"240,981.4"
1988,336,745,825,0.9038,0.9038,"745,443.1"
1988,337,124,142,0.8703,0.8703,"123,936.3"
1988,339,157,186,0.8436,0.8436,"156,545.4"
1988,311,1912,1879200,1.0176,1.0176,"1,912,234.9"
1988,312,159,263800,0.6032,0.6032,"159,115.4"
1988,313,483,457128,1.0560,1.0560,"482,731.1"
1988,314,0,125672,0.0000,0.0000,0.0
1988,315,120,103588,1.1616,1.1616,"120,323.4"
1988,316,34,35700,0.9618,0.9618,"34,337.0"
