Year,NAICS,Industry,Total,Electricity,Residual,Distillate,Nat. Gas,LPG,Coal,Coke,Other
2002,331,Primary Metals,1614,500,1,15,669,3,47,340,39
2002,332,Fabricated Metal Products,387,161,1,6,209,3,1,5,2
2002,333,Machinery,175,84,0.1,2,82,2,1,0,4
2002,334,Computer and Electronic Products,200,131,1,1,65,0.1,0.1,0,2
2002,335,"Electrical Equip., Appliances, and Components",103,47,0.1,1,53,1,0.1,0,1
2002,336,Transportation Equipment,422,173,6,3,203,4,8,0,27
2002,337,Furniture and Related Products,55,24,0.5,1,25,1,1,0,2
2002,339,Miscellaneous,71,35,0.5,0.5,32,1,0,0,2
2006,311,Food,1124,251,26,16,635,3,147,1,45
2006,312,Beverage and Tobacco Products,101,30,3,1,41,1,20,0,5
2006,313,Textile Mills,178,66,2,0.5,65,0.1,32,0,12
2006,314,Textile Product Mills,72,20,1.5,0.1,46,1,3,0,0.4
2006,315,Apparel,14,7,0.05,0.1,7,0.05,0,0,0.1
2006,316,Leather and Allied Products,3,1,0.1,0.5,1,0.05,0,0,0.1
2006,321,Wood Products,296,94,4,15,86,4,15,0.5,77
2006,322,Paper,1350,262,91,13,474,5,221,0,284
2006,323,Printing and Related Support,85,45,0.05,0.1,39,1,0,0,0.2
2006,324,Petroleum and Coal Products,1434,150,40,19,849,5,53,0.1,318
2006,325,Chemicals,2772,540,23,8,1388,7,167,0.1,639
2006,326,Plastics and Rubber Products,336,182,9,3,127,5,6,0,4
2006,327,Nonmetallic Mineral Products,1105,150,3,30,459,5,320,11,126
2006,331,Primary Metals,1353,465,19,6,585,4,21,201,52
2006,332,Fabricated Metal Products,396,143,0.5,2,240,4,0,3,3
2006,333,Machinery,204,111,1,2,84,3,1,0,2
2006,334,Computer and Electronic Products,141,94,0.1,1,45,0.1,0,0,1
2006,335,"Electrical Equip., Appliances, and Components",87,44,0,1,41,1,0,0,0.3
2006,336,Transportation Equipment,476,195,7,3,249,4,5,0.1,13
2006,337,Furniture and Related Products,54,32,0.2,0.1,17,1,3,0,1
2006,339,Miscellaneous,66,33,2.5,1,25,1,0,0,3
2010,311,Food,1113,258,12,22,579,5,182,2,54
2010,312,Beverage and Tobacco Products,85,29,1,1,38,1,10,0,5
2010,313,Textile Mills,95,46,2,1,31,1,8,0,6
2010,314,Textile Product Mills,20,8,0.1,0.1,9,0.1,2,0,0.3
2010,315,Apparel,6,4,0,0.1,2,0.1,0,0,0.001
2010,316,Leather and Allied Products,2,1,0.1,0.1,1,0.1,0,0,0.001
2010,321,Wood Products,266,55,0.5,22,34,3,1,0,150
2010,322,Paper,1182,228,35,6,398,4,207,0.05,304
2010,323,Printing and Related Support,83,47,0.05,0.1,34,1,0,0,0.3
2010,324,Petroleum and Coal Products,1517,179,12,17,918,5,11,0,374
2010,325,Chemicals,2913,499,6,8,1774,7,200,0,420
2010,326,Plastics and Rubber Products,271,156,0.1,2,103,2,4,0,3.7
2010,327,Nonmetallic Mineral Products,709,111,1,23,273,2,217,8,74
2010,331,Primary Metals,1328,412,1,9,537,3,23,291,53
2010,332,Fabricated Metal Products,300,128,0.1,3,162,5,0.1,0,2
2010,333,Machinery,148,70,0.1,3,71,2,0,0,1
2010,334,Computer and Electronic Products,144,101,0.1,0.1,42,0.1,0,0,0.2
2010,335,"Electrical Equip., Appliances, and Components",74,36,0.05,1,36,1,0,0.05,0.2
2010,336,Transportation Equipment,276,133,2,3,127,3,3,0,5
2010,337,Furniture and Related Products,33,17,0,0.1,13,1,0.2,0,2
2010,339,Miscellaneous,43,26,0.1,1,16,0.1,0.1,0,0.1
2014,311,Food,1025,247,4,20,570,6,110,1,68
2014,312,Beverage and Tobacco Products,95,33,0.5,1,48,1,7,0,4
2014,313,Textile Mills,98,44,0.1,0.3,36,1,6,0,12
2014,314,Textile Product Mills,27,9,0.1,3,16,0.4,1,0,0.2
2014,315,Apparel,5,3,0,0.1,2,0.1,0,0,0.1
2014,316,Leather and Allied Products,3,1,0.1,0.2,1,0.2,0,0,0.2
2014,321,Wood Products,182,75,0.1,10,49,3,1,0,44
2014,322,Paper,1111,211,17,5,436,3,146,0,293
2014,323,Printing and Related Support,89,48,0.1,0.3,39,1,0,0,0.2
2014,324,Petroleum and Coal Products,1690,183,4,8,1071,8,8,0,408
2014,325,Chemicals,3152,499,1,10,1989,4,237,0,413
2014,326,Plastics and Rubber Products,293,190,0,0.1,90,4,0.1,0,0.1
2014,327,Nonmetallic Mineral Products,827,129,0.2,19,333,3,235,14,94
2014,331,Primary Metals,1370,448,1.5,6,643,3,18,221,29
2014,332,Fabricated Metal Products,344,143,0,2,191,7,0,0,1
2014,333,Machinery,163,80,0.1,5,72,3,2,0,1
2014,334,Computer and Electronic Products,162,112,0.2,1,47,0.2,0,0,2
2014,335,"Electrical Equip., Appliances, and Components",71,40,0,0.3,27,1,0,0.3,2
2014,336,Transportation Equipment,317,154,1,4,145,4,1,0.2,8
2014,337,Furniture and Related Products,34,17,0,0.3,15,1,0.2,0,0.5
2014,339,Miscellaneous,57,29,0.1,0.3,26,1,0,0,0.3
