Year,NAICS,Industry,Total,Electricity,Residual,Distillate,Nat. Gas,LPG,Coal,Coke,Other
1998,311,Food,992,215,14,16,568,5,129,2,44
1998,312,Beverage and Tobacco Products,109,26,2,2,45,1,29,0,3
1998,313,Textile Mills,255,101,12,4,102,2,20,0,15
1998,314,Textile Product Mills,49,18,3,1.5,24,0.3,3,0,0.1
1998,315,Apparel,48,18,2,1,23,1,1,0,3
1998,316,Leather and Allied Products,8,3,0.2,0.4,4,0.3,0,0,0.1
1998,321,Wood Products,285,75,1,12,73,4,2,0,118
1998,322,Paper,1648,253,151,9,586,5,277,0,368
1998,323,Printing and Related Support,97,51,0.4,0.5,43,1,0.05,0,1.3
1998,324,Petroleum and Coal Products,1475,133,29,20,994,17,0.1,0,281
1998,325,Chemicals,3377,602,40,9,1983,50,284,2,407
1998,326,Plastics and Rubber Products,327,183,5,1,126,4,3,0,5
1998,327,Nonmetallic Mineral Products,921,135,4,16,438,3,283,10,31
1998,331,Primary Metals,2010,558,30,8,888,3,72,421,29
1998,332,Fabricated Metal Products,441,176,2,6,241,5,3,2,6
1998,333,Machinery,213,96,1,3,99,3,6,0,4
1998,334,Computer and Electronic Products,205,137,1,1,64,0.4,0.2,0,1
1998,335,"Electrical Equip., Appliances, and Components",115,55,1,1,52,2,0.2,0,3
1998,336,Transportation Equipment,491,197,5,15,211,4,29,1,30
1998,337,Furniture and Related Products,75,30,0.4,1,27,1,2,0,14
1998,339,Miscellaneous,87,40,1,2,40,1,0.1,0,3
2002,311,Food,1079,233,13,19,575,5,184,1,50
2002,312,Beverage and Tobacco Products,104,27,2,2,46,1,17,0,9
2002,313,Textile Mills,206,87,4,2,74,2,22,0,15
2002,314,Textile Product Mills,60,17,2,1.3,29,1,9,0,1
2002,315,Apparel,30,12,0.3,1,16,0.1,0,0,0.3
2002,316,Leather and Allied Products,7,2,0.1,0.4,4,0.1,0,0,0.4
2002,321,Wood Products,198,74,1,10,57,5,1,0,50
2002,322,Paper,1413,245,100,13,504,6,234,4,306
2002,323,Printing and Related Support,98,50,0.1,0.4,46,1,0,0,0.5
2002,324,Petroleum and Coal Products,1290,141,14,13,878,10,13,0.1,222
2002,325,Chemicals,3154,551,43,13,1674,32,314,1,525
2002,326,Plastics and Rubber Products,347,182,7,2,128,3,21,0,4
2002,327,Nonmetallic Mineral Products,960,141,3,31,421,3,309,11,40
