,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
311-312,1,118.012,118.377,120.595,125.497,129.326,134.331,137.116,140.903,142.581,139.403,145.049,146.204,161.751,154.989,159.596,159.6140424,162.3467132,175.813536
313-314,2,84.373,88.458,96.657,100.969,93.606,92.955,97.765,96.555,96.181,94.648,91.668,91.217,85.969,93.38,95.378,91.7319612,94.8290336,106.8259668
315-316,3,21.666,21.315,24.856,25.651,25.044,26.22,26.065,25.074,23.368,20.453,21.411,21.231,21.222,21.192,23.469,19.8295204,20.0018264,20.2532908
321,4,34.61126144,38.36950975,44.86781469,45.17210575,49.41492724,48.29764526,51.8508815,53.7012432,55.47916701,53.45193699,48.7088608,48.4235916,48.7094844,51.3722728,55.4409568,55.6381192,58.9757376,68.6538756
322,5,112.87,119.114,125.528,129.985,139.449,133.482,148.279,152.04,155.625,157.502,169.524,178.103,172.442,176.792,182.903,178.9566704,198.8902568,202.1531524
323,6,18.8784668,18.1143736,18.7524,20.70428,19.63776,22.37268,23.4872,25.2355628,24.4030248,22.38026982,22.6206528,24.406612,25.0275052,25.410826,30.7996832,29.8429444,32.0407264,37.0512236
324,7,74.986,80.489,84.679,88.726,92.944,90.074,94.558,102.883,103.254,107.718,109.908,111.048,116.64,114.111,118.728,119.877208,126.4500848,114.1170696
325,8,302.959,334.378,383.2,409.428,410.215,414.425,471.722,485.147,478.251,478.379,438.974,436.781,398.42,422.343,454.236,429.44285,408.3727264,424.055302
326,9,50.733,55.056,61.727,68.227,64.74,64.122,67.387,76.965,78.375,77.925,73.907,78.18,105.079,109.32,100.827,102.70973,106.5274168,112.86896
327,10,82.947,85.208,92.849,97.758,98.996,94.851,99.754,105.516,111.757,112.547,104.085,102.731,95.105,95.357,102.507,104.1233216,107.9161008,113.658838
331,11,438.107,422.355,451.749,531.924,578.284,490,527.283,561.722,586.508,610.575,575.892,581.009,420.414,410.464,490.024,454.3153064,428.0142456,445.8416044
332,12,87.2263876,84.16946482,88.53997671,94.25234932,92.52629213,90.43912192,95.26197027,97.35476312,98.57789268,99.42997023,97.16477777,97.07586897,97.18578176,92.77920962,102.6017787,100.7478477,97.78947565,110.5488
333,13,54.67548123,56.37282305,60.62520087,66.74500646,65.73778745,69.50508938,71.51672088,73.30780008,77.04645006,76.70075143,75.26872343,78.47460383,73.26723904,67.16639758,73.72491408,72.99938112,72.12539475,83.4776508
334,14,50.18554177,50.53573443,54.00944902,56.71377236,53.65528985,54.95033998,54.29773459,56.4844388,60.1403597,64.6162479,69.0411688,73.8255816,78.8074376,82.6134756,89.65029,94.8761192,99.1182588,105.5594324
335,15,37.53709047,36.88627155,39.5751233,42.70038671,41.47122133,38.90881911,39.14965866,41.659876,43.54251101,44.84749859,42.1731336,41.7381592,42.4105088,42.5067384,45.0693632,43.0567104,43.779372,45.3168192
336,16,109.6025241,114.8341053,118.7662963,127.9946387,112.9515346,110.5203271,117.8333717,123.3755608,124.9191463,124.7637797,117.0993652,117.389368,112.3094704,119.7416544,139.871944,134.8534996,139.398966,150.0515712
337,17,12.63147496,12.52185263,12.92313484,14.19665715,15.04376989,14.61145829,14.90332157,15.7177568,15.91083299,15.12406301,14.8191392,15.2824084,14.8115156,15.8937272,17.1640432,16.8351492,17.5830596,21.681554
339,18,15.03623841,17.02523846,19.10500429,19.14808358,18.18417755,17.60719896,17.13834083,18.9645612,18.6736403,17.8367521,17.7538312,17.9434184,18.4005624,18.6155244,19.53871,18.941718,19.5920452,24.3555384
