Year,  Electricity,Total Fuel
1972,,
1977,39.03252711,470.4014424
1982,40.94480358,328.0545214
1987,53.2925636,479.1851568
1992,66.32054176,478.794825
1997,79.01951884,495.8927974
2002,113.8075406,633.5611564
2007,203.3710647,493.0544843
2012,91.26494377,316.5056931
2017,253.7964198,899.9444088
