Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All industries,30.512,30.569,31.576,33.236,35.113,34.923,34.851,36.729,38.427,40.554,41.838,41.731,42.79,42.019,43.945,47.125,49.09,50.79,52.547,54.742,56.752,57.822,57.76,59.794,61.44,63.916,65.631,68.107,71.136,74.324,77.857,81.07,81.88,83.306,85.689,88.945,92.07,94.698,96.475,96.343,93.899,96.306,97.8,100,101.842,104.415,107.451,109.211,111.799,115.072
Private industries,27.983,28.144,29.3,31.25,33.112,32.875,32.747,34.743,36.464,38.516,39.801,39.449,40.541,39.652,41.865,45.057,47.067,48.883,50.42,52.666,54.589,55.516,55.449,57.618,59.402,62.104,63.747,66.757,70.417,73.791,77.614,81.097,81.675,83.128,85.527,89.042,92.473,95.475,97.063,96.46,93.523,95.938,97.577,100,101.886,104.833,108.266,110.049,112.867,116.441
"Agriculture, forestry, fishing, and hunting",33.221,33.788,35.205,35.626,34.479,34.424,40.511,38.513,39.514,38.16,41.444,42.026,52.738,55.861,42.032,53.628,62.081,59.971,62.318,55.607,61.622,65.475,65.575,72.944,64.831,76.478,64.265,71.712,78.122,76.225,78.531,90.102,86.959,90.001,96.987,104.744,109.218,111.013,98.327,100.402,111.362,107.954,103.799,100,116.603,117.923,125.752,131.765,129.793,127.954
Farms,30.284,31.126,32.764,32.763,32.389,31.671,37.684,35.863,37.749,36.315,39.774,38.641,51.048,53.519,36.989,49.351,58.475,55.946,56.486,50.225,57.065,61.591,61.94,71.544,63.412,76.767,61.12,70.718,79.295,76.516,78.438,92.819,86.006,89.664,97.414,107.28,113.323,111.13,97.074,99.687,114.614,110.82,105.745,100,120.733,121.937,130.521,138.168,135.822,131.92
"Forestry, fishing, and related activities",54.215,51.455,50.193,54.77,45.343,53.736,58.068,54.775,48.416,47.795,49.424,63.177,60.358,67.785,74.385,78.464,81.13,81.838,95.102,85.948,86.534,86.074,84.748,80.718,72.531,77.649,78.534,76.715,73.802,75.317,78.99,81.795,90.973,91.766,95.975,94.965,93.264,108.69,101.038,100.749,96.915,94.888,94.458,100,96.638,98.394,103.212,103.958,103.191,107.54
Mining,80.062,79.971,76.196,77.485,79.163,65.455,57.133,58.006,59.345,59.907,50.085,49.757,45.548,43.238,42.789,46.91,51.061,57.248,58.23,65.708,62.433,62.237,64.65,61.88,65.597,72.02,74.269,70.107,73.569,76.54,74.233,65.831,76.178,78.193,69.241,69.643,70.809,81.679,87.975,85.158,97.66,86.193,89.398,100,103.938,115.332,125.082,117.847,126.275,130.409
Oil and gas extraction,163.443,160.902,154.542,157.418,152.679,112.324,102.145,103.007,99.957,103.864,77.578,70.481,62.135,60.113,59.166,61.957,70.441,91.398,90.979,98.441,91.9,88.043,90.151,84.284,85.82,95.313,104.765,90.39,90.875,91.304,83.169,61.645,72.103,82.781,66.78,66.272,65.447,74.402,80.363,76.243,102.995,81.18,81.267,100,105.624,119.953,161.27,169.464,173.069,173.747
"Mining, except oil and gas",58.189,59.277,54.972,55.35,60.395,53.424,44.259,45.402,53.193,53.433,55.314,54.121,54.619,53.889,54.293,63.135,61.985,61.322,61.776,76.028,77.162,81.33,87.693,88.844,91.162,102.966,99.242,108.429,115.53,134.396,142.684,140.63,136.125,124.746,126.9,122.583,123.694,126.306,128.879,118.371,111.044,113.053,112.672,100,102.563,100.758,93.511,90.154,98.596,101.228
Support activities for mining,16.256,16.332,16.488,17.23,17.813,19.679,16.783,17.047,15.018,13.286,10.067,16.315,15.371,12.917,12.938,16.679,16.8,11.682,14.083,16.115,14.029,15.241,15.572,14.389,20.57,19.873,18.393,18.167,22.578,21.207,20.455,27.733,41.52,32.139,34.848,40.436,49.131,72.102,81.862,91.407,68.121,76.49,95.573,100,99.571,112.177,74.642,46.65,59.841,70.96
Utilities,62.696,63.29,65.996,67.549,69.886,69.386,72.815,68.977,65.196,65.228,65.871,69.528,73.542,67.278,66.722,70.629,73.142,71.981,79.26,76.283,82.841,86.767,84.223,85.281,84.351,85.744,86.419,86.156,82.684,78.993,92.023,93.244,77.009,79.706,77.93,82.678,78.378,83.261,84.935,89.475,84.828,95.043,98.68,100,98.916,95.102,94.941,99.769,101.498,101.33
