NEA Sector,NAICS,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
1,400,16.177,19.295,20.974,22.39,23.069,23.816,24.614,22.485,25.737,26.112,27.989,27.886,29.425,32.216,27.463,26.821,28.069,29.66,39.9,44.648,54.895,55.745,56.536,51.136,43.08,52.025,43.269,39.491
2,400,28.972,34.311,37.972,39.249,40.559,41.801,42.098,45.735,45.602,47.693,49.915,56.135,59.629,61.921,61.558,65.109,61.752,61.075,63.632,63.08,64.139,76.252,72.1,85.362,72.823,64.355,68.188,65.886
3,400,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.007,0.007,0.008,0.006,0.006,0.005,0.005,0.003,0.002,0.002,0.002,0.002
4,400,1.773,1.819,1.897,1.966,2.059,2.099,2.249,2.358,2.424,2.49,2.606,2.697,2.937,3.087,3.217,3.382,3.492,3.616,3.872,4.161,4.581,5.013,5.387,5.718,5.853,5.974,6.07,6.177
5,400,4.224,4.114,6.044,5.578,5.489,6.169,7.867,8.93,10.701,10.694,11.835,14.067,14.896,14.149,15.317,20.552,21.208,20.768,23.449,19.726,29.065,31.96,28.583,29.182,15.781,18.039,26.467,26.813
6,400,0.723,1.016,1.176,1.242,1.199,1.099,1.082,0.839,0.842,0.953,1.135,1.136,1.209,1.228,1.313,1.474,1.474,1.62,1.944,2.468,3.406,3.814,4.862,4.659,3.467,2.944,2.435,1.913
7,400,8.278,7.874,9.663,10.669,11.69,12.106,12.888,14.464,15.503,12.092,14.707,18.113,20.933,19.637,21.419,21.471,20.766,19.122,20.961,20.417,20.191,21.252,19.306,24.542,21.181,21.651,25.048,26.097
8,400,1.924,1.773,1.633,1.43,1.343,1.283,1.063,1.113,0.999,0.864,0.845,0.862,0.92,0.836,0.896,0.829,0.783,0.773,0.74,0.681,0.632,0.707,0.72,0.679,0.666,0.586,0.62,0.574
9,400,14.849,14.976,15.214,14.833,15.683,17.108,15.606,18.252,18.679,18.923,19.931,21.789,24.848,24.05,27.34,27.669,28.716,31.367,33.442,34.584,34.512,41.639,45.754,46.622,49.543,47.358,54.598,55.32
10,400,12.201,13.724,14.67,15.902,17.217,18.561,19.939,20.542,21.73,27.185,30.424,33.26,36.853,38.486,41.015,44.404,46.802,48.825,51.694,56.15,66.144,71.668,78.839,85.032,91.643,98.902,102.271,106.288
11,400,0.28,0.351,0.421,0.488,0.565,0.652,0.79,0.938,1.122,1.313,1.389,1.485,1.551,1.58,1.579,1.752,1.836,1.859,1.996,2.152,2.454,2.839,3.11,3.386,3.399,3.352,3.643,3.734
12,400,1.488,1.73,1.953,2.15,2.381,2.644,2.823,3.008,3.272,3.524,3.791,4.122,4.381,4.537,4.612,5.352,5.81,6.052,6.657,7.319,8.296,9.547,10.417,11.306,11.317,11.137,12.08,12.361
13,400,7.728,8.616,8.929,9.307,9.893,10.625,11.557,12.549,13.372,13.271,14.346,15.229,16.119,16.757,17.925,20.409,19.941,17.489,18.866,20.234,23.465,25.235,23.076,21.921,20.27,23.465,22.902,25.502
14,400,3.62,4.24,4.556,4.833,5.092,5.589,6.596,7.843,9.18,9.773,9.396,9.347,9.495,9.438,10.036,10.726,11.612,11.711,12.583,13.755,14.68,16.84,17.258,16.624,13.41,14.53,15.235,13.966
15,400,1.814,1.915,1.841,1.916,2.06,1.988,2.027,1.904,1.712,1.542,1.51,1.542,1.404,1.26,1.331,1.503,1.878,2.332,2.636,3.209,4.435,5.551,8.165,12.17,12.565,12.388,16.158,15.741
16,400,16.808,18.275,19.194,20.006,21.565,23.032,24.176,26.056,26.286,26.609,27.558,27.921,27.43,29.092,30.57,32.608,34.584,34.04,34.536,35.36,39.57,40.141,36.66,36.455,35.292,40.708,48,51.38
17,400,2.736,2.975,3.387,3.53,3.51,3.749,3.936,3.553,4.279,4.332,3.758,3.807,4.465,3.967,3.778,4.03,4.716,6.007,6.095,6.24,6.854,7.692,8.171,8.056,7.228,8.295,9.165,10.823
18,332,0.895,1.208,1.352,1.524,1.646,1.839,1.906,2.289,4.305,8.043,11.14,10.444,8.877,6.591,7.214,6.691,5.398,4.654,4.208,3.747,4.736,4.806,5.026,4.961,5.039,4.9,6.531,5.806
19,336,2.267,2.672,2.696,2.974,2.866,3.078,3.321,3.454,4.422,5.415,5.876,5.172,5.75,6.164,6.162,5.732,5.859,5.454,5.104,4.298,4.037,4.071,3.929,3.992,3.666,3.983,4.645,6.45
20,336,0.206,0.273,0.292,0.33,0.353,0.429,0.297,0.21,0.311,0.478,0.631,0.468,0.502,0.597,0.418,0.423,0.439,0.494,0.682,0.857,0.681,0.693,0.582,0.59,0.706,0.679,0.77,0.816
21,311,53.391,57.762,60.956,63.317,65.016,68.247,77.695,75.696,80.435,83.257,91.777,99.324,115.108,115.279,117.299,121.628,125.818,130.677,133.281,136.638,138.262,134.895,140.296,141.352,156.771,149.786,154.723,154.884
22,311,1.116,1.191,1.252,1.286,1.358,1.743,1.918,2.092,2.303,2.515,2.576,2.706,2.904,3.098,3.296,3.869,3.508,3.654,3.835,4.265,4.319,4.508,4.753,4.852,4.98,5.203,4.873,5.071
23,313,34.09,37.45,38.041,38.324,40.146,42.354,45.725,47.942,51.658,56.616,59.99,62.699,62.986,64.682,70.271,73.645,67.831,66.756,71.704,70.421,68.213,67.73,66.546,66.461,61.899,68.423,68.971,65.905
24,313,3.794,4.224,4.016,4.06,4.466,4.122,4.862,5.585,6.125,6.691,7.957,8.895,8.994,9.721,10.861,11.321,10.598,10.168,10.523,11.011,11.525,10.912,9.908,10.108,9.667,10.212,11.165,10.833
25,313,1.503,1.684,1.688,1.873,2.144,2.442,2.926,3.03,3.485,3.997,5.501,6.012,7.268,8.029,10.66,11.155,10.257,11.005,10.744,10.442,12.053,11.849,11.34,10.708,9.936,10.524,10.624,10.354
26,315,6.252,6.58,6.743,6.8,7.683,8.159,9.501,9.168,10.057,11.33,14.326,14.224,15.548,16.254,19.434,20.229,19.919,21.01,20.913,20.239,18.619,16.115,16.767,16.725,17.142,17.1,19.427,16.268
27,313,1.044,1.177,1.252,1.331,1.426,1.658,1.836,2.177,2.467,2.818,3.429,4.395,5.125,6.026,4.865,4.848,4.92,5.026,4.794,4.681,4.39,4.157,3.874,3.94,4.467,4.221,4.618,4.64
28,321,11.667,13.176,13.55,14.5,15.475,16.101,18.849,18.841,21.606,24.673,29.192,31.048,33.851,37.495,43.557,43.909,48.409,47.437,50.87,52.893,54.693,52.919,48.269,47.917,48.128,50.771,55.353,55.429
29,321,0.054,0.066,0.07,0.083,0.091,0.109,0.119,0.127,0.136,0.143,0.188,0.213,0.249,0.378,0.523,0.549,0.499,0.424,0.454,0.519,0.498,0.439,0.435,0.382,0.429,0.421,0.409,0.382
30,321,0.604,0.621,0.669,0.71,0.747,0.624,0.604,0.645,0.689,0.676,0.713,0.775,0.71,0.7,0.826,0.747,0.839,0.792,0.877,0.689,0.636,0.634,0.566,0.51,0.501,0.531,0.391,0.445
31,337,3.006,3.405,3.385,3.344,3.648,3.562,4.34,4.374,4.78,5.074,5.643,6.07,7.51,7.51,8.377,9.117,8.841,8.752,9.12,9.564,9.59,9.108,8.865,8.666,8.432,8.5,8.794,8.639
32,337,1.416,1.542,1.628,1.655,1.668,2.016,2.04,2.405,2.361,2.771,3.388,4.773,4.057,3.968,3.45,3.859,4.855,4.504,4.422,4.733,4.928,4.652,4.618,5.471,5.215,6.061,6.72,6.629
33,322,21.09,23.707,26.16,26.587,28.299,31.012,32.745,36.314,40.777,43.596,49.215,53.862,54.596,57.851,61.416,62.597,63.109,60.069,71.311,72.649,72.299,74.505,80.951,85.671,87.967,90.96,93.119,97.311
34,322,18.026,20.37,20.827,22.236,24.468,26.812,30.756,30.562,34.536,37.266,41.589,44.042,47.707,50.409,52.726,55.746,64.248,62.467,65.678,67.708,71.518,71.558,77.242,80.753,73.012,73.458,77.126,68.716
35,322,3.323,3.811,3.938,4.48,4.862,5.214,5.79,6.394,7.141,7.367,8.537,9.591,10.567,10.854,11.386,11.642,12.092,10.946,11.29,11.683,11.808,11.439,11.331,11.679,11.463,12.374,12.658,13.616
36,323,10.25,11.26,11.87,12.771,13.696,13.986,15.815,16.313,17.251,19.848,23.557,25.754,31.046,30.951,31.254,33.394,30.684,33.898,34.54,36.011,35.3,32.374,32.944,35.151,36.297,36.464,42.9,42.25
37,325,245.598,251.944,253.838,260.078,253.578,261.218,232.107,250.04,242.561,246.932,239.197,238.576,209.604,238.678,276.261,297.044,294.427,303.356,350.227,355.017,343.309,332.504,299.213,292.531,267.096,293.66,316.469,289.852
38,325,4.91,6.271,7.261,8.182,9.833,11.853,14.307,16.337,18.684,21.939,22.912,27.02,25.037,24.662,24.201,23.908,24.188,26.733,28.784,30.271,29.886,28.302,28.797,28.723,25.228,22.324,25.231,24.116
39,325,0.355,0.389,0.416,0.454,0.471,0.662,0.809,0.935,1.061,1.215,1.351,1.532,1.733,1.931,2.409,2.975,2.934,2.252,3.473,3.228,3.365,4.012,4.182,5.123,4.82,5.001,5.549,5.438
40,325,3.45,3.678,3.825,4.03,4.094,4.709,5.145,5.589,6.053,6.735,7.762,9.042,9.455,9.584,10.816,10.864,9.288,9.021,9.578,9.772,10.402,13.604,9.613,11.003,10.515,10.304,12.231,12.063
41,325,4.234,4.971,5.411,5.5,6.111,6.814,7.469,8.489,10.277,12.488,12.604,15.392,17.483,17.702,24.15,25.822,27.327,24.881,28.003,31.38,34.112,41.52,40.553,41.815,35.343,34.612,37.739,40.417
