Year,SF_NE,SF_MW,SF_S,SF_W, Shr Sum,MF_NE,MF_MW,MF_S,MF_W, Shr Sum,MH_NE,MH_MW,MH_S,MH_W, Shr Sum
1985,0.182482024,0.266505125,0.358182776,0.192830075,1,0.305796944,0.225015326,0.262406071,0.206781659,1,0.094256074,0.218967402,0.470348661,0.216427863,1
1986,0.181028397,0.263382298,0.360859646,0.194729659,1,0.306241751,0.220685432,0.26267095,0.210401867,1,0.096827186,0.204440735,0.480479893,0.218252186,1
1987,0.17957477,0.260259472,0.363536516,0.196629242,1,0.306686558,0.216355538,0.262935829,0.214022075,1,0.099398299,0.189914067,0.490611126,0.220076509,1
1988,0.180236156,0.259720878,0.364075682,0.195967285,1,0.301402755,0.217098549,0.265557332,0.215941364,1,0.095242474,0.192501082,0.499607042,0.212649401,1
1989,0.180897541,0.259182284,0.364614848,0.195305327,1,0.296118953,0.21784156,0.268178835,0.217860652,1,0.09108665,0.195088098,0.508602958,0.205222294,1
1990,0.18035098,0.256667067,0.363130144,0.19985181,1,0.293543997,0.220415436,0.267082909,0.218957659,1,0.093893825,0.19571693,0.49884464,0.211544605,1
1991,0.179804419,0.254151849,0.361645439,0.204398292,1,0.290969041,0.222989311,0.265986983,0.220054665,1,0.096701,0.196345763,0.489086323,0.217866915,1
1992,0.177649062,0.254467598,0.363167845,0.204715495,1,0.28828746,0.223298061,0.268675213,0.219739266,1,0.091059783,0.189341046,0.511412067,0.208187104,1
1993,0.175493706,0.254783346,0.36469025,0.205032698,1,0.285605878,0.223606812,0.271363443,0.219423867,1,0.085418566,0.182336329,0.533737812,0.198507294,1
1994,0.17354036,0.258177391,0.364199396,0.204082854,1,0.285970673,0.219598155,0.269775588,0.224655584,1,0.088007521,0.17965739,0.532292245,0.200042844,1
1995,0.171587013,0.261571435,0.363708541,0.20313301,1,0.286335468,0.215589498,0.268187733,0.229887301,1,0.090596476,0.176978452,0.530846679,0.201578394,1
