Year,SF_NE,SF_MW,SF_S,SF_W,MF_NE,MF_MW,MF_S,MF_W
1985,1.1899249,1.002953837,0.931543738,0.918484931,1.055514457,1.018719546,1.025462675,0.936724289
1986,1.186984936,1.004050771,0.934012171,0.919090634,1.056310471,1.018719546,1.025462675,0.935447616
1987,1.184044972,1.005147706,0.936480605,0.919696338,1.057106485,1.018719546,1.025462675,0.934170943
1988,1.181105008,1.006244641,0.938949038,0.920302042,1.057902499,1.018719546,1.025462675,0.93289427
1989,1.178165045,1.007341576,0.941417472,0.920907745,1.058698513,1.018719546,1.025462675,0.931617597
1990,1.175225081,1.00843851,0.943885905,0.921513449,1.059494526,1.018719546,1.025462675,0.930340925
1991,1.172285117,1.009535445,0.946354338,0.922119152,1.06029054,1.018719546,1.025462675,0.929064252
1992,1.169345153,1.01063238,0.948822772,0.922724856,1.061086554,1.018719546,1.025462675,0.927787579
1993,1.16640519,1.011729314,0.951291205,0.923330559,1.061882568,1.018719546,1.025462675,0.926510906
1994,1.163465226,1.012826249,0.953759638,0.923936263,1.062678582,1.018719546,1.025462675,0.925234234
1995,1.160525262,1.013923184,0.956228072,0.924541967,1.063474595,1.018719546,1.025462675,0.923957561
1996,1.157585299,1.015020119,0.958696505,0.92514767,1.064270609,1.018719546,1.025462675,0.922680888
1997,1.154645335,1.016117053,0.961164938,0.925753374,1.065066623,1.018719546,1.025462675,0.921404215
1998,1.151705371,1.017213988,0.963633372,0.926359077,1.065862637,1.018719546,1.025462675,0.920127542
1999,1.148765407,1.018310923,0.966101805,0.926964781,1.066658651,1.018719546,1.025462675,0.91885087
2000,1.14288548,1.016117053,0.968570239,0.929993299,1.068250678,1.018151386,1.024670051,0.916297524
2001,1.137005552,1.013923184,0.971038672,0.933021817,1.069842706,1.017583227,1.023877427,0.913744179
2002,1.131125625,1.011729314,0.973507105,0.936050334,1.071434734,1.017015067,1.023084803,0.911190833
2003,1.125245697,1.009535445,0.975975539,0.939078852,1.073026761,1.016446908,1.022292179,0.908637487
2004,1.11936577,1.007341576,0.978443972,0.94210737,1.074618789,1.015878749,1.021499554,0.906084142
2005,1.113485842,1.005147706,0.980912405,0.945135888,1.076210816,1.015310589,1.02070693,0.903530796
2006,1.107605915,1.002953837,0.983380839,0.948164406,1.077802844,1.01474243,1.019914306,0.900977451
2007,1.101725987,1.000759967,0.985849272,0.951192924,1.079394872,1.01417427,1.019121682,0.898424105
2008,1.09584606,0.998566098,0.988317706,0.954221442,1.080986899,1.013606111,1.018329058,0.89587076
2009,1.089966132,0.996372228,0.990786139,0.957249959,1.082578927,1.013037952,1.017536433,0.893317414
2010,1.084086205,0.995275294,0.993254572,0.960278477,1.083374941,1.012469792,1.016743809,0.890764068
2011,1.078206278,0.994726826,0.995723006,0.963306995,1.083971951,1.011901633,1.015951185,0.888210723
2012,1.07232635,0.994452593,0.998191439,0.966335513,1.084419709,1.011333474,1.015158561,0.885657377
2013,1.066446423,0.994315476,1.000659872,0.969364031,1.084755527,1.010765314,1.014365937,0.883104032
2014,1.063506459,0.994246917,1.001894089,0.97087829,1.085007391,1.010339195,1.013771469,0.881189023
2015,1.062036477,0.994212638,1.002511197,0.971635419,1.085196289,1.010019605,1.013325617,0.879752766
2016,1.061301486,0.994195499,1.002819752,0.972013984,1.085337962,1.009779913,1.012991229,0.878675573
2017,1.060933991,0.994186929,1.002974029,0.972203266,1.085444217,1.009600143,1.012740438,0.877867679
2018,1.060750243,0.994182644,1.003051167,0.972297908,1.085523908,1.009465317,1.012552344,0.877261758
