Year,Retail,Office,Auto R,Warehouse,Education,Hospital,Public ,Religious,Hotel ,Soc/Amuse,Misc
1925,66,62,9.4,32,69,16,9,21,36,32,
1926,63,59,9,30,61,17,9,18,34,30,
1927,59,55,8.6,28,61,21,11,19,38,34,
1928,66,62,9.4,32,69,23,12,17,32,28,
1929,67,63,9.4,32,67,23,15,15,25,22,
1930,41,38,5.8,20,65,21,19,13,18,16,
1931,21,19,2.7,10,41,19,27,7,16,14,
1932,10,9,1.4,5,16,8,18,4,7,6,
1933,9,9,1.4,5,7,7,11,3,7,6,
1934,12,11,1.8,6,19,4,10,3,8,7,
1935,14,13,2.3,7,29,7,16,4,9,8,
1936,28,26,4.1,14,52,13,17,6,17,13,
1937,28,26,4.1,13,43,13,14,7,17,14,
1938,18,17,2.7,9,65,19,18,6,21,18,
1939,21,20,3.2,10,39,14,17,7,14,12,
1940,29,27,4.1,14,30,16,14,8,14,12,
1941,46,43,6.3,22,29,17,16,11,18,15,
1942,35,33,4.9,17,40,40,24,5,28,23,
1943,21,19,3.2,10,27,27,9,5,21,13,
1944,5,5,0.9,2,12,9,2,1,6,5,
1945,31,29,4.5,15,20,14,4,7,12,8,
1946,55,51,7.7,26,35,19,3,11,15,11,
1947,42,39,5.8,20,47,23,7,14,16,14,
1948,44,41,6.3,21,84,41,7,25,26,22,
1949,38,36,5.4,18,93,49,10,29,25,21,
1950,55,51,7.7,26,132,53,12,35,30,24,
1951,37,34,5.4,17,132,46,14,30,15,11,
1952,43,40,5.8,20,134,34,19,28,18,12,
1953,55,51,7.7,26,148,28,16,33,21,17,
1954,62,58,9,30,184,34,19,41,24,19,
1955,78,73,11.3,37,187,29,22,45,26,20,
1956,90,84,12.6,43,201,33,27,48,30,30,
1957,90,84,12.6,43,208,40,27,50,31,31,
1958,90,83,12.6,43,202,38,37,51,37,37,
1959,104,97,14.9,49,182,38,34,54,43,43,
1960,125,77,24,59,198,36,34,54,57,44,
1961,129,76,26,64,197,45,33,53,65,41,
1962,133,99,27,69,193,50,35,53,76,40,
1963,139,105,33,72,199,66,43,48,77,39,
1964,149,97,33,83,205,67,35,50,84,36,
1965,181,109,37,91,228,60,36,45,92,48,
1966,182,110,39,113,248,60,37,45,81,47,
1967,170,122,39,96,245,66,37,42,78,43,
1968,194,153,40,112,237,69,40,39,77,47,
1969,205,192,52,125,222,87,36,33,75,53,
1970,189,171,54,116,195,75,29,27,66,47,
1971,206,172,49,125,189,76,40,26,70,52,
1972,252,188,44,159,157,84,39,27,92,51,
1973,263,195,44,215,156,76,49,26,104,63,
1974,203,159,50,182,176,75,47,27,48,58,
1975,149,107,47,106,152,63,46,28,32,52,
1976,177,106,35,122,118,71,42,31,34,48,
1977,212,137,44,170,112,66,43,32,37,48,
1978,242,207,58,250,104,53,22,35,42,53,
1979,250,235,71,260,102,57,20,34,56,53,
1980,183,243,66,196,103,55,18,28,57,49,
1981,153,328,70,181,83,60,14,25,60,46,
1982,125.81,264,44.44,136.75,82,71,19,25,61.8,38,
1983,150.39,280,53.13,163.48,84,84,20,29,69.85,36,
1984,204.08,310,72.09,221.84,100,70,23,29,80.02,37,
1985,236.79,361.16,83.65,257.4,111,73,28,32,82.5,44,
1986,224.79,320.46,79.4,244.35,129,73,30,32,81.82,44,
1987,233.96,288.08,82.64,254.32,139,78,42,32,79.49,46,
1988,213.56,293.86,75.44,232.14,142,71,38,32,73.97,49,
1989,201.76,289.65,71.27,219.32,151,72,41,27,77.51,48,
1990,0,,,,152,69,47,29,,51,
1991,0,,,,177,72,50,29,,45,
1992,0,,,,156,77,41,30,,42,
1993,0,,,,165,75,30,30,,51,
1994,0,,,,172,72,45,30,,51,
1995,0,,,,186,70,40,33,,56,
1996,0,,,,177,77,41,32,,60,
1997,0,,,,204,89,48,42,,77,
1998,0,,,,219,96,42,47,,85,
1999,0,,,,262,99,50,49,,88,
2000,0,,,,273,88,44,50,,94,
2001,313.2686016 313,.4808432   6,5.264292 299,0.8973808,124.5633909  73,.3219817  38,0.8402128,58.47516094 102,0.1969203,,119.916504
2002,319.5339736 319,.7504601 66.,56957784 305,0.8953284,125.8090248 75.,52164115 39.,61701706,59.93703996 104,0.7518433,,122.3148341
2003,325.9246531 326,.1454693  67,.9009694  31,2.013235,127.0671151 77.,78729039  40,0.4093574,61.43546596 107,0.3706394,,124.7611308
2004,332.4431462 332,.6683787 69.,25898878 318,0.2534997,128.3377862  80,.1209091 41.,21754455,62.97135261 110,0.0549054,,127.2563534
2005,339.0920091 339,.3217462 70.,64416856 324,0.6185697,129.6211641 82.,52453637 42.,4189544,64.54563642  11,2.806278,,129.8014804
2006,345.8738493 346,.1081811 72.,05705193 331,0.1109411,130.9173757 85.,00027246 42.,88273334,66.15927733  11,5.626435,,132.3975101
2007,352.7913263 353,.0303448 73.,49819297 337,0.7331599,132.2265495 87.,55028063 43.,74038801,67.81325927 118,0.5170958,,135.0454603
2008,359.8471528 360,.0909517 74.,96815683 344,0.4878231,133.548815 90.,17678905 44.,61519577,69.50859075 121,0.4800232,,137.7463695
2009,367.0440958 367,.2927707 76.,46751997 351,0.3775796,134.8843031 92.,88209273 45.,50749969,71.24630552 124,0.5170238,,140.5012968
2010,374.3849778 374,.6386261 77.,99687037 358,0.4051311,136.2331461 95.,66855551 46.,41764968,73.02746316 127,0.6299494,,143.3113228
