Year,Commercial,Educational,Health,Pub. Bldg,Religious,Soc/Rec,Misc.
1990,694,152,69,47,29,51,32
1991,476,177,72,50,29,45,33
1992,462,156,77,41,30,42,32
1993,481,165,75,30,30,51,29
1994,600,172,72,45,30,51,31
1995,700,186,70,40,33,56,33
1996,723,177,77,41,32,60,33
1997,855,204,89,48,42,77,35
1998,1106,219,96,42,47,85,34
1999,1118,262,99,50,49,88,39
2000,1189,274,88,45,50,94,29
2001,986,296,90,44,51,82,27
,,,,,,,
CBECS 99,,1239,473,227,357,736,
