,@timeseries|Year,@filter|Measure|Activity,@filter|Measure|OccupiedHousingUnitsStructure,@filter|Measure|FloorspaceSquareFeetStructure,@filter|Measure|HouseholdSizeSquareFeetPerHuStructure,@filter|Measure|OccupiedHousingUnitsIntensity,@filter|Measure|FloorspaceSquareFeetIntensity,@filter|Measure|HouseholdSizeSquareFeetPerHuIntensity,@filter|Measure|Effect,@filter|Measure|BaseYear,@filter|Sector,@filter|Model,@filter|EnergyType
0,1970,0.7062628640514855,0.7438394513819631,0.47846990745437573,0.5009625226307776,4.061568360340241,3.0651350781970983,1.276420035709842,2.0009785996371816,1985,Residential,Multiplicative,source
1,1971,0.7154464254837938,0.844087306057027,0.5549044621204022,0.5075450628080712,3.6731886018562356,2.6314505545974147,1.291114370791706,2.1225624110557004,1985,Residential,Multiplicative,source
2,1972,0.7261605804881535,0.9560715847912097,0.6411576585483291,0.5138501714678303,3.501942468177782,2.339162136204495,1.3573741765060494,2.5432750777630724,1985,Residential,Multiplicative,source
3,1973,0.7355826246447212,1.1013107886702598,0.7455350524431352,0.5202563106184765,2.9111500557190753,1.8664946490035723,1.3142571933716882,2.243874089202093,1985,Residential,Multiplicative,source
4,1974,0.7421158305354435,1.153010529132414,0.7865447505058859,0.526268361113415,2.3311785713371043,1.506517976484862,1.1557908563749195,1.437688445083242,1985,Residential,Multiplicative,source
5,1975,0.7519063887308619,0.9858645540433221,0.6749222364545032,0.5281417480736668,2.5037594191677948,1.6532934479465486,1.1077809547439044,1.2116625856843208,1985,Residential,Multiplicative,source
6,1976,0.7536043120158454,0.9921330213478006,0.6784335870906828,0.5298528595081826,3.040295144495115,1.8419482386044816,1.2590764477529404,1.8950521677079692,1985,Residential,Multiplicative,source
7,1977,0.757908607450049,1.0129512561496425,0.7011300075989233,0.5317935261081875,2.849899916163495,1.7359357881887616,1.2224848531917838,1.7312258956695,1985,Residential,Multiplicative,source
8,1978,0.7722481762669028,1.0224617726441068,0.7191576055566341,0.5335774503306803,2.6824652706248786,1.65725541051598,1.2135715397250209,1.6346111341800884,1985,Residential,Multiplicative,source
9,1979,0.7801035666416894,1.0209984902183213,0.7114837667546172,0.5355466352192667,2.0989417863606943,1.3684612240188572,1.0397567923694364,0.9063674696111239,1985,Residential,Multiplicative,source
10,1980,0.786748666445476,1.0281414368263193,0.7135321892434807,0.5373136251630755,2.0940384951664446,1.3326714528993047,1.0504595299137174,0.9091119847408953,1985,Residential,Multiplicative,source
