,@timeseries|Year,@filter|Measure|Activity,@filter|Measure|OccupiedHousingUnitsStructure,@filter|Measure|FloorspaceSquareFeetStructure,@filter|Measure|HouseholdSizeSquareFeetPerHuStructure,@filter|Measure|OccupiedHousingUnitsIntensity,@filter|Measure|FloorspaceSquareFeetIntensity,@filter|Measure|HouseholdSizeSquareFeetPerHuIntensity,@filter|Measure|Effect,@filter|Measure|BaseYear,@filter|Sector,@filter|Model,@filter|EnergyType
11,1981,0.8138301736382956,1.0518794762861703,0.7253713662296999,0.5392485748573501,1.7452689283413048,1.147610075710896,1.0068208322202519,0.6752398824990146,1985,Residential,Multiplicative,source
12,1982,0.8225499847852344,1.0524234261847392,0.7360039496550774,0.5408434627908192,1.537827215997065,1.0588159632059742,0.9419005107934301,0.5284909932481311,1985,Residential,Multiplicative,source
13,1983,0.8306313189058928,1.050697218052199,0.7424461973989119,0.5423905274601553,1.4881523996603436,1.0368035078316726,0.9349262872582761,0.5069722706731963,1985,Residential,Multiplicative,source
14,1984,0.8355020990012579,1.0888095927738584,0.7735134265278097,0.5437809528351052,1.611810051220286,1.0723347814319508,1.0167060183117689,0.6724050683902298,1985,Residential,Multiplicative,source
15,1985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1985,Residential,Multiplicative,source
16,1986,0.9633263216524423,1.0909241537946075,1.2688796269560596,1.2315334709555557,1.1018366195483167,1.077630061281579,1.1489913391558608,2.240465617490926,1985,Residential,Multiplicative,source
17,1987,0.9321680545533123,1.1769794753974652,1.559155982397223,1.628963352742558,1.2320122782683027,1.1798777614014575,1.3383682745159073,5.421153060969548,1985,Residential,Multiplicative,source
18,1988,0.9095172027706971,1.1723613019210486,1.8430657681041038,2.2762392875394126,1.5729475641937825,1.429174589289632,1.6218390718520963,16.30941674113892,1985,Residential,Multiplicative,source
19,1989,0.8919326972949319,1.160185088629589,2.2594131042362386,3.294194731224116,1.7398943880640838,1.6017013302812784,1.8194530728033145,39.05256448841419,1985,Residential,Multiplicative,source
20,1990,0.8711621411762873,1.2484990244946628,3.203424537885799,4.9955075756113025,1.3442760130977642,1.3998293108827675,1.7112948749444434,56.04923671794635,1985,Residential,Multiplicative,source
21,1991,0.8540505879168613,1.3307486608604473,4.7119588141047855,7.963308104395495,1.3579869064424113,1.5219974726863745,1.9889079517319472,175.3068299737656,1985,Residential,Multiplicative,source
22,1992,0.845178315843887,1.272885602719352,6.797075028681532,14.096090175534385,1.6957282096352868,2.0723011435201477,2.600824812056937,942.0602191923267,1985,Residential,Multiplicative,source
23,1993,0.8388175230058087,1.2067148727225239,10.8614384737764,29.710060380687146,1.9317244348570433,2.784556709196103,3.3342793672054625,5858.2279420219,1985,Residential,Multiplicative,source
24,1994,0.8351110195146316,1.254134367646113,23.03795122001602,87.01271037323204,1.9253872374288827,3.6025112367475085,4.527144235553369,65926.89150424991,1985,Residential,Multiplicative,source
25,1995,0.8297848336400807,1.2984956083255381,69.51063968609262,673.8455243284557,1.7617330859778175,4.9456262047409085,6.499374147648814,2857923.169475087,1985,Residential,Multiplicative,source
26,1996,0.8241536582528575,1.2247319417702194,591.6273074336161,673.8455243284557,2.135557923324336,11.161156320800472,14.189655306067989,136097512.26118323,1985,Residential,Multiplicative,source
27,1997,0.8186927421914629,1.150661947257543,17.519244778039777,18.38755390208564,2.1353705697556533,11.393102605687073,13.789798270537466,101807.83577686462,1985,Residential,Multiplicative,source
28,1998,0.814928107394246,1.12784045986053,22.459719909421487,21.42566708243964,1.890869700398797,8.056213013732773,10.048657902483852,67702.74239061057,1985,Residential,Multiplicative,source
29,1999,0.812120355876946,1.1039512771892046,28.050194062148957,24.214452635748728,2.341717236737671,7.30868267635771,9.444829106240416,98434.76127459868,1985,Residential,Multiplicative,source
30,2000,0.805996058148237,1.1144377336480276,33.44182372794476,26.32795695432154,2.768571909110569,6.611538142720532,8.968325222325058,129827.14405598768,1985,Residential,Multiplicative,source
31,2001,0.8009209368962552,1.1237758647126834,39.265676622327085,28.184118957925097,2.6993755184408257,5.357159342177941,7.640034169068402,110047.4708461428,1985,Residential,Multiplicative,source
32,2002,0.7925775854007103,1.0268173938634275,39.62608557416631,29.815389359413523,3.1239729568618078,5.279362707358777,6.976107966375138,110626.35941373085,1985,Residential,Multiplicative,source
33,2003,0.7851518369512177,0.9316389902489755,39.40276840389286,31.242667677465644,4.334488300866536,5.9513803406798775,7.24876153588183,168381.9390773,1985,Residential,Multiplicative,source
34,2004,0.7811609240189455,1.0509935249171114,48.08309904556968,32.52121117714668,3.804275157184602,4.579597860902054,6.51773473511572,145779.2325568775,1985,Residential,Multiplicative,source
35,2005,0.7781163102037904,1.160737748267365,57.393124120450146,33.66504320750948,3.630000830832394,3.7714441425323355,6.163568570146792,147253.05210927103,1985,Residential,Multiplicative,source
36,2006,0.7685668456520716,1.0772022520447986,60.078113890822806,34.65924830159562,3.013782175563644,2.987331043200973,4.661107343678007,72343.35479680538,1985,Residential,Multiplicative,source
37,2007,0.7592762721555723,0.9953063618264647,61.65953361116696,35.456866373316856,4.065059028596274,3.3385830425655283,4.922271213392012,110370.18564611915,1985,Residential,Multiplicative,source
38,2008,0.7578804369553982,0.9699568757049148,68.93656731494902,36.40217444533266,4.180662707880599,3.0411087336596054,4.636174860517579,108734.40690527413,1985,Residential,Multiplicative,source
39,2009,0.7558887345612657,0.9474939075225602,75.77723918125976,37.25421731189271,3.840223372949739,2.603269854978181,4.076855074198499,82404.22327197969,1985,Residential,Multiplicative,source
40,2010,0.7536289906355276,0.9354295848150985,176.6955266046742,73.13314178299888,4.136336469910487,2.528407769701232,3.979489793147631,379139.343680666,1985,Residential,Multiplicative,source
41,2011,0.7522377528299674,0.9277494132317776,179.5796007728048,74.93620158972708,4.007415201928841,2.3082838474576235,3.648182984422231,316930.9545202915,1985,Residential,Multiplicative,source
42,2012,0.7556420491431667,0.8702286160870943,178.36888510064148,76.82970580449631,3.5989053143127685,2.0169094435900603,3.107840673887033,203288.73418047366,1985,Residential,Multiplicative,source
43,2013,0.7591077396927136,0.8115970189892059,176.51518546917146,78.70745162102365,4.560755583049269,2.214881062952606,3.32178968291351,287211.03855070914,1985,Residential,Multiplicative,source
44,2014,0.6721038116545713,0.24393026798169562,156.77564837525986,80.80905669470171,24.27915282088987,2.3281449186000662,3.371209707329915,395794.72482850257,1985,Residential,Multiplicative,source
45,2015,0.5905455632007046,0.3048462150582057,801.8697730932356,82.95853462196405,25.604205009920985,2.3238160745802126,3.2465846411602852,2313337.0330826035,1985,Residential,Multiplicative,source
46,2016,0.5971329153677067,0.2803186932527954,582.7576976586594,85.43026895636049,21.936609045746362,1.9506591080947846,2.707458080801614,965462.6561795172,1985,Residential,Multiplicative,source
47,2017,0.604152113462729,0.2568639093692538,431.28236617658496,87.88863296197,22.88219328989516,1.8650087190654272,2.5732902440902587,645968.1242374843,1985,Residential,Multiplicative,source
