Year,Retail,Auto R,Office,Warehouse,Education,Hospital,Public ,Religious,Soc/Amuse,Misc,Soc/Misc,Commercial,"Commercial, Incl Hotel"
1919,,,,,,,,,,,,,
1920,,,,,,,,,,,,,
1921,,,,,,,,,,,,,
1922,,,,,,,,,,,,,
1923,,,,,,,,,,,,,
1924,,,,,,,,,,,,,
1925,,,,,,,,,,,37,160,
1926,,,,,,,,,,,38,152,
1927,,,,,,,,,,,46,142,
1928,,,,,,,,,,,39,159,
1929,,,,,,,,,,,32,161,
1930,,,,,,,,,,,26,97,
1931,,,,,,,,,,,19,50,
1932,,,,,,,,,,,8,24,
1933,,,,,,,,,,,9,23,
1934,,,,,,,,,,,9,28,
1935,,,,,,,,,,,10,35,
1936,,,,,,,,,,,18,57,
1937,,,,,,,,,,,18,62,
1938,,,,,,,,,,,28,42,
1939,,,,,,,,,,,21,49,
1940,,,,,,,,,,,56,67,
1941,,,,,,,,,,,96,106,
1942,,,,,,,,,,,272,74,
1943,,,,,,,,,,,100,22,
1944,,,,,,,,,,,44,12,
1945,,,,,,,,,,,44,63,
1946,,,,,,,,,,,34,119,
1947,,,,,,,,,,,30,100,
1948,,,,,,,,,,,47,101,
1949,,,,,,,,,,,51,86,
1950,,,,,,,,,,,64,122,
1951,,,,,,,,,,,75,77,
1952,,,,,,,,,,,94,82,
1953,,,,,,,,,,,81,123,
1954,,,,,,,,,,,77,138,
1955,,,,,,,,,,,90,173,
1956,,,,,,,,,,,78,244,
1957,,,,,,,,,,,64,245,
1958,,,,,,,,,,,84,243,
1959,,,,,,,,,,,78,281,
1960,,,,,198,36,34,54,44,31,76,283,
1961,,,,,197,45,33,53,41,,71,293,
1962,,,,,193,50,35,53,40,,68,326,
1963,,,,,199,66,43,48,39,,72,347,
1964,,,,,205,67,35,50,36,,73,360,
1965,,,,,228,60,36,45,48,,88,415,
1966,,,,,248,60,37,45,47,,89,442,
1967,,,,,245,66,37,42,43,,88,424,
1968,,,,,237,69,40,39,47,,96,496,
1969,,,,,222,87,36,33,53,,99,573,
1970,,,,,195,75,29,27,47,,89,530,
1971,,,,,189,76,40,26,52,,98,,
1972,,,,,157,84,39,27,51,,96,,
1973,,,,,156,76,49,26,63,,120,,
1974,,,,,176,75,47,27,58,,117,,
1975,,,,,152,63,46,28,52,,105,,
1976,,,,,118,71,42,31,48,,99,,
1977,,,,,112,66,43,32,48,,105,,
1978,,,,,104,53,22,35,53,,96,,
1979,,,,,102,57,20,34,53,,106,,
1980,,,,,103,55,18,28,49,,101,,
1981,,,,,83,60,14,25,46,,87,,
1982,125.81,44.44,264,136.75,82,71,19,25,38,,68,,
1983,150.39,53.13,280,163.48,84,84,20,29,36,,67,,
1984,204.08,72.09,310,221.84,100,70,23,29,37,,71,,
1985,236.79,83.65,361.16,257.4,111,73,28,32,44,,82,,
1986,224.79,79.4,320.46,244.35,129,73,30,32,44,,83,,
1987,233.96,82.64,288.08,254.32,139,78,42,32,46,,84,,
1988,213.56,75.44,293.86,232.14,142,71,38,32,49,,86,,
1989,201.76,71.27,289.65,219.32,151,72,41,27,48,,83,,
1990,,,,,,,,,,,,,
1991,,,,,,,,,,,,,
1992,,,,,,,,,,,,,
1993,,,,,,,,,,,,,
1994,,,,,,,,,,,,,
1995,,,,,,,,,,,,,
1996,,,,,,,,,,,,,
1997,,,,,,,,,,,,,
1998,,,,,,,,,,,,,1107.00
1999,,,,,261,98,49,48,87,,,,1115.00
2000,,,,,273,,44,49,94,,,,1180.00
2001,,,,,295,92,44,50,81,,,,988.00
2002,,,,,277,97,37,52,71,26,,,810.00
2003,,,,,270,92,35,45,67,26,,,794.00
2004,,,,,231,94,34,43,68,27,,,875.00
2005,,,,,246,108,33,37,67,29,,,927.00
2006,,,,,254,110,33,35,73,33,,,1015.00
2007,,,,,247,104,51,31,66,27,,,1051.00
2008,,,,,253,109,49,28,59,28,,,772.00
2009,,,,,199,68,48,25,42,26,,,332.00
2010,,,,,175,73,34,15,35,22,,,279.00
2011,,,,,157,76,27,14,33,18,,,325.00
2012,,,,,136,72,24,13,33,19,,,422.00
2013,,,,,131,73,16,11,36,19,,,535.00
2014,,,,,149,68,16,10,45,21,,,624.00
2015,,,,,150,73,15,11,41,21,,,664.00
2016,,,,,148,78,16,10,48,22,,,743.00
2017,,,,,156,85,20,11,47,29,,,770.00
2018,,,,,156,81,19,9,48,24,,,755.00
2019,,,,,,,,,,,,,
2020,,,,,,,,,,,,,
