Year,Northeast,Midwest , South, West,U.S.
1979,,,,,
1983,11615,16059,17049,7602,52325
1986,11830,16034,19427,10937,58229
1989,13569,15955,22040,11620,63184
1992,12765,16208,23319,11977,64269
1995,11883,14322,20830,11736,58772
1999,12360,16761,23485,14731,67338
2003,13995,18103,26739,12820,71658
2012,15534,18919,34279,18360,87093
