,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oil and gas extraction,309991.3,309749.2,302494.6,285147.7,287641.4,293324.3,296484.8,290227.9,283580.5,275395.8,261998.7,256619,273724.6,273362.8,265565.2,271811.1,277201,263837.9,267884.3,275220.1,267824.2,265507.8,265105.8,271588.7,270205.6,288357.2,286848,270358,266174,272008.2,265291.1,256829.1,234846,226629,236568.1,244748.8,260214.8,278010.4,296416.8,341802.4,362651,365585.4,395206.2,409657.3,387770.2,433056.5,466007.4
Coal mining,26254.7,27935,29955,30547.6,30807.3,31221.9,30922.9,36961.5,40121.3,39546.8,36781.1,36144.4,41794.5,39784.9,39861.3,39160.9,42907.9,43378.3,45954.8,47600.9,46454.1,43899.4,48470.7,46743.7,48546.7,50852,51075.3,50191.5,51202.2,49237.4,46056.4,45653.9,48325.5,52203.1,59843.9,60779.5,58513.4,50887.4,52086.4,60402.2,54424.3,46871.7,51497.7,49311.4,45160.5,43535.4,44385.8
Metal ore mining,35480.1,43506.4,42016.6,35789.8,37280.4,35985.6,40087.7,43596.3,42202.7,40787.3,25816.1,23521.6,31103.3,31507.7,29646.3,27296.4,29600.6,33669.1,35790.2,37644.1,37689.5,35930,37455.8,39135.6,39496.7,40360.1,45213.1,42828.3,40076.7,41148.1,37024.8,37166.5,34750.4,36232.3,34244.3,34237.5,37974,40915.7,35807.3,36301.9,36413.3,38102.5,40821.1,41256.8,37321.2,35659.4,42597.6
Nonmetallic mineral mining and quarrying,25783.2,29727.1,30502.3,25397.8,25468.5,26501.7,28943.4,30835.4,28245.5,25288,19424.9,22089.5,25179.2,24742.7,24554.5,25125.5,27864.5,26706.8,26945.4,27710,26905.3,27218.9,29686.3,29523.3,30188.3,33191.1,34525.4,35047.3,37362.9,37496.2,37843.9,37366.9,40584.6,42941.8,44954.1,41740.1,41037.1,33449.4,35608.7,38369.3,33829.4,30541.9,29905.6,27609.5,26235.5,26555.4,26196.5
Support activities for mining,50234.3,53680.2,66822.1,74745.6,81432.9,92264.9,103413.2,109162.5,151805.8,177235.7,162146.1,133648.1,151997.8,135885,80458,78761.2,86367.9,78016.5,88696.4,86517.7,73728.5,95014.4,88177.1,77032.5,83508.7,86955.4,85243.1,69785.5,81237.5,92480.6,68678,73652.9,90137.5,98758.3,109700.9,110984.5,117665.4,83463,94868.9,106756,125732,121777,133818.3,103575,54172.9,76414.1,65379.4
