USPC,Census Region
AL,3
AK,4
AZ,4
AR,3
CA,4
CO,4
CT,1
DE,3
DC,3
FL,3
GA,3
HI,4
ID,4
IL,2
IN,2
IA,2
KS,2
KY,3
LA,3
ME,1
MD,3
MA,1
MI,2
MN,2
MS,3
MO,2
MT,4
NE,2
NV,4
NH,1
NJ,1
NM,4
NY,1
NC,3
ND,2
OH,2
OK,3
OR,4
PA,1
RI,1
SC,3
SD,2
TN,3
TX,3
UT,4
VT,1
VA,3
WA,4
WV,3
WI,2
WY,4
US,0
