Year,passenger_miles,,,,,,
1970,2100,,,,,,
1971,2212,,,,,,
1972,2359,,,,,,
1973,2412,,,,,,
1974,2450,,,,,,
1975,2500,,,,,,
1976,2620.427157,,,,,,
1977,2733.906936,,,,,,
1978,2799.005872,,,,,,
1979,2946.516067,,,,,,
1980,3000,,,,,,
1981,3104.82591,,,,,,
1982,3172.098939,,,,,,
1983,3377.689564,,,,,,
1984,3383.399005,,,,,,
1985,3448,,,,,,
1986,3467.157572,,,,,,
1987,3551.837033,,,,,,
1988,3670.371542,,,,,,
1989,3764.898903,,,,,,
1990,3800,,,,,,
1991,3908.576721,,,,,,
1992,4077.822348,,,,,,
1993,4222.341983,,,,,,
1994,4400,,,,,,
1995,4592.759428,,,,,,
1996,4717.687658,,,,,,
1997,4629.012499,,,,,,
1998,4643.263753,,,,,,
1999,4657.515006,,,,,,
2000,4801.406066,,,,,,
2001,4950.692884,,,,,,
2002,4988.474118,,,,,,
2003,5115.151387,,,,,,
2004,5063.942626,,,,,,
2005,5000.568707,,,,,,
2006,5064.937509,,,,,,
2007,4939.200298,,,,,,
2008,4750.9623,,,,,,
2009,4883.190197,,,,,,
2010,4753.00883,,,,,,
2011,4428.646561,,,,,,
2012,4428.646561,,,,,,
2013,4428.646561,,,,,,
2014,4428.646561,,,,,,
2015,4428.646561,,,,,,
2016,4428.646561,,,,,,
2017,4428.646561,,,,,,
,,,,,,,
