,@timeseries|Year,@filter|Measure|Activity,@filter|Measure|Structure,@filter|Measure|Intensity,@filter|Measure|Effect,@filter|Measure|BaseYear,@filter|Sector,@filter|Model,@filter|EnergyType
0,1949,0.39612637194101563,1.0,0.8066671809569396,0.3195421437563592,1985,Commercial,Multiplicative,source_adj
1,1950,0.404176679805825,1.0,0.8389758315748129,0.33909446604323895,1985,Commercial,Multiplicative,source_adj
2,1951,0.4108382237854158,1.0,0.8211177048137706,0.33734653936444686,1985,Commercial,Multiplicative,source_adj
3,1952,0.41745395882981984,1.0,0.8081389958069806,0.3373608230843792,1985,Commercial,Multiplicative,source_adj
4,1953,0.42547868147879764,1.0,0.7719361655492764,0.32844238190370495,1985,Commercial,Multiplicative,source_adj
5,1954,0.4350869640668638,1.0,0.7472703796638083,0.325127600825019,1985,Commercial,Multiplicative,source_adj
6,1955,0.44622647749335936,1.0,0.7602794316900167,0.3392568127136893,1985,Commercial,Multiplicative,source_adj
7,1956,0.4583407864291298,1.0,0.764455110154141,0.350380956377816,1985,Commercial,Multiplicative,source_adj
8,1957,0.4704530623526797,1.0,0.7332819577153109,0.3449747425751362,1985,Commercial,Multiplicative,source_adj
9,1958,0.48298279869249927,1.0,0.7428182995509128,0.35876846123710315,1985,Commercial,Multiplicative,source_adj
10,1959,0.49580852076544535,1.0,0.7680545288274242,0.3808079798051263,1985,Commercial,Multiplicative,source_adj
11,1960,0.45504553408468196,1.0,0.8822606551316139,0.40146877101626666,1985,Commercial,Multiplicative,source_adj
12,1961,0.4705319039570099,1.0,0.8751144093172227,0.4117692491962469,1985,Commercial,Multiplicative,source_adj
13,1962,0.4865565889015577,1.0,0.9015570566023373,0.4386585261605618,1985,Commercial,Multiplicative,source_adj
14,1963,0.5036057464697961,1.0,0.9080918884539183,0.4573202933480023,1985,Commercial,Multiplicative,source_adj
15,1964,0.5216309500358063,1.0,0.9126701454022261,0.4760769950154807,1985,Commercial,Multiplicative,source_adj
16,1965,0.5409699380887331,1.0,0.9411312009600278,0.5091236875167212,1985,Commercial,Multiplicative,source_adj
17,1966,0.5622868874937595,1.0,0.9795897345334683,0.5508104628516621,1985,Commercial,Multiplicative,source_adj
18,1967,0.5839895728752321,1.0,1.0289657993527876,0.6009052976672562,1985,Commercial,Multiplicative,source_adj
19,1968,0.6061523578448651,1.0,1.05310539450593,0.6383423179389164,1985,Commercial,Multiplicative,source_adj
20,1969,0.6304688100297915,1.0,1.082142911321913,0.6822573535833006,1985,Commercial,Multiplicative,source_adj
21,1970,0.6549086206496747,1.0,1.1099925809235744,0.7269437101040306,1985,Commercial,Multiplicative,source_adj
22,1971,0.6780907541463448,1.0,1.120167359505191,0.7595751295769947,1985,Commercial,Multiplicative,source_adj
23,1972,0.7028233050314986,1.0,1.138059688226902,0.7998548714027481,1985,Commercial,Multiplicative,source_adj
24,1973,0.7299517729346907,1.0,1.1386623726802294,0.8311686177119549,1985,Commercial,Multiplicative,source_adj
25,1974,0.7570726135818528,1.0,1.0806556672269638,0.8181348103695586,1985,Commercial,Multiplicative,source_adj
26,1975,0.7792788953725515,1.0,1.0609440691679703,0.8267713222732758,1985,Commercial,Multiplicative,source_adj
27,1976,0.7975896713249112,1.0,1.0989235551891965,0.8764900771945542,1985,Commercial,Multiplicative,source_adj
28,1977,0.8175218663695809,1.0,1.0908293500244277,0.891776846122687,1985,Commercial,Multiplicative,source_adj
29,1978,0.8413675187396998,1.0,1.0914387535322168,0.918301115915752,1985,Commercial,Multiplicative,source_adj
30,1979,0.8685756390442055,1.0,1.0708663386118948,0.9301284143907551,1985,Commercial,Multiplicative,source_adj
31,1980,0.8942823371063844,1.0,1.0332951730840159,0.9240576223063197,1985,Commercial,Multiplicative,source_adj
32,1981,0.9158626103058041,1.0,1.0124719725261688,0.9272852236192833,1985,Commercial,Multiplicative,source_adj
33,1982,0.9353134528655404,1.0,1.0142080470466686,0.948602430407236,1985,Commercial,Multiplicative,source_adj
34,1983,0.9529567435002868,1.0,1.0025527566825378,0.9553894101954267,1985,Commercial,Multiplicative,source_adj
35,1984,0.9741164021874931,1.0,1.025916939528223,0.9993625180764365,1985,Commercial,Multiplicative,source_adj
36,1985,1.0,1.0,1.0,1.0,1985,Commercial,Multiplicative,source_adj
37,1986,1.0278662844484667,1.0,0.9859825278419877,1.0134581974240509,1985,Commercial,Multiplicative,source_adj
38,1987,1.0550315960883987,1.0,0.9886361742145819,1.0430424008323387,1985,Commercial,Multiplicative,source_adj
39,1988,1.0818105664567381,1.0,1.0150444340280298,1.098085794154622,1985,Commercial,Multiplicative,source_adj
40,1989,1.107125496442714,1.0,1.0405407162280487,1.1520091570228355,1985,Commercial,Multiplicative,source_adj
41,1990,1.1303571073713348,1.0,1.0284724858530625,1.1625411841198738,1985,Commercial,Multiplicative,source_adj
